region,cluster_min_order,stream_order,iso_pred
upper,5,5,0.716195141723
upper,5,5,0.711708495547
upper,5,5,0.708796348579
upper,5,5,0.708772162191
upper,5,5,0.711290691902
upper,5,5,0.714810983703
upper,5,5,0.713910457019
upper,5,5,0.713431774013
upper,5,5,0.71308192835
upper,5,5,0.717178756243
upper,5,5,0.713220394193
upper,5,5,0.716739137862
upper,5,5,0.712843225727
upper,5,5,0.712255305104
upper,5,5,0.70855068642
upper,5,5,0.708706274704
upper,5,5,0.710562302252
upper,5,5,0.709909113629
upper,5,5,0.708766351753
upper,5,5,0.708782773851
upper,5,5,0.715378307491
upper,5,5,0.713307298819
upper,5,5,0.708811765271
upper,5,5,0.711818005544
upper,5,5,0.711380536957
upper,5,5,0.709668062592
upper,5,5,0.709586641029
upper,5,6,0.709762899884
upper,5,5,0.70910596152
upper,5,5,0.714236776756
upper,5,5,0.705766054478
upper,5,6,0.709848013323
upper,5,6,0.709784954901
upper,5,5,0.705767368043
upper,5,5,0.713188179246
upper,5,6,0.709843026091
upper,5,6,0.709823753496
upper,5,5,0.710882643152
upper,5,5,0.711098285951
upper,5,5,0.706035962559
upper,5,5,0.710796607231
upper,5,6,0.708729331974
upper,5,5,0.711756299664
upper,5,5,0.708081438822
upper,5,5,0.707068755976
upper,5,5,0.706758435913
upper,5,5,0.706591891118
upper,5,5,0.707321826525
upper,5,5,0.713023983295
upper,5,5,0.711883510627
upper,5,5,0.708409918281
upper,5,5,0.712827911259
upper,5,7,0.708637447072
upper,5,5,0.71179189805
upper,5,5,0.709176251646
upper,5,5,0.712293321648
upper,5,7,0.7089887059
upper,5,6,0.709783022135
upper,5,6,0.709709986863
upper,5,5,0.70860013781
upper,5,6,0.71031065345
upper,5,5,0.711968198792
upper,5,5,0.707227929217
upper,5,6,0.710260603801
upper,5,5,0.704712463045
upper,5,5,0.708498680551
upper,5,5,0.712213848487
upper,5,7,0.709710022189
upper,5,5,0.706930971985
upper,5,5,0.709912188134
upper,5,5,0.708379136973
upper,5,6,0.712158470528
upper,5,7,0.708879680975
upper,5,7,0.708823041239
upper,5,7,0.709490352789
upper,5,7,0.709440271498
upper,5,5,0.707934549302
upper,5,5,0.708159996636
upper,5,5,0.7047417851
upper,5,6,0.712153366769
upper,5,5,0.707837887973
upper,5,5,0.707671158837
upper,5,5,0.705342451047
upper,5,6,0.712060155828
upper,5,6,0.709545741021
upper,5,5,0.705364902231
upper,5,5,0.71137845586
upper,5,5,0.705535124323
upper,5,7,0.708352177588
upper,5,5,0.705562861111
upper,5,6,0.709452169376
upper,5,5,0.708048497885
upper,5,5,0.711565079383
upper,5,5,0.711532760294
upper,5,5,0.711514993042
upper,5,5,0.709421949765
upper,5,5,0.708104828181
upper,5,6,0.710630523012
upper,5,5,0.711464915592
upper,5,7,0.707946453656
upper,5,7,0.707948200169
upper,5,7,0.707918485191
upper,5,6,0.711136022368
upper,5,6,0.710858395951
upper,5,7,0.710977538744
upper,5,7,0.710873656425
upper,5,6,0.711084611823
upper,5,6,0.711282513399
upper,5,6,0.710803050764
upper,5,7,0.711111753929
upper,5,5,0.705638058339
upper,5,7,0.710789388804
upper,5,5,0.70876260143
upper,5,5,0.70586551456
upper,5,6,0.711304102486
upper,5,5,0.709332842932
upper,5,5,0.706156395833
upper,5,7,0.710720959813
upper,5,5,0.71138204827
upper,5,5,0.707496275409
upper,5,5,0.71261951631
upper,5,5,0.709435680805
upper,5,7,0.707897740355
upper,5,7,0.710797005491
upper,5,6,0.711960805644
upper,5,5,0.711293816763
upper,5,5,0.705069469741
upper,5,7,0.707762550796
upper,5,5,0.707525581024
upper,5,7,0.710859228757
upper,5,5,0.712696826371
upper,5,6,0.71198316703
upper,5,5,0.711147775113
upper,5,5,0.71118091909
upper,5,5,0.705811100229
upper,5,5,0.707514472566
upper,5,5,0.712968480821
upper,5,7,0.710906199295
upper,5,7,0.710791450144
upper,5,6,0.705299183294
upper,5,5,0.707426080586
upper,5,6,0.711980910975
upper,5,6,0.711741031014
upper,5,5,0.70768263654
upper,5,7,0.711732955143
upper,5,6,0.705866078149
upper,5,6,0.705848902222
upper,5,5,0.711134326893
upper,5,5,0.707347516376
upper,5,6,0.709335331586
upper,5,5,0.711758859914
upper,5,7,0.7134693048
upper,5,5,0.707887171003
upper,5,5,0.712268110938
upper,5,6,0.709204553209
upper,5,5,0.711810101818
upper,5,6,0.711998976591
upper,5,5,0.707733528183
upper,5,5,0.707962891332
upper,5,5,0.706980809759
upper,5,6,0.706484813404
upper,5,6,0.70939220598
upper,5,5,0.711074449099
upper,5,6,0.706234283207
upper,5,5,0.706678669716
upper,5,5,0.706840025742
upper,5,5,0.711153656427
upper,5,5,0.713164887155
upper,5,7,0.707606240333
upper,5,6,0.706344130013
upper,5,5,0.711682401598
upper,5,5,0.712222049227
upper,5,5,0.708035703359
upper,5,6,0.714319797506
upper,5,5,0.706809560124
upper,5,7,0.713496376995
upper,5,5,0.707827361368
upper,5,5,0.711478577983
upper,5,7,0.707586918353
upper,5,5,0.711630548968
upper,5,7,0.707564331881
upper,5,5,0.711436048789
upper,5,5,0.706770282567
upper,5,5,0.709379512756
upper,5,6,0.70943943166
upper,5,5,0.7113882013
upper,5,7,0.706952904783
upper,5,7,0.713470949698
upper,5,6,0.714486070201
upper,5,7,0.713283875614
upper,5,7,0.706851850026
upper,5,5,0.711286515378
upper,5,5,0.707486532804
upper,5,5,0.709660421672
upper,5,6,0.707964212937
upper,5,5,0.708105794118
upper,5,5,0.70904250306
upper,5,6,0.714615278168
upper,5,5,0.709859671002
upper,5,6,0.714545364642
upper,5,5,0.707458922787
upper,5,5,0.707554356507
upper,5,5,0.712438059772
upper,5,5,0.707630887689
upper,5,5,0.707516578349
upper,5,6,0.714462604951
upper,5,5,0.709735446884
upper,5,5,0.71068186373
upper,5,5,0.710878861803
upper,5,7,0.706696566764
upper,5,6,0.714936224634
upper,5,5,0.713895993502
lower,5,6,0.709780052343
upper,5,6,0.71494521617
upper,5,6,0.714280155048
upper,5,5,0.707495197036
upper,5,6,0.71498066281
upper,5,6,0.714993072868
lower,5,9,0.714111216186
upper,5,6,0.714968241586
upper,5,6,0.707613496239
upper,5,5,0.712531864535
upper,5,5,0.710599693521
upper,5,5,0.713052140207
lower,5,9,0.714081268719
upper,5,7,0.712504720748
upper,5,5,0.713388848049
upper,5,5,0.713699460525
upper,5,6,0.715219155413
upper,5,6,0.715192140034
upper,5,5,0.710467333505
upper,5,8,0.71229606156
upper,5,8,0.71232517612
lower,5,9,0.714127112253
upper,5,5,0.711066891484
upper,5,8,0.712230063607
lower,5,9,0.714147709538
lower,5,9,0.714154992216
upper,5,5,0.710866398077
upper,5,8,0.712182655469
upper,5,5,0.713872011706
upper,5,5,0.71391362007900006
upper,5,5,0.710443187025
upper,5,6,0.715290111908
upper,5,7,0.706657522412
lower,5,9,0.714083669777
upper,5,5,0.7118106264
upper,5,8,0.71215262946
upper,5,7,0.706599908009
upper,5,8,0.712122735639
lower,5,9,0.714174271037
upper,5,5,0.714585321762
upper,5,7,0.706573741879
upper,5,8,0.71210200583
upper,5,8,0.712035665427
upper,5,5,0.709892950197
upper,5,5,0.707837129535
upper,5,7,0.711782005197
upper,5,5,0.710278530408
upper,5,7,0.706548085203
lower,5,5,0.710587710094
lower,5,5,0.710856944575
upper,5,7,0.706507570761
upper,5,5,0.710156450489
upper,5,6,0.707333563768
upper,5,7,0.706467409401
lower,5,9,0.71417049623
upper,5,5,0.709949450371
upper,5,7,0.706079264633
upper,5,7,0.711811081663
lower,5,5,0.707593531519
upper,5,7,0.706024296828
lower,5,5,0.708045340625
upper,5,8,0.711981990237
upper,5,8,0.711933646031
lower,5,9,0.713996450568
upper,5,5,0.70675537358
upper,5,7,0.70599454497
upper,5,7,0.705933378174
upper,5,7,0.705990763419
upper,5,5,0.711062612075
upper,5,7,0.711808106235
upper,5,5,0.709532240102
lower,5,5,0.71084544266
upper,5,5,0.708967824782
upper,5,8,0.711885495965
upper,5,5,0.709267658212
upper,5,5,0.709467682649
upper,5,5,0.714507511968
upper,5,5,0.708856076759
lower,5,9,0.71416289116
upper,5,8,0.711845295364
upper,5,6,0.710876352566
upper,5,5,0.714591757978
lower,5,5,0.710923690847
upper,5,6,0.707203270166
upper,5,5,0.710688336234
upper,5,5,0.706702934507
upper,5,6,0.71371128177
upper,5,5,0.710497624731
upper,5,5,0.709531152801
lower,5,9,0.714149054097
upper,5,8,0.711768638462
upper,5,6,0.713811472304
upper,5,5,0.706329541826
upper,5,5,0.708449543451
upper,5,5,0.709133634467
upper,5,6,0.706998879149
upper,5,5,0.710807352941
upper,5,6,0.71086786129
upper,5,6,0.71384964206
lower,5,9,0.714146296148
upper,5,5,0.709093377541
upper,5,6,0.710802184174
upper,5,5,0.7069851346
lower,5,5,0.709589222245
lower,5,6,0.709793346092
upper,5,5,0.706354330254
upper,5,5,0.71061771047
lower,5,5,0.710788896793
upper,5,5,0.706959574364
upper,5,5,0.706971314907
upper,5,8,0.711660533971
upper,5,7,0.705889273937
lower,5,9,0.714152127675
lower,5,6,0.709763309759
upper,5,6,0.706932944196
upper,5,5,0.709025901358
lower,5,5,0.707989218379
upper,5,5,0.710627194363
lower,5,5,0.710449719872
lower,5,9,0.7141875705
lower,5,6,0.709757352558
upper,5,7,0.705885196135
upper,5,5,0.706950685355
lower,5,5,0.709277403221
upper,5,5,0.710757559362
lower,5,9,0.714212796872
upper,5,5,0.710611096456
upper,5,5,0.706955055784
upper,5,8,0.71161461742
upper,5,8,0.711459174483
lower,5,5,0.711356089497
upper,5,5,0.706921348875
lower,5,9,0.714198086499
upper,5,5,0.706953244711
upper,5,5,0.706928488389
lower,5,9,0.714174835746
upper,5,6,0.706853860072
lower,5,5,0.707964977514
lower,5,9,0.714191835144
lower,5,9,0.714212987406
upper,5,5,0.708951604098
upper,5,6,0.706850918267
upper,5,5,0.706915858314
upper,5,6,0.706901196437
lower,5,6,0.709740752946
lower,5,6,0.70973032254
lower,5,5,0.709045270111
lower,5,5,0.706946632327
lower,5,5,0.710254060861
upper,5,5,0.712744329047
