cluster,spread_of_group_means,eta2_region,d_lm_mean,d_lu_mean,d_mu_mean
>= 5,0.00582,0.1602,-0.00554,-0.00582,-0.00028
>= 6,0.00503,0.1468,-0.00416,-0.00503,-0.00087
>= 7,0.00241,0.0449,-0.00144,-0.00241,-0.00097
>= 8,0.00081,0.0104,0.00018,-0.00064,-0.00081
>= 9,0.00085,0.0445,0.00076,0.00085,8e-05
