basin,region,cluster_min_order,cluster,n_reaches,mean_iso,median_iso,sd_iso,cv_iso,iqr_iso,q05_iso,q95_iso,min_iso,max_iso
Yukon,lower,5,≥ 5,1087,0.7095769208857184,0.708583455586,0.0029215510770256767,0.004117314122024848,0.004227889205499991,0.7061921092385001,0.7148632089594,0.704147702942,0.718911756716
Yukon,lower,6,≥ 6,555,0.7105291926004901,0.709112989097,0.003144729325046976,0.004425897426589151,0.0061678125645000526,0.7066825311074,0.7152625693197,0.704989582993,0.715587413533
Yukon,lower,7,≥ 7,284,0.712591096929993,0.7139376073885,0.0026957263404799475,0.0037829918898703045,0.005386680427749924,0.70860143891385,0.7153924862528,0.706672962306,0.715587413533
Yukon,lower,8,≥ 8,195,0.7143019932647026,0.714387621479,8.641074118340174e-4,0.001209722806294621,9.483526125000363e-4,0.7124640160728,0.7154296839832,0.711462938807,0.715587413533
Yukon,lower,9,≥ 9,151,0.7145532913986226,0.714495606974,5.835956497862665e-4,8.167279569085355e-4,9.584039709999992e-4,0.7136749669635,0.715450574167,0.713667826262,0.715587413533
Yukon,middle,5,≥ 5,1546,0.7151151594709049,0.713963077962,0.00560796999911016,0.007842051626005734,0.0044353981774998275,0.708472405382,0.7270565459515,0.704399324376,0.740518560511
Yukon,middle,6,≥ 6,776,0.7146857563760838,0.7141155344005,0.004126457805671803,0.0057738072556470085,0.004345293709500098,0.7098756263567501,0.7229390130794999,0.704741068697,0.734369024013
Yukon,middle,7,≥ 7,373,0.7140332530052869,0.714144115197,0.002568388608256401,0.0035970154015185396,0.004209220972999916,0.7100089188936001,0.7181882717596,0.704741068697,0.720492658434
Yukon,middle,8,≥ 8,189,0.7141268427918994,0.714240967668,0.0017394756489230647,0.0024358076810592003,0.0024221304929999965,0.7110932336697999,0.7166446495045999,0.710939538441,0.717517949423
Yukon,middle,9,≥ 9,102,0.7138116775130098,0.713596090051,0.0017646658210759918,0.0024721728106554116,0.0028116024984999877,0.7110869815893499,0.71655469406575,0.710939538441,0.716846704312
Yukon,upper,5,≥ 5,2793,0.7153974130399259,0.715190656324,0.005728125434810599,0.008006913822165186,0.008822777385000036,0.7067918802369999,0.7250210238608,0.702262029135,0.739122700373
Yukon,upper,6,≥ 6,1452,0.715560503759124,0.7154093779390001,0.005332012237785221,0.0074515183688507675,0.008579392162500032,0.7069781906843,0.72384679479655,0.705299183294,0.729310426939
Yukon,upper,7,≥ 7,760,0.7150001335680316,0.714189498847,0.00532958402636398,0.007453962280773301,0.008337828717249862,0.7066574542159499,0.72336498789675,0.705763499507,0.728237282367
Yukon,upper,8,≥ 8,380,0.7149417235834842,0.713313052146,0.004904707950703576,0.006860290550843548,0.007017219790000029,0.7093409216398,0.72338443651995,0.708704219223,0.724593125096
Yukon,upper,9,≥ 9,93,0.7137072201006774,0.712871471507,0.0029770477467571856,0.004171245102911016,0.006442423061000069,0.7101072360118,0.7173940390689999,0.709992116531,0.717464623118
Kusko,Kuskokwim,5,≥ 5,1013,0.7079853530997039,0.707940224,0.0014364403647980056,0.0020289125453075794,0.001969997000000001,0.7051272924,0.7099759014,0.704632097,0.712647825
Kusko,Kuskokwim,6,≥ 6,448,0.7084206203191964,0.708770274,0.0011361417204031263,0.0016037671516269665,0.0017974167499998916,0.706556242,0.70987097055,0.704915752,0.710038431
Kusko,Kuskokwim,7,≥ 7,315,0.7089354973206349,0.708934755,7.070371074902135e-4,9.97322196677136e-4,7.767880000000282e-4,0.707027928,0.7099403343,0.706963886,0.710038431
Kusko,Kuskokwim,8,≥ 8,1,0.708499273,0.708499273,NA,NA,0,0.708499273,0.708499273,0.708499273,0.708499273
