region,cluster_min_order,stream_order,iso_pred
Kuskokwim,5,5,0.707999191
Kuskokwim,5,5,0.704953405
Kuskokwim,5,7,0.706997131
Kuskokwim,5,7,0.708632162
Kuskokwim,5,7,0.706993689
Kuskokwim,5,7,0.70867633
Kuskokwim,5,7,0.708640973
Kuskokwim,5,6,0.706527492
Kuskokwim,5,7,0.706987497
Kuskokwim,5,7,0.708643802
Kuskokwim,5,6,0.706535599
Kuskokwim,5,7,0.706967619
Kuskokwim,5,7,0.708656479
Kuskokwim,5,5,0.704946838
Kuskokwim,5,7,0.708663847
Kuskokwim,5,6,0.706547817
Kuskokwim,5,6,0.706556931
Kuskokwim,5,7,0.706963886
Kuskokwim,5,6,0.706555871
Kuskokwim,5,5,0.704963082
Kuskokwim,5,5,0.709245371
Kuskokwim,5,7,0.709199393
Kuskokwim,5,7,0.709187766
Kuskokwim,5,5,0.707355425
Kuskokwim,5,5,0.709149083
Kuskokwim,5,5,0.704987229
Kuskokwim,5,6,0.706591919
Kuskokwim,5,5,0.704969767
Kuskokwim,5,7,0.706976487
Kuskokwim,5,7,0.70870104
Kuskokwim,5,6,0.706589705
Kuskokwim,5,6,0.706587305
Kuskokwim,5,6,0.706594272
Kuskokwim,5,5,0.708993464
Kuskokwim,5,7,0.708154063
Kuskokwim,5,5,0.709277488
Kuskokwim,5,7,0.706996221
Kuskokwim,5,7,0.70701307
Kuskokwim,5,7,0.708697907
Kuskokwim,5,5,0.705063036
Kuskokwim,5,6,0.707243135
Kuskokwim,5,6,0.706964263
Kuskokwim,5,7,0.708950812
Kuskokwim,5,7,0.708952506
Kuskokwim,5,7,0.708533911
Kuskokwim,5,5,0.70781397
Kuskokwim,5,5,0.70803294
Kuskokwim,5,5,0.706925426
Kuskokwim,5,5,0.706946002
Kuskokwim,5,5,0.709352451
Kuskokwim,5,6,0.707481491
Kuskokwim,5,5,0.709224203
Kuskokwim,5,5,0.70924007
Kuskokwim,5,6,0.708388925
Kuskokwim,5,5,0.709257427
Kuskokwim,5,7,0.70868493
Kuskokwim,5,7,0.707016446
Kuskokwim,5,5,0.709234523
Kuskokwim,5,5,0.70923353
Kuskokwim,5,6,0.707310637
Kuskokwim,5,7,0.709186659
Kuskokwim,5,7,0.70918574
Kuskokwim,5,7,0.708753899
Kuskokwim,5,7,0.709312036
Kuskokwim,5,5,0.708977475
Kuskokwim,5,6,0.707300175
Kuskokwim,5,7,0.708709062
Kuskokwim,5,5,0.705106807
Kuskokwim,5,7,0.709433818
Kuskokwim,5,5,0.709401474
Kuskokwim,5,7,0.70702106
Kuskokwim,5,7,0.709445334
Kuskokwim,5,7,0.707030547
Kuskokwim,5,6,0.706614901
Kuskokwim,5,5,0.705049642
Kuskokwim,5,6,0.706645575
Kuskokwim,5,6,0.707253496
Kuskokwim,5,5,0.706943206
Kuskokwim,5,5,0.705004976
Kuskokwim,5,7,0.708688687
Kuskokwim,5,6,0.706904639
Kuskokwim,5,5,0.705013953
Kuskokwim,5,7,0.708730416
Kuskokwim,5,6,0.706764557
Kuskokwim,5,6,0.706848183
Kuskokwim,5,6,0.707292412
Kuskokwim,5,6,0.70673265
Kuskokwim,5,5,0.705130663
Kuskokwim,5,5,0.705109016
Kuskokwim,5,5,0.706947125
Kuskokwim,5,6,0.707304632
Kuskokwim,5,5,0.705055759
Kuskokwim,5,7,0.708694405
Kuskokwim,5,6,0.706647004
Kuskokwim,5,6,0.706698391
Kuskokwim,5,6,0.706999917
Kuskokwim,5,7,0.707050492
Kuskokwim,5,7,0.708703557
Kuskokwim,5,6,0.706807684
Kuskokwim,5,6,0.706661252
Kuskokwim,5,6,0.706754053
Kuskokwim,5,6,0.706788988
Kuskokwim,5,5,0.705068656
Kuskokwim,5,7,0.708715088
Kuskokwim,5,5,0.706819099
Kuskokwim,5,5,0.707940224
Kuskokwim,5,5,0.706994798
Kuskokwim,5,6,0.706948875
Kuskokwim,5,5,0.705130364
Kuskokwim,5,5,0.706944521
Kuskokwim,5,6,0.706944117
Kuskokwim,5,5,0.705063551
Kuskokwim,5,5,0.706918496
Kuskokwim,5,6,0.706975757
Kuskokwim,5,5,0.706885381
Kuskokwim,5,5,0.705009487
Kuskokwim,5,7,0.708746806
Kuskokwim,5,6,0.706744949
Kuskokwim,5,5,0.705007056
Kuskokwim,5,5,0.705005222
Kuskokwim,5,6,0.706859514
Kuskokwim,5,7,0.708896518
Kuskokwim,5,6,0.707225142
Kuskokwim,5,7,0.708973289
Kuskokwim,5,5,0.706991782
Kuskokwim,5,5,0.706807266
Kuskokwim,5,5,0.707023647
Kuskokwim,5,5,0.707834978
Kuskokwim,5,6,0.705167672
Kuskokwim,5,5,0.707024047
Kuskokwim,5,7,0.708906106
Kuskokwim,5,5,0.706901572
Kuskokwim,5,5,0.706936645
Kuskokwim,5,5,0.707878182
Kuskokwim,5,5,0.707908273
Kuskokwim,5,5,0.707886079
Kuskokwim,5,5,0.707542202
Kuskokwim,5,5,0.707837921
Kuskokwim,5,5,0.70584
Kuskokwim,5,5,0.708272122
Kuskokwim,5,7,0.708892342
Kuskokwim,5,5,0.708852216
Kuskokwim,5,5,0.706407565
Kuskokwim,5,6,0.70843123
Kuskokwim,5,5,0.709107733
Kuskokwim,5,5,0.705764662
Kuskokwim,5,7,0.708777371
Kuskokwim,5,7,0.708159753
Kuskokwim,5,7,0.708209603
Kuskokwim,5,6,0.707299929
Kuskokwim,5,7,0.709197825
Kuskokwim,5,7,0.708740325
Kuskokwim,5,6,0.706863419
Kuskokwim,5,7,0.708751996
Kuskokwim,5,5,0.706937223
Kuskokwim,5,6,0.706738813
Kuskokwim,5,5,0.705017627
Kuskokwim,5,6,0.707315403
Kuskokwim,5,5,0.704956493
Kuskokwim,5,5,0.707004898
Kuskokwim,5,6,0.707729283
Kuskokwim,5,7,0.708925841
Kuskokwim,5,5,0.705005967
Kuskokwim,5,6,0.707278971
Kuskokwim,5,5,0.704931321
Kuskokwim,5,6,0.707338999
Kuskokwim,5,6,0.707331915
Kuskokwim,5,7,0.708768244
Kuskokwim,5,5,0.705006041
Kuskokwim,5,7,0.708792116
Kuskokwim,5,7,0.708811967
Kuskokwim,5,5,0.70492353
Kuskokwim,5,5,0.704933495
Kuskokwim,5,7,0.708934755
Kuskokwim,5,5,0.704937815
Kuskokwim,5,5,0.706467875
Kuskokwim,5,5,0.706969846
Kuskokwim,5,7,0.708901979
Kuskokwim,5,5,0.706949932
Kuskokwim,5,7,0.708982319
Kuskokwim,5,5,0.707913294
Kuskokwim,5,5,0.708177293
Kuskokwim,5,7,0.708794192
Kuskokwim,5,7,0.708591733
Kuskokwim,5,5,0.706624497
Kuskokwim,5,7,0.708814187
Kuskokwim,5,5,0.707897933
Kuskokwim,5,5,0.707925676
Kuskokwim,5,5,0.706305657
Kuskokwim,5,5,0.706363684
Kuskokwim,5,7,0.709707175
Kuskokwim,5,5,0.708292759
Kuskokwim,5,7,0.709609307
Kuskokwim,5,6,0.709124466
Kuskokwim,5,7,0.708859258
Kuskokwim,5,5,0.706138911
Kuskokwim,5,5,0.706824786
Kuskokwim,5,6,0.707000893
Kuskokwim,5,7,0.708924652
Kuskokwim,5,6,0.707167266
Kuskokwim,5,5,0.706337646
Kuskokwim,5,5,0.707027036
Kuskokwim,5,5,0.705933507
Kuskokwim,5,6,0.707120733
Kuskokwim,5,5,0.707357625
Kuskokwim,5,5,0.708774969
Kuskokwim,5,5,0.70741487
Kuskokwim,5,5,0.707455782
Kuskokwim,5,5,0.708780433
Kuskokwim,5,7,0.708318681
Kuskokwim,5,7,0.708446387
Kuskokwim,5,5,0.705843626
Kuskokwim,5,7,0.708653538
Kuskokwim,5,7,0.708676292
Kuskokwim,5,5,0.709097779
Kuskokwim,5,7,0.708467396
Kuskokwim,5,5,0.709129998
Kuskokwim,5,7,0.708652015
Kuskokwim,5,5,0.705837373
Kuskokwim,5,5,0.706378273
Kuskokwim,5,6,0.7084359
Kuskokwim,5,7,0.708246818
Kuskokwim,5,5,0.707803914
Kuskokwim,5,5,0.706960988
Kuskokwim,5,5,0.707966691
Kuskokwim,5,5,0.707727257
Kuskokwim,5,5,0.707713691
Kuskokwim,5,7,0.708805355
Kuskokwim,5,5,0.70788469
Kuskokwim,5,7,0.708837717
Kuskokwim,5,5,0.706310991
Kuskokwim,5,5,0.70675926
Kuskokwim,5,7,0.709340586
Kuskokwim,5,5,0.708845583
Kuskokwim,5,5,0.708893141
Kuskokwim,5,6,0.707297745
Kuskokwim,5,7,0.709351674
Kuskokwim,5,7,0.709606212
Kuskokwim,5,7,0.709640719
Kuskokwim,5,7,0.709594657
Kuskokwim,5,6,0.708978508
Kuskokwim,5,7,0.709656161
Kuskokwim,5,7,0.709595777
Kuskokwim,5,7,0.709679405
Kuskokwim,5,7,0.709422325
Kuskokwim,5,5,0.708281437
Kuskokwim,5,7,0.708836322
Kuskokwim,5,7,0.708948045
Kuskokwim,5,5,0.704936171
Kuskokwim,5,6,0.707030019
Kuskokwim,5,5,0.704934928
Kuskokwim,5,5,0.706773857
Kuskokwim,5,5,0.70609662
Kuskokwim,5,7,0.708944073
Kuskokwim,5,5,0.706701292
Kuskokwim,5,7,0.708892197
Kuskokwim,5,6,0.707019532
Kuskokwim,5,6,0.706977605
Kuskokwim,5,6,0.707329074
Kuskokwim,5,5,0.704934526
Kuskokwim,5,7,0.70891831
Kuskokwim,5,5,0.706194093
Kuskokwim,5,5,0.706121773
Kuskokwim,5,7,0.708951151
Kuskokwim,5,5,0.706719288
Kuskokwim,5,6,0.707044496
Kuskokwim,5,6,0.707095342
Kuskokwim,5,7,0.708954006
Kuskokwim,5,6,0.707150004
Kuskokwim,5,6,0.707191728
Kuskokwim,5,5,0.704944005
Kuskokwim,5,5,0.706735093
Kuskokwim,5,6,0.707297552
Kuskokwim,5,6,0.707386121
Kuskokwim,5,5,0.706258967
Kuskokwim,5,6,0.707304951
Kuskokwim,5,6,0.70725821
Kuskokwim,5,7,0.708955618
Kuskokwim,5,6,0.707124301
Kuskokwim,5,7,0.708954322
Kuskokwim,5,6,0.707058395
Kuskokwim,5,7,0.708951983
Kuskokwim,5,7,0.708946723
Kuskokwim,5,5,0.706969626
Kuskokwim,5,5,0.707040517
Kuskokwim,5,6,0.70784057
Kuskokwim,5,6,0.707024003
Kuskokwim,5,7,0.70894021
Kuskokwim,5,5,0.706843292
Kuskokwim,5,5,0.706853043
Kuskokwim,5,7,0.708932172
Kuskokwim,5,7,0.708920173
Kuskokwim,5,5,0.706808598
Kuskokwim,5,5,0.706315629
Kuskokwim,5,6,0.706969722
Kuskokwim,5,6,0.706965828
Kuskokwim,5,5,0.704951895
Kuskokwim,5,6,0.706959434
Kuskokwim,5,6,0.70774569
Kuskokwim,5,7,0.70889474
Kuskokwim,5,7,0.708903752
Kuskokwim,5,5,0.706928016
Kuskokwim,5,7,0.708895558
Kuskokwim,5,5,0.706426987
Kuskokwim,5,7,0.708894712
Kuskokwim,5,6,0.707718307
Kuskokwim,5,7,0.708894341
Kuskokwim,5,5,0.704956163
Kuskokwim,5,7,0.708894748
Kuskokwim,5,7,0.708894723
Kuskokwim,5,7,0.708901577
Kuskokwim,5,5,0.706452698
Kuskokwim,5,5,0.704963221
Kuskokwim,5,5,0.707060763
