year,stream_order,focal_reach,group_individuals,n_reaches_in_group,n_reaches_with_production
2015,5,1165,0,13,0
2015,5,1360,0,23,0
2015,5,1471,0,23,0
2015,5,1512,0,21,0
2015,5,1516,0,45,0
2015,5,1578,0,13,0
2015,5,1661,0,13,0
2015,5,1749,0,13,0
2015,5,1847,0,63,0
2015,5,2090,0,41,0
2015,5,2142,0,17,0
2015,5,2167,0,47,0
2015,5,2212,0,23,0
2015,5,2252,0,17,0
2015,5,2284,0,13,0
2015,5,2397,0,9,0
2015,5,2478,0,35,0
2015,5,2589,0,19,0
2015,5,2636,0,27,0
2015,5,2802,0,9,0
2015,5,2881,0,13,0
2015,5,2900,0,21,0
2015,5,3054,0,27,0
2015,5,2983,0,17,0
2015,5,3085,0,19,0
2015,5,3086,0,17,0
2015,5,3099,0,9,0
2015,5,3154,0,57,0
2015,5,3288,0,11,0
2015,5,3326,0,17,0
2015,5,3376,0,7,0
2015,5,3394,0,25,0
2015,5,3690,0,53,0
2015,5,3707,0,21,0
2015,5,3716,0,37,0
2015,5,3781,0,17,0
2015,5,3928,0,13,0
2015,5,3954,0,31,0
2015,5,4128,332.6502247042403,17,1
2015,5,4196,0,21,0
2015,5,4224,0,17,0
2015,5,4298,0,65,0
2015,5,4324,0,11,0
2015,5,4536,0,7,0
2015,5,4657,0,13,0
2015,5,4721,0,25,0
2015,5,4774,485.79174569972736,61,1
2015,5,4864,0,7,0
2015,5,5025,98.73244621136834,47,3
2015,5,5079,81.57920802000329,73,4
2015,5,5134,0,11,0
2015,5,5202,8278.002095940505,123,22
2015,5,5277,0,15,0
2015,5,5285,0,11,0
2015,5,5440,0,15,0
2015,5,5542,0,17,0
2015,5,5570,0,7,0
2015,5,5745,60.47732474499717,17,1
2015,5,5696,2656.2107354675222,53,7
2015,5,5810,0,17,0
2015,5,5890,0,21,0
2015,5,5897,0,15,0
2015,5,5938,0,23,0
2015,5,5957,0,13,0
2015,5,6142,21.875910316828794,13,1
2015,5,6097,0,7,0
2015,5,6135,23.75556468050982,15,2
2015,5,6164,0,13,0
2015,5,6191,0,23,0
2015,5,6192,0,37,0
2015,5,6221,40.760145684278356,25,2
2015,5,6265,350.82521490364854,23,4
2015,5,6296,138.97735417089834,31,1
2015,5,6326,0,7,0
2015,5,6352,0,15,0
2015,5,6417,0,11,0
2015,5,6431,2782.529328216655,41,7
2015,5,6497,0,7,0
2015,5,6535,123.93667919474572,21,3
2015,5,6581,0,43,0
2015,5,6618,0,27,0
2015,5,6787,0,17,0
