focal_reach,stream_order,Year_2015,Year_2016,Year_2017,Year_2018,Year_2019,Year_2021
1165,5,2.1410637213249259e-4,2.0374486253349797e-4,2.3648730892039479e-4,2.7451345131060314e-4,2.7471584096062625e-4,3.489234499101267e-5
1360,5,6.957554793643231e-4,6.74746950240414e-4,7.751441901658931e-4,8.066345340051293e-4,8.874727196251607e-4,9.844234129797446e-5
1471,5,0,0,0,0,0,0
1512,5,1.7123855223049426e-4,1.6318523611655886e-4,1.8940876144551175e-4,2.205753201731942e-4,2.1992205033178575e-4,2.8056481986175374e-5
1516,5,8.914524661744784e-4,8.776327640174121e-4,9.89788878427341e-4,9.271516422004592e-4,0.0011374110471124412,1.0643096558820478e-4
1578,5,7.933274059574682e-5,7.802415839195528e-5,8.634061838436034e-5,7.596343387740338e-5,1.0153470097057254e-4,8.211550555166244e-6
1661,5,0,0,0,0,0,0
1749,5,1.7091664714036835e-4,1.6782633003304008e-4,1.8421604258558232e-4,1.5803084025029217e-4,2.190445286910677e-4,1.6604551212906098e-5
1847,5,0.0032899393706778404,0.0032176326921177266,0.0037323768170301388,0.003845071328091653,0.004175377244618953,4.744348574517751e-4
2090,5,3.668676071998604e-4,3.4053354910967306e-4,3.9017991844092156e-4,5.28744324673212e-4,4.832621198790643e-4,6.84379896428266e-5
2142,5,2.2390641017349755e-4,2.162250376980393e-4,2.530089215762969e-4,2.7587682089170296e-4,2.8421782640664865e-4,3.4905111607777245e-5
2167,5,0.0010583819465920517,0.001039076617214369,0.0011402077332941477,9.767820733780513e-4,0.0013563221781599428,1.0248425400983717e-4
2212,5,1.891731763006039e-4,1.7676447403238487e-4,2.05698914059388e-4,2.632797413950838e-4,2.4517882308925016e-4,3.425679267958429e-5
2252,5,0,0,0,0,0,0
2284,5,0,0,0,0,0,0
2397,5,0,0,0,0,0,0
2478,5,7.440833063618213e-4,7.122370145738734e-4,8.341527857127031e-4,9.45752495913768e-4,9.477227139086058e-4,1.208522857346542e-4
2589,5,2.8164296465630397e-4,2.670978551284664e-4,3.1619081519917503e-4,3.6936719069716097e-4,3.5740372784534113e-4,4.8066085204552944e-5
2636,5,8.08004194762071e-4,7.595207632372151e-4,9.047243526057441e-4,0.001081961934952672,0.0010235477859024218,1.4236530862449796e-4
2802,5,0,0,0,0,0,0
2881,5,0,0,0,0,0,0
2900,5,4.893424418668061e-4,4.637806038460043e-4,5.496041647225496e-4,6.42651387907162e-4,6.206009594897431e-4,8.373760270295211e-5
2983,5,9.216571342235476e-5,8.724313631686706e-5,1.0334540518403572e-4,1.215306507463354e-4,1.1698919945975904e-4,1.5847008724103053e-5
3054,5,3.781758857913989e-4,3.6769527125648e-4,4.274166344307301e-4,4.511925096648483e-4,4.803822218521797e-4,5.617626966461091e-5
3085,5,1.6760072839535435e-4,1.6056163916637525e-4,1.8854050581391615e-4,2.1242176031887225e-4,2.1297243548396851e-4,2.718933272545983e-5
3086,5,4.562362942210064e-5,4.4412589806912e-5,5.1495218827834e-5,5.3915872178765694e-5,5.7988812863861e-5,6.676634127500757e-6
