focal_reach,stream_order,Year_2015,Year_2016,Year_2021
1165,5,0.0695495344908986,0.03714892742316419,0.03108397418873003
1360,5,0.17494563700538107,0.09686517632735804,0.07773837117854687
1471,5,0,0,0
1512,5,0.055835264599393614,0.029811992848502576,0.024973684038515357
1516,5,0.24286123764304593,0.14417644693837886,0.10453384477710004
1578,5,0.02000677034827163,0.01228616470635797,0.008367377678855386
1661,5,0,0,0
1749,5,0.04170236914385957,0.025963171741407515,0.017201696413573546
1847,5,0.9023607252435784,0.508635242012125,0.4016328502562231
2090,5,0.12929633779617192,0.06528896979132029,0.05777860877562894
2142,5,0.07105173102550733,0.03888800550516058,0.03188426781596864
2167,5,0.25780137549876864,0.1606111903817805,0.10626551554094565
2212,5,0.055720119313538055,0.028641717429724392,0.02510852765373231
2252,5,0,0,0
2284,5,0,0,0
2397,5,0,0,0
2478,5,0.2206233111134878,0.11838016728341326,0.09919438150819615
2589,5,0.0890736865785514,0.04701778842749574,0.04034466497157844
2636,5,0.21356707425033358,0.11075182058373906,0.09717677568958047
2802,5,0,0,0
2881,5,0,0,0
2900,5,0.12406486795609338,0.06541298526020622,0.05623068336823989
2983,5,0.030980450606993212,0.01629959414097204,0.014039073310783311
3054,5,0.11667265347818528,0.06496696046514194,0.05204027778287558
3085,5,0.04787206702418324,0.025639450300237808,0.021588516660061945
3086,5,0.013951369333840988,0.00780418835905652,0.006207738275054725
3099,5,0,0,0
3154,5,0.6053563818634385,0.3135118748005121,0.2730376627735664
3288,5,0,0,0
3326,5,0.17574182307687802,0.09540698416751107,0.07924790923725754
3376,5,0,0,0
3394,5,0.14058647954949932,0.0771082891249768,0.06326467414233175
3690,5,0.5010223153777711,0.2685276860221229,0.22559573113865483
3707,5,0.24730912717602863,0.1262721590821825,0.11293349045182172
3716,5,0.48292548601438823,0.2592946203444356,0.21766125450883245
3781,5,0,0,0
3928,5,4.920003183320563e-4,2.6935466679231865e-4,2.2138586881607426e-4
3954,5,0,0,0
4128,5,0.11923353279270273,0.06432095762029601,0.05385073593278554
4196,5,0.18302986922706496,0.11545838269983932,0.07500826253829676
4224,5,0.05597093675438172,0.03633804697216686,0.017009001565963893
4298,5,0.9626167068255441,0.5063085979595694,0.44126684817057443
4324,5,0,0,0
4536,5,0,0,0
4657,5,0.02752456293534951,0.01515205598837935,0.012362677906367194
4721,5,0.32306233629346753,0.17775335377305276,0.1450432032707751
4774,5,0.7448676508189821,0.37597229447404035,0.3394014084256243
4864,5,0.009241396135990518,0.017209312364938542,0.01561592755654294
5025,5,0.17408100233088875,0.34343415379662046,0.22868831504925585
5079,5,0.228644298169207,0.4635090886755738,0.26937696062595645
5134,5,0,0,0
5202,5,2.656035658516322,1.3685746020404521,1.210890772433819
5277,5,0.11164489036204193,0.05648293601126206,0.05057244961765405
5285,5,0,0,0
5440,5,0.04304555098823485,0.02297264039750145,0.019455737873288078
5542,5,0,0,0
5570,5,0,0,0
5696,5,1.0636960757812737,0.5471004553651755,0.4886753128337068
5745,5,0.07378653454138052,0.11778002259564663,0.16780164812454718
