focal_reach,stream_order,Year_2015,Year_2016,Year_2021
1165,5,6.954953449089868e-4,3.71489274231643e-4,3.108397418873002e-4
1360,5,0.0017494563700538126,9.686517632735832e-4,7.773837117854687e-4
1471,5,0,0,0
1512,5,5.583526459939368e-4,2.981199284850266e-4,2.497368403851535e-4
1516,5,0.002428612376430462,0.0014417644693837928,0.0010453384477710002
1578,5,2.0006770348271653e-4,1.2286164706358006e-4,8.367377678855385e-5
1661,5,0,0,0
1749,5,4.170236914385962e-4,2.596317174140759e-4,1.7201696413573543e-4
1847,5,0.009023607252435794,0.005086352420121265,0.00401632850256223
2090,5,0.0012929633779617206,6.528896979132047e-4,5.777860877562893e-4
2142,5,7.10517310255074e-4,3.8888005505160697e-4,3.1884267815968635e-4
2167,5,0.002578013754987689,0.0016061119038178096,0.0010626551554094564
2212,5,5.572011931353812e-4,2.8641717429724473e-4,2.5108527653732306e-4
2252,5,0,0,0
2284,5,0,0,0
2397,5,0,0,0
2478,5,0.0022062331111348805,0.001183801672834136,9.919438150819612e-4
2589,5,8.907368657855149e-4,4.701778842749587e-4,4.0344664971578433e-4
2636,5,0.002135670742503338,0.0011075182058373938,9.717677568958046e-4
2802,5,0,0,0
2881,5,0,0,0
2900,5,0.001240648679560935,6.541298526020641e-4,5.623068336823988e-4
2983,5,3.0980450606993244e-4,1.6299594140972086e-4,1.403907331078331e-4
3054,5,0.001166726534781854,6.496696046514212e-4,5.204027778287557e-4
3085,5,4.78720670241833e-4,2.5639450300237886e-4,2.1588516660061942e-4
3086,5,1.3951369333841003e-4,7.804188359056543e-5,6.207738275054723e-5
3099,5,0,0,0
3154,5,0.0060535638186343926,0.00313511874800513,0.0027303766277356634
3288,5,0,0,0
3326,5,0.0017574182307687823,9.540698416751135e-4,7.924790923725753e-4
3376,5,0,0,0
3394,5,0.0014058647954949947,7.710828912497702e-4,6.326467414233173e-4
3690,5,0.005010223153777716,0.0026852768602212366,0.002255957311386548
3707,5,0.002473091271760289,0.0012627215908218288,0.001129334904518217
3716,5,0.004829254860143887,0.0025929462034443634,0.002176612545088324
3781,5,0,0,0
3928,5,4.920003183320568e-6,2.693546667923194e-6,2.213858688160742e-6
3954,5,0,0,0
