year,stream_order,focal_reach,group_production,pct_of_total,n_reaches_in_group,n_reaches_with_production
2015,5,1165,6.954953449089868e-4,0.0695495344908986,13,2
2015,5,1360,0.0017494563700538126,0.17494563700538107,23,5
2015,5,1471,0,0,23,0
2015,5,1512,5.583526459939368e-4,0.055835264599393614,21,2
2015,5,1516,0.002428612376430462,0.24286123764304593,45,6
2015,5,1578,2.0006770348271653e-4,0.02000677034827163,13,1
2015,5,1661,0,0,13,0
2015,5,1749,4.170236914385962e-4,0.04170236914385957,13,1
2015,5,1847,0.009023607252435794,0.9023607252435784,63,18
2015,5,2090,0.0012929633779617206,0.12929633779617192,41,4
2015,5,2142,7.10517310255074e-4,0.07105173102550733,17,1
2015,5,2167,0.002578013754987689,0.25780137549876864,47,9
2015,5,2212,5.572011931353812e-4,0.055720119313538055,23,1
2015,5,2252,0,0,17,0
2015,5,2284,0,0,13,0
2015,5,2397,0,0,9,0
2015,5,2478,0.0022062331111348805,0.2206233111134878,35,5
2015,5,2589,8.907368657855149e-4,0.0890736865785514,19,2
2015,5,2636,0.002135670742503338,0.21356707425033358,27,6
2015,5,2802,0,0,9,0
2015,5,2881,0,0,13,0
2015,5,2900,0.001240648679560935,0.12406486795609338,21,3
2015,5,3054,0.001166726534781854,0.11667265347818528,27,3
2015,5,2983,3.0980450606993244e-4,0.030980450606993212,17,1
2015,5,3085,4.78720670241833e-4,0.04787206702418324,19,3
2015,5,3086,1.3951369333841003e-4,0.013951369333840988,17,1
2015,5,3099,0,0,9,0
2015,5,3154,0.0060535638186343926,0.6053563818634385,57,12
2015,5,3288,0,0,11,0
2015,5,3326,0.0017574182307687823,0.17574182307687802,17,4
2015,5,3376,0,0,7,0
2015,5,3394,0.0014058647954949947,0.14058647954949932,25,5
2015,5,3690,0.005010223153777716,0.5010223153777711,53,10
2015,5,3707,0.002473091271760289,0.24730912717602863,21,6
2015,5,3716,0.004829254860143887,0.48292548601438823,37,10
2015,5,3781,0,0,17,0
2015,5,3928,4.920003183320568e-6,4.920003183320563e-4,13,1
2015,5,3954,0,0,31,0
2015,5,4128,0.0011923353279270285,0.11923353279270273,17,2
2015,5,4196,0.0018302986922706516,0.18302986922706496,21,7
2015,5,4224,5.597093675438179e-4,0.05597093675438172,17,4
2015,5,4298,0.009626167068255451,0.9626167068255441,65,16
2015,5,4324,0,0,11,0
2015,5,4536,0,0,7,0
2015,5,4657,2.752456293534954e-4,0.02752456293534951,13,1
2015,5,4721,0.003230623362934679,0.32306233629346753,25,7
2015,5,4774,0.007448676508189829,0.7448676508189821,61,12
2015,5,4864,9.241396135990528e-5,0.009241396135990518,7,1
2015,5,5025,0.0017408100233088893,0.17408100233088875,47,11
2015,5,5079,0.0022864429816920728,0.228644298169207,73,18
2015,5,5134,0,0,11,0
2015,5,5202,0.026560356585163248,2.656035658516322,123,32
2015,5,5277,0.0011164489036204206,0.11164489036204193,15,4
2015,5,5285,0,0,11,0
2015,5,5440,4.3045550988234896e-4,0.04304555098823485,15,2
2015,5,5542,0,0,17,0
2015,5,5570,0,0,7,0
2015,5,5745,7.378653454138062e-4,0.07378653454138052,17,3
2015,5,5696,0.01063696075781275,1.0636960757812737,53,14
