stream_order,year,n_groups,total_individuals,mean_individuals_per_group,sd_individuals_per_group,max_individuals_group
5,2015,271,40014.61816943846,147.65541759940385,674.2099426526216,8278.002095940505
5,2016,271,45298.78157256518,167.15417554452088,518.9681589584728,4881.153230569648
5,2018,271,42167.9097920037,155.60114314392513,526.3620640921274,5684.689398278664
5,2021,271,30289.91376586891,111.77089950505137,351.5578050546037,3276.693963497033
6,2015,71,99653.16814281046,1403.565748490289,2662.842186451665,14530.337000968724
6,2016,71,110572.2163864204,1557.3551603721182,2095.978841663938,8850.30090286457
6,2018,71,106575.47960290698,1501.0630929986896,2143.6056777499484,10148.551870288336
6,2021,71,77919.22843135148,1097.4539215683305,1469.6330533181417,5680.147334554452
7,2015,17,172067.17146267966,10121.598321334095,10821.73392665399,36281.578872296675
7,2016,17,244109.64783209102,14359.391048946532,11966.989420905771,45533.99415505716
7,2018,17,219393.03150154272,12905.472441267217,10879.59916028999,38916.736267398825
7,2021,17,173879.07518975568,10228.180893515042,8626.505679377084,29784.899611907545
