focal_reach,stream_order,n_years_with_individuals,mean_individuals,sd_individuals,cv
1814,7,4,2210.88183548543,777.0890804871924,0.3514837690620275
1985,7,4,24136.202143745635,8813.792505131587,0.3651689877570688
2026,6,4,4271.19020140887,1702.5509027050687,0.3986127571990297
2101,7,4,12048.622130753796,4766.722016935928,0.39562382861763035
2191,6,4,6260.173647478585,2470.2855111484996,0.3946033529187259
3008,6,4,205.25712679660455,76.77528544494047,0.3740444321868512
3202,6,4,803.0024840382218,333.3107497759486,0.4150805961393308
3881,6,4,9603.907835551112,3757.499811692603,0.3912469669672733
4128,5,4,225.2999406461891,80.15452816028012,0.3557680837837181
4774,5,4,320.8088695824134,124.90415640756284,0.389341343866666
4933,6,4,5737.573670768839,2123.726349382023,0.37014363060848365
5025,5,4,118.7324142082897,91.92048420907653,0.7741818847195545
5079,5,3,127.12137894316444,67.50434610581063,0.5310227647545548
5202,5,4,5530.134672071463,2087.5691190974467,0.37748974353919135
5361,6,4,158.08753875341705,128.65302562118066,0.8138087709863838
5696,5,4,1732.7774446742187,672.9749916476584,0.38837935807398805
5745,5,4,87.98957787213322,33.481743220696,0.3805194209404186
6135,5,4,21.867496563763137,11.898037081390845,0.5440968995558096
6142,5,4,37.11747704369607,23.176751353493703,0.6244161295286631
6221,5,4,78.6503508372925,52.61896246622603,0.6690238747323738
6265,5,4,608.3146180298552,220.0084930277136,0.3616689234597941
6296,5,4,80.00736558987344,39.60753423588971,0.4950485988867861
6356,6,4,907.4963515794691,398.34437291283433,0.4389487321018188
6431,5,4,1810.811973670634,722.4716271404283,0.3989766125060081
6535,5,4,202.80116207452483,78.179473228127,0.3854981521230032
6665,6,4,1754.6449412379818,674.9248825789256,0.3846504023217001
7044,6,4,3390.7239466050173,1298.6475384378764,0.3830000787112602
7217,6,4,283.72491243177507,162.1978632508483,0.5716729696404458
7268,5,4,159.29625369763662,60.162743784147594,0.37767833447196875
7296,5,4,136.58620590256962,99.23077897477832,0.726506592075353
7397,6,4,226.8974218170745,134.13018322076357,0.5911489965227538
7494,5,4,37.99232488210558,33.64725945928967,0.8856330736194974
7502,5,4,217.02523339305685,79.88401421980275,0.3680862956388298
7732,6,4,1327.5220823464545,476.12698798234214,0.3586584316102422
7807,5,4,46.00399042636997,28.4188254727453,0.6177469651949005
7874,6,4,15.463799850474606,14.001871619007122,0.9054612549565161
7895,5,4,78.8719804230944,43.527647349373574,0.5518771953725191
7913,5,4,107.66762333192983,47.53828129195365,0.44152810121383756
