"segment_id","stream_order","basin_assign_norm","year","watershed","stream_length_m"
7,3,0,"2017","Kusko",13233.4934486769
151,4,0,"2017","Kusko",1285.40896611159
156,3,0,"2017","Kusko",1316.50809747792
205,4,0,"2017","Kusko",3455.89146884117
206,4,0,"2017","Kusko",1798.5169550658
210,4,0,"2017","Kusko",787.762304751925
259,4,0,"2017","Kusko",2006.95697572938
358,3,0,"2017","Kusko",619.931040684687
360,4,0,"2017","Kusko",413.853438124644
127,3,0,"2017","Kusko",2734.59816934954
1244,3,0,"2017","Kusko",2204.20390455046
1245,7,0,"2017","Kusko",406.041412263724
608,3,0,"2017","Kusko",1295.07621125474
362,4,0,"2017","Kusko",919.009343217209
40,3,0,"2017","Kusko",1087.52938149688
44,3,0,"2017","Kusko",1566.92673876515
47,3,0,"2017","Kusko",6363.47420677518
52,3,0,"2017","Kusko",666.266662277188
56,3,0,"2017","Kusko",2916.63972669231
57,4,0,"2017","Kusko",5845.82085140928
58,3,0,"2017","Kusko",448.237704560618
60,3,0,"2017","Kusko",1544.26092488613
69,3,0,"2017","Kusko",1133.25120236662
71,4,0,"2017","Kusko",5487.61239826305
74,3,0,"2017","Kusko",1704.66973482768
79,4,0,"2017","Kusko",6977.70847523671
81,4,0,"2017","Kusko",22778.1789440894
83,4,0,"2017","Kusko",2075.81781789633
87,4,0,"2017","Kusko",1128.1840182135
89,3,0,"2017","Kusko",3459.38186197934
95,4,0,"2017","Kusko",1450.9052964568
99,3,0,"2017","Kusko",2741.33623568593
105,3,0,"2017","Kusko",1813.5342665262
199,3,0,"2017","Kusko",2851.3061004485
201,4,0,"2017","Kusko",929.014299260052
313,3,0,"2017","Kusko",1734.4520175083
405,3,0,"2017","Kusko",3312.58181393967
228,4,0,"2017","Kusko",3120.82494880469
388,3,0,"2017","Kusko",637.66648283936
320,3,0,"2017","Kusko",532.631512484466
323,3,0,"2017","Kusko",3597.03505950345
324,3,0,"2017","Kusko",171.104128300557
399,3,0,"2017","Kusko",816.56849921953
484,4,0,"2017","Kusko",2366.08678117195
486,3,0,"2017","Kusko",4966.81841320228
548,4,0,"2017","Kusko",3786.87014393505
637,3,0,"2017","Kusko",11411.5593209948
638,5,0,"2017","Kusko",506.385663580489
641,5,0,"2017","Kusko",1507.94639973701
642,3,0,"2017","Kusko",1490.00385536027
643,5,0,"2017","Kusko",1761.49054503011
745,3,0,"2017","Kusko",2544.77285789393
747,4,0,"2017","Kusko",5519.80455339215
748,3,0.390897963096224,"2017","Kusko",10497.7059814885
5599,6,0.390727292047586,"2017","Kusko",12158.3831656767
11522,5,0.532252241685297,"2017","Kusko",5861.67042754667
7473,5,0.515626911066709,"2017","Kusko",7779.02900162982
1642,7,0,"2017","Kusko",409.136366159707
1643,3,0.142697261948633,"2017","Kusko",817.462600436267
1976,3,0,"2017","Kusko",1662.28991324923
513,3,0,"2017","Kusko",1190.37317603171
888,4,0,"2017","Kusko",257.107308953368
890,4,0,"2017","Kusko",5024.32674704892
891,4,0,"2017","Kusko",1384.26162075415
697,3,0,"2017","Kusko",3904.35943410692
698,5,0,"2017","Kusko",2643.69890667207
699,3,0.385873264106567,"2017","Kusko",2135.5263748755
983,3,0,"2017","Kusko",2588.3108083738
1075,4,0,"2017","Kusko",1310.71846883545
1076,7,0,"2017","Kusko",1126.33558514954
1083,7,0,"2017","Kusko",319.364937923394
1084,4,0,"2017","Kusko",1232.17372514767
1090,6,0,"2017","Kusko",2906.01739382106
536,3,0,"2017","Kusko",1300.28474131952
597,3,0,"2017","Kusko",1154.54042339429
1275,3,0,"2017","Kusko",213.996891548445
1277,3,0,"2017","Kusko",1524.17389416916
1280,6,0,"2017","Kusko",1370.92281994487
11550,3,0.0320403267058177,"2017","Kusko",2220.17654736225
