year,stream_order,focal_reach,group_production,pct_of_total,n_reaches_in_group,n_reaches_with_production
2015,5,1165,2.1410637213249259e-4,0.02141063721324929,13,2
2015,5,1360,6.957554793643231e-4,0.06957554793643242,23,6
2015,5,1471,0,0,23,0
2015,5,1512,1.7123855223049426e-4,0.017123855223049454,21,2
2015,5,1516,8.914524661744784e-4,0.08914524661744798,45,6
2015,5,1578,7.933274059574682e-5,0.007933274059574693,13,1
2015,5,1661,0,0,13,0
2015,5,1749,1.7091664714036835e-4,0.017091664714036864,13,1
2015,5,1847,0.0032899393706778404,0.32899393706778457,63,21
2015,5,2090,3.668676071998604e-4,0.0366867607199861,41,4
2015,5,2142,2.2390641017349755e-4,0.02239064101734979,17,1
2015,5,2167,0.0010583819465920517,0.10583819465920534,47,9
2015,5,2212,1.891731763006039e-4,0.01891731763006042,23,2
2015,5,2252,0,0,17,0
2015,5,2284,0,0,13,0
2015,5,2397,0,0,9,0
2015,5,2478,7.440833063618213e-4,0.07440833063618225,35,6
2015,5,2589,2.8164296465630397e-4,0.028164296465630442,19,3
2015,5,2636,8.08004194762071e-4,0.08080041947620724,27,8
2015,5,2802,0,0,9,0
2015,5,2881,0,0,13,0
2015,5,2900,4.893424418668061e-4,0.04893424418668069,21,4
2015,5,3054,3.781758857913989e-4,0.03781758857913995,27,3
2015,5,2983,9.216571342235476e-5,0.009216571342235491,17,1
2015,5,3085,1.6760072839535435e-4,0.016760072839535463,19,4
2015,5,3086,4.562362942210064e-5,0.004562362942210071,17,1
2015,5,3099,0,0,9,0
2015,5,3154,0.0019405924025695485,0.19405924025695515,57,14
2015,5,3288,0,0,11,0
2015,5,3326,5.452128312209768e-4,0.054521283122097766,17,4
2015,5,3376,0,0,7,0
2015,5,3394,4.423555643641833e-4,0.0442355564364184,25,5
2015,5,3690,0.0018959510096093436,0.18959510096093465,53,12
2015,5,3707,8.199839594861413e-4,0.08199839594861426,21,7
2015,5,3716,0.0015360914986158355,0.1536091498615838,37,11
2015,5,3781,0,0,17,0
2015,5,3928,1.5450839051136326e-6,1.5450839051136349e-4,13,1
2015,5,3954,0,0,31,0
2015,5,4128,3.665567924120046e-4,0.03665567924120052,17,2
2015,5,4196,8.205543062425375e-4,0.08205543062425388,21,8
2015,5,4224,3.495844828214757e-4,0.03495844828214762,17,4
2015,5,4298,0.0037029529703762874,0.3702952970376293,65,21
2015,5,4324,0,0,11,0
2015,5,4536,0,0,7,0
2015,5,4657,8.718385164053027e-5,0.00871838516405304,13,1
2015,5,4721,0.0010886264171378816,0.10886264171378833,25,8
2015,5,4774,0.002298118265701228,0.22981182657012314,61,13
2015,5,4864,1.6382813753718978e-4,0.016382813753719003,7,1
2015,5,5025,0.0035629379086063342,0.356293790860634,47,14
2015,5,5079,0.004276431421608878,0.4276431421608885,73,22
2015,5,5134,0,0,11,0
2015,5,5202,0.008073994541710448,0.8073994541710461,123,35
2015,5,5277,4.0933623549438517e-4,0.04093362354943858,15,6
2015,5,5285,0,0,11,0
2015,5,5440,1.7292879338757535e-4,0.01729287933875756,15,3
2015,5,5542,0,0,17,0
2015,5,5570,0,0,7,0
2015,5,5745,0.0013812740393397195,0.13812740393397216,17,3
2015,5,5696,0.0035605261939857333,0.3560526193985739,53,16
2015,5,5810,0.0015069209097430248,0.15069209097430272,17,5
2015,5,5890,0,0,21,0
2015,5,5897,9.722944359164142e-5,0.009722944359164157,15,2
2015,5,5938,7.762426850423039e-4,0.07762426850423051,23,8
2015,5,5957,2.8140432558775534e-4,0.028140432558775578,13,3
2015,5,6142,0.0016374658012586188,0.16374658012586213,13,4
2015,5,6097,0,0,7,0
2015,5,6135,7.936168947922374e-4,0.07936168947922385,15,5
2015,5,6164,6.961717311354912e-4,0.06961717311354923,13,2
2015,5,6191,0.0039012307118432114,0.39012307118432177,23,11
2015,5,6192,8.777459746149208e-4,0.08777459746149222,37,6
2015,5,6221,0.0038350952598190957,0.3835095259819102,25,12
2015,5,6265,0.004299272287563632,0.42992722875636386,23,11
2015,5,6296,0.001262619420737042,0.1262619420737044,31,8
2015,5,6326,0,0,7,0
2015,5,6352,0.0013889223533791952,0.13889223533791972,15,4
2015,5,6417,6.822357664953373e-5,0.006822357664953384,11,1
2015,5,6431,0.0031458018272833067,0.31458018272833116,41,15
2015,5,6497,4.882713663363387e-4,0.048827136633633944,7,2
2015,5,6535,0.0028943495964086465,0.2894349596408651,21,6
2015,5,6581,0.0017362305636892447,0.17362305636892472,43,13
2015,5,6618,0.001694192193276612,0.16941921932766146,27,5
2015,5,6787,3.04046828211879e-4,0.03040468282118795,17,1
2015,5,6875,0.0016339361252323953,0.16339361252323978,27,12
2015,5,7119,0.0013391282183527137,0.1339128218352716,41,5
2015,5,7172,1.621928433295e-4,0.016219284332950026,15,3
2015,5,7268,0.002153260415893821,0.21532604158938243,17,4
2015,5,7296,0.004686360402861166,0.4686360402861173,37,14
2015,5,7329,8.714988770877229e-7,8.714988770877242e-5,11,1
2015,5,7341,0.001642777096539702,0.16427770965397046,15,6
2015,5,7343,6.377297385476151e-4,0.0637729738547616,13,4
2015,5,7357,0,0,17,0
2015,5,7494,0.002004118017396966,0.2004118017396969,21,7
2015,5,7502,0.0026815755574940885,0.2681575557494093,53,18
2015,5,7696,0.0010999964872377556,0.10999964872377573,25,7
