year,stream_order,focal_reach,group_individuals,n_reaches_in_group,n_reaches_with_production,basin_total_run
2015,5,6097,0,7,0,161749
2015,5,6135,12.064657136273752,15,2,161749
2015,5,6164,0,13,0,161749
2015,5,6191,0,23,0,161749
2015,5,6192,0,37,0,161749
2015,5,6221,58.494590119290464,25,2,161749
2015,5,6265,412.28788291895006,23,4,161749
2015,5,6296,15.397642905280993,31,1,161749
2015,5,6326,0,7,0,161749
2015,5,6352,0,15,0,161749
2015,5,6417,0,11,0,161749
2015,5,6431,474.8444851813848,41,7,161749
2015,5,6497,0,7,0,161749
2015,5,6535,139.79702837881246,21,3,161749
2015,5,6581,0,43,0,161749
2015,5,6618,0,27,0,161749
2015,5,6787,0,17,0,161749
2015,5,6875,0,27,0,161749
2015,5,7119,0,41,0,161749
2015,5,7172,0,15,0,161749
2015,5,7268,104.50834282060012,17,2,161749
2015,5,7296,115.90064492384207,37,6,161749
2015,5,7329,0,11,0,161749
2015,5,7341,0,15,0,161749
2015,5,7343,0,13,0,161749
2015,5,7357,0,17,0,161749
2015,5,7494,17.5460630322119,21,1,161749
2015,5,7502,57.87498722358733,53,1,161749
2015,5,7696,0,25,0,161749
2015,5,9208,0,13,0,161749
2015,5,10305,398.4278312547647,49,8,161749
2015,5,10344,0,29,0,161749
2015,5,10395,0,35,0,161749
2015,5,7728,0,29,0,161749
2015,5,7807,19.98650644680096,11,1,161749
2015,5,7868,0,7,0,161749
2015,5,7895,35.064011951533274,19,3,161749
2015,5,7913,51.49842252853572,15,1,161749
2015,5,8056,0,15,0,161749
2015,5,8129,0,9,0,161749
2015,5,8192,0,7,0,161749
2015,5,8463,0,11,0,161749
2015,5,8534,0,15,0,161749
2015,5,8577,80.99519007628759,51,9,161749
2015,5,8704,0,13,0,161749
2015,5,8869,86.83316641736721,35,2,161749
2015,5,8944,0,19,0,161749
2015,5,9126,0,21,0,161749
2015,5,9349,0,13,0,161749
2015,5,9600,47.312733512695914,55,3,161749
2015,5,9796,0,15,0,161749
2015,5,9798,146.39179436535267,41,6,161749
2015,5,9871,324.0442808475551,55,4,161749
2015,5,9925,0,17,0,161749
2015,5,9972,83.31674374075263,9,1,161749
2015,5,10002,37.010186326328494,49,5,161749
2015,5,10083,0,15,0,161749
2015,5,10166,0,27,0,161749
2015,5,10201,0,7,0,161749
2015,5,10228,0,17,0,161749
2015,5,10234,9.4884567440656,25,1,161749
2015,5,10585,722.6161906553059,37,8,161749
2015,5,11198,67.49436226819883,43,5,161749
2015,5,11469,0,9,0,161749
2015,5,11500,182.62003948761054,19,3,161749
2015,5,11524,510.09766094522416,73,25,161749
2015,5,11639,89.69306541137628,31,2,161749
2015,5,11763,0,9,0,161749
2015,5,11766,21.51989404685001,25,1,161749
2015,5,11894,0,29,0,161749
2015,5,11990,58.92307530947396,37,1,161749
2015,5,12092,541.7952331395576,33,8,161749
2015,5,12266,100.37804203421442,21,3,161749
2015,5,12430,0,11,0,161749
2015,5,12793,0,9,0,161749
2015,5,12657,0,23,0,161749
2015,5,12804,0,55,0,161749
2015,5,13003,0,49,0,161749
2015,5,13138,15.211941964534155,29,1,161749
2015,5,13189,153.1113208115769,13,3,161749
2015,5,13468,0,19,0,161749
2015,5,13475,0,13,0,161749
2015,5,13486,0,13,0,161749
2015,5,13522,416.0013049770631,29,6,161749
2015,5,13790,42.05333883570477,33,2,161749
2015,5,13817,0,25,0,161749
2015,5,13830,0,9,0,161749
2015,5,13852,0,13,0,161749
2015,5,13868,0,35,0,161749
2015,5,13881,733.8161076109076,47,11,161749
2015,5,14020,54.346028995622234,27,2,161749
2015,5,14124,0,35,0,161749
2015,5,14219,0,55,0,161749
2015,5,14363,554.166912890599,57,9,161749
2015,5,14418,38.818201222494714,27,3,161749
2015,5,14421,156.84571486192624,27,11,161749
2015,5,14459,66.38896429617937,9,1,161749
2015,5,14626,0,25,0,161749
2015,5,14682,0,17,0,161749
2015,5,14738,0,7,0,161749
2015,5,14756,0,37,0,161749
2015,5,14967,0,15,0,161749
2015,5,15002,0,9,0,161749
2015,5,15030,37.61727154538717,25,2,161749
