stream_order,n_groups,mean_cv,median_cv,sd_cv,min_cv,max_cv
5,89,0.5437665602217797,0.5127724752089571,0.21449460254572755,0.2636817377969823,1.325446000283215
6,55,0.4983212065887647,0.4864877837339973,0.14061723320450317,0.2288243055659066,0.9529915087939738
7,17,0.40757532701882754,0.38251954522578313,0.1300448718000376,0.18678040082295394,0.6540840037717389
