reachid,Str_Order,iso_pred,assignment_sum,assignment_rescale,assignment_norm,assignment_individuals,GENLMU
1355,4,0.707390029966,0,0,0,0,upper
1356,3,0.708396753719,0,0,0,0,upper
1357,3,0.706914448435,0,0,0,0,upper
1358,5,0.7069851346,0,0,0,0,upper
1359,4,0.707084112178,0,0,0,0,upper
1362,3,0.708609606883,0,0,0,0,upper
1363,3,0.706979715687,0,0,0,0,upper
1364,4,0.717259641102,24.512684345985697,1.9220059346556923e-4,0.437445552336821,17.782308814553016,upper
1365,4,0.707441609528,27.054216278838553,2.1212839651281118e-4,0.4828009211922338,19.626019811445058,upper
1366,3,0.71127830827,52.68276052328431,4.130782942847272e-4,0.9401597536383507,38.21781015923708,upper
1367,3,0.706941752726,0,0,0,0,upper
1368,4,0.707000826557,0,0,0,0,upper
1369,3,0.707944334732,0,0,0,0,upper
1370,3,0.712933441429,0,0,0,0,upper
1372,3,0.707100851535,0,0,0,0,upper
1373,5,0.706354330254,0,0,0,0,upper
1375,3,0.708342615254,0,0,0,0,upper
1376,3,0.722743438676,0,0,0,0,upper
1377,3,0.707117083349,21.90964836570866,1.7179054562421934e-4,0.39099260185319173,15.893980755359475,upper
1378,4,0.711188503774,51.53850347632925,4.0410633183468494e-4,0.9197397070675422,37.38772839891304,upper
1379,5,0.71061771047,0,0,0,0,upper
1380,4,0.706931314699,0,0,0,0,upper
1386,5,0.706959574364,0,0,0,0,upper
1389,3,0.708675135312,43.210721517344226,3.3880933652495246e-4,0.7711247643966307,31.346481000433563,upper
1390,5,0.706971314907,0,0,0,0,upper
1391,4,0.711011241471,49.37867962656381,3.871714494755447e-4,0.8811961790077275,35.820921021170456,upper
1392,3,0.710586655773,48.16763605998787,3.7767582309194655e-4,0.859584281493471,34.942390119178164,upper
1393,3,0.707082272245,0,0,0,0,upper
1394,4,0.70963410073,0,0,0,0,upper
1395,3,0.707165841041,0,0,0,0,upper
1396,8,0.711660533971,53.22096492026131,4.172982810901176e-4,0.9497643777742735,38.60824136037816,upper
1400,7,0.705889273937,0,0,0,0,upper
1403,3,0.710184348624,0,0,0,0,upper
1404,3,0.711320564901,52.1144153582573,4.086219778540313e-4,0.9300172469620505,37.805513851940844,upper
1405,3,0.711749911778,53.172195294222284,4.1691588514622624e-4,0.948894050571476,38.57286226689516,upper
1406,6,0.706932944196,0,0,0,0,upper
1407,4,0.710999097907,49.37173434472839,3.871169924739486e-4,0.8810722357216415,35.81588268490918,upper
1408,3,0.708313391657,0,0,0,0,upper
1409,3,0.707113899828,21.90572353806878,1.7175977158939771e-4,0.39092256063002245,15.891133556082924,upper
1410,5,0.709025901358,48.67202174637035,3.816306420293562e-4,0.8685853876985733,35.30828811346953,upper
1411,3,0.707114357745,0,0,0,0,upper
1415,3,0.710251367532,0,0,0,0,upper
1417,5,0.710627194363,0,0,0,0,upper
1419,3,0.707035867113,0,0,0,0,upper
1421,4,0.707483504863,27.62384615191448,2.1659478616298591e-4,0.49296635435892244,20.039248088285724,upper
1424,3,0.708938136462,0,0,0,0,upper
1426,4,0.710849620444,0,0,0,0,upper
1427,4,0.707186855576,23.08894775207189,1.8103727024782073e-4,0.41203800284464287,16.74948338318808,upper
1429,3,0.706733121627,18.265352861168168,1.432161247713153e-4,0.325957665762099,13.250288732138081,upper
1430,4,0.707086129462,0,0,0,0,upper
1432,3,0.70709734654,0,0,0,0,upper
1433,7,0.705885196135,0,0,0,0,upper
1434,3,0.712361227384,0,0,0,0,upper
1435,5,0.706950685355,0,0,0,0,upper
1436,3,0.719181865961,0,0,0,0,upper
1437,3,0.706927295098,19.548298429926373,1.53275524885107e-4,0.3488527034912254,14.180979715382305,upper
1441,5,0.710757559362,0,0,0,0,upper
1444,5,0.710611096456,0,0,0,0,upper
1445,4,0.711138975451,51.499825609601494,4.038030639904077e-4,0.9190494741850427,37.3596702001155,upper
1446,4,0.706808682809,18.83120581283464,1.4765290009912023e-4,0.33605569719306694,13.660777105754631,upper
1447,5,0.706955055784,0,0,0,0,upper
1448,8,0.71161461742,53.2345209414116,4.174045719913238e-4,0.9500062942072467,38.61807534473454,upper
1449,8,0.711459174483,52.16382837311582,4.0900941852134795e-4,0.9308990558766645,37.841359680870475,upper
1452,3,0.708380191198,0,0,0,0,upper
1454,4,0.707178040672,0,0,0,0,upper
1456,4,0.709244214205,50.30566005055959,3.9443977574729107e-4,0.8977387762140047,36.493383160847856,upper
1459,5,0.706921348875,0,0,0,0,upper
1461,3,0.709178360752,50.048385147786156,3.9242251854694086e-4,0.8931475302958659,36.30674747024873,upper
1462,3,0.707079895403,0,0,0,0,upper
1463,5,0.706953244711,0,0,0,0,upper
1464,5,0.706928488389,0,0,0,0,upper
1468,3,0.707437658384,0,0,0,0,upper
1469,6,0.706853860072,19.471512104979155,1.5267345385051173e-4,0.34748239920898755,14.125276385478758,upper
1470,3,0.707892719014,0,0,0,0,upper
1474,3,0.708255727048,0,0,0,0,upper
1477,4,0.7093448874,0,0,0,0,upper
1478,4,0.708854391093,0,0,0,0,upper
1480,3,0.708346031026,0,0,0,0,upper
1483,3,0.711575148549,0,0,0,0,upper
1485,4,0.706773661226,18.304783401945738,1.4352529422950882e-4,0.3266613306258049,13.278892945488808,upper
1486,3,0.70698889046,0,0,0,0,upper
1487,4,0.706976339231,20.195172847845228,1.5834757840918625e-4,0.36039661818637037,14.65024372993529,upper
1488,4,0.713218517546,51.60659700223549,4.046402438251311e-4,0.9209548824285996,37.43712568600106,upper
1490,4,0.714045546676,45.151614790171564,3.540276142796626e-4,0.805761327156344,32.75446892482244,upper
1492,5,0.708951604098,46.6935567775276,3.661177697630967e-4,0.8332783324263423,33.873044442961515,upper
1495,6,0.706850918267,18.872893717647617,1.4797976923888064e-4,0.33679964625589837,13.691018885347306,upper
1496,3,0.707083096929,21.866952135601373,1.7145577034422408e-4,0.39023065853852407,15.863007503378228,upper
1497,5,0.706915858314,0,0,0,0,upper
1499,6,0.706901196437,19.52188574008326,1.5306842660932395e-4,0.3483813510463426,14.161819079982939,upper
1500,3,0.71266182004,55.92742949243493,4.3851929832442534e-4,0.9980630819448926,40.5715999276711,upper
1501,3,0.707665771342,27.935954603477143,2.1904198569320737e-4,0.49853614231261006,20.265661841711637,upper
1504,3,0.717656900631,0,0,0,0,upper
1506,4,0.707340272457,0,0,0,0,upper
1507,3,0.717546495268,22.97429540746481,1.8013829695037734e-4,0.40999195364393304,16.666310795096987,upper
1513,3,0.713222550634,0,0,0,0,upper
1514,3,0.706584807461,17.75895485571258,1.3924552751625442e-4,0.3169206483521693,12.882930935293624,upper
1517,3,0.711887555296,0,0,0,0,upper
1520,3,0.720779397823,0,0,0,0,upper
1524,5,0.712744329047,55.24876660634428,0.00043319799578454094,0.9859518803781395,40.07927551100982,upper
1525,6,0.713960069609,45.275895801586515,3.550020846319627e-4,0.8079792064761295,32.844626465040086,upper
1528,6,0.706798098199,0,0,0,0,upper
1530,7,0.705763499507,0,0,0,0,upper
