COMID,Longitude,Latitude,Outlet_COMID
81000004,-155.4225,70.82833333,81000004
81000005,-156.0158333,70.8275,81000005
81000006,-156.2675,70.84666667,81000005
81000007,-156.4483333,70.79083333,81000005
81000011,-156.1141667,70.91666667,81000011
81000012,-156.275,70.92416667,81000011
81000013,-156.4,70.9075,81000011
81000014,-156.555,70.89666667,81000011
81000015,-156.6733333,70.88916667,81000011
81000017,-156.8425,70.89333333,81000011
81000018,-156.4725,70.845,81000005
81000019,-157.0233333,70.81916667,81000011
81000020,-156.2008333,70.80833333,81000005
81000021,-156.5641667,70.795,81000005
81000023,-154.965,70.785,81000004
81000028,-156.2433333,71.14833333,81000028
81000029,-156.9908333,70.86583333,81000011
81000030,-156.7708333,70.975,81000011
81000031,-156.4291667,71.1825,81000028
81000032,-157.0916667,70.865,81000011
81000033,-156.4825,71.15416667,81000028
81000036,-156.5366667,71.12166667,81000028
81000037,-156.6208333,71.0675,81000028
81000038,-156.5258333,70.84083333,81000005
81000039,-154.965,70.84666667,81000004
81000040,-157.3066667,70.87333333,81000011
81000044,-157.1733333,70.8925,81000011
81000045,-156.6391667,70.91166667,81000011
81000047,-156.4833333,70.9325,81000011
81000053,-157.0833333,70.91666667,81000011
81000054,-156.95,70.95916667,81000011
81000055,-156.3908333,70.96333333,81000011
81000056,-156.8775,71.02416667,81000011
81000057,-156.6766667,71.03666667,81000028
81000058,-156.475,71.0825,81000028
81000060,-156.6833333,71.05333333,81000028
81000063,-156.6391667,71.16083333,81000028
81000068,-156.5666667,71.2,81000028
81000069,-150.4791667,70.44833333,81000069
81000070,-155.3041667,70.8125,81000004
81000071,-155.2208333,70.75916667,81000004
81000072,-155.4258333,70.6775,81000004
81000073,-155.1666667,70.53083333,81000004
81000074,-155.2641667,70.41166667,81000004
81000076,-160.0725,70.5825,81000076
81000077,-159.9291667,70.59916667,81000076
81000078,-159.8558333,70.53416667,81000076
81000079,-159.8441667,70.50333333,81000076
81000080,-159.8941667,70.44416667,81000076
81000081,-155.025,70.41333333,81000004
81000082,-156.5708333,70.7325,81000005
81000083,-156.6675,70.7,81000005
81000084,-156.78,70.69333333,81000005
81000085,-156.8625,70.67166667,81000005
81000086,-156.9158333,70.67,81000005
81000087,-156.9675,70.68166667,81000005
81000088,-157.1541667,70.66166667,81000005
81000089,-157.4108333,70.61916667,81000005
81000090,-157.5308333,70.55083333,81000005
81000091,-157.45,70.5425,81000005
81000092,-157.315,70.43416667,81000005
81000093,-157.55,70.53916667,81000005
81000094,-157.6716667,70.49833333,81000005
81000095,-157.7833333,70.45833333,81000005
81000096,-157.84,70.43,81000005
81000097,-157.8766667,70.42,81000005
81000098,-157.2466667,70.50166667,81000005
81000099,-156.8975,70.47,81000005
81000100,-156.705,70.42916667,81000005
81000101,-156.7466667,70.415,81000005
81000102,-154.425,70.7425,81000102
81000103,-154.37,70.67416667,81000102
81000104,-154.1491667,70.63666667,81000102
81000105,-154.0675,70.61916667,81000102
81000106,-154.035,70.56083333,81000102
81000107,-153.9066667,70.53166667,81000102
81000108,-153.7158333,70.5375,81000102
81000109,-153.58,70.57916667,81000102
81000110,-153.395,70.57333333,81000102
81000111,-153.255,70.59,81000102
81000112,-154.0183333,70.51083333,81000102
81000113,-154.0675,70.50583333,81000102
81000114,-153.2066667,70.59083333,81000102
81000115,-153.1641667,70.54333333,81000102
81000116,-154.1425,70.5075,81000102
81000117,-154.2308333,70.5025,81000102
81000118,-152.915,70.42916667,81000102
81000119,-156.585,70.4,81000005
81000120,-154.455,70.47666667,81000102
81000121,-155.9141667,70.74916667,81000121
81000122,-155.8325,70.75166667,81000121
81000123,-155.8391667,70.6625,81000121
81000124,-154.5633333,70.68,81000102
81000125,-155.8516667,70.63166667,81000121
81000126,-154.7016667,70.63916667,81000102
81000127,-154.685,70.59583333,81000102
81000128,-155.8616667,70.56416667,81000121
81000129,-155.2408333,70.81583333,81000004
81000130,-154.6083333,70.51166667,81000102
81000131,-155.1775,70.81416667,81000004
81000132,-157.0833333,70.43666667,81000005
81000133,-155.8166667,70.41583333,81000121
81000135,-154.665,70.43416667,81000102
81000136,-155.0675,70.84083333,81000004
81000137,-159.7475,70.49166667,81000076
81000138,-159.6216667,70.475,81000076
81000139,-159.5466667,70.49333333,81000076
81000140,-156.6608333,70.68333333,81000005
81000141,-159.465,70.50583333,81000076
81000142,-159.3525,70.50916667,81000076
81000143,-159.28,70.51583333,81000076
81000144,-156.6608333,70.61833333,81000005
81000145,-159.2133333,70.4925,81000076
81000146,-156.5766667,70.54,81000005
81000147,-151.9566667,70.46,81000147
81000148,-156.42,70.50666667,81000005
81000149,-151.9833333,70.45666667,81000147
81000150,-155.86,70.50083333,81000121
81000151,-157.8066667,70.44583333,81000005
81000152,-153.8108333,70.50166667,81000102
81000153,-153.275,70.49166667,81000102
81000154,-156.3991667,70.485,81000005
81000156,-152.0475,70.43333333,81000147
81000157,-159.2625,70.48666667,81000076
81000158,-152.0033333,70.42666667,81000147
81000159,-157.6275,70.45,81000005
81000162,-157.5858333,70.38916667,81000005
81000163,-154.84,70.49333333,81000102
81000165,-159.2783333,70.4025,81000076
81000166,-153.7841667,70.43583333,81000102
81000167,-154.2766667,70.45,81000102
81000168,-156.4,70.41833333,81000005
81000169,-152.0016667,70.4025,81000147
81000174,-156.3666667,70.43833333,81000005
81000175,-160.1166667,70.46333333,81000076
81000176,-158.9141667,70.44833333,81000076
81000177,-153.2033333,70.3975,81000102
81000178,-152.1216667,70.4175,81000147
81000181,-159.4316667,70.4475,81000076
81000182,-153.4883333,70.37083333,81000102
81000184,-157.7358333,70.3875,81000005
