reachid,Str_Order,iso_pred,assignment_sum,assignment_rescale,assignment_norm
694,4,0.707576719,0,0,0
696,3,0.70680278,0,0,0
756,4,0.70610003,0,0,0
807,6,0.70652321,0,0,0
947,7,0.707001823,0,0,0
421,3,0.706794072,0,0,0
425,5,0.706807588,0,0,0
479,5,0.706971681,0,0,0
535,3,0.706800553,0,0,0
557,3,0.706651893,0,0,0
559,3,0.706658175,0,0,0
560,3,0.706804136,0,0,0
561,5,0.706961474,0,0,0
920,3,0.705890265,0,0,0
1140,4,0.705300074,33.48994872009318,4.593106488955974e-4,0.5274451005766058
563,5,0.706962454,0,0,0
775,4,0.70630203,0,0,0
777,4,0.706425541,0,0,0
848,4,0.705909067,0,0,0
507,4,0.707613448,0,0,0
660,5,0.706965989,0,0,0
852,4,0.706083864,0,0,0
925,3,0.705880172,0,0,0
927,4,0.70583637,0,0,0
928,7,0.707010014,0,0,0
929,7,0.707021817,0,0,0
427,5,0.706813175,0,0,0
429,5,0.706973057,0,0,0
440,5,0.706976717,0,0,0
442,3,0.706808149,0,0,0
443,5,0.70696655,0,0,0
452,3,0.705736559,0,0,0
453,5,0.706971068,0,0,0
455,3,0.706623955,0,0,0
457,5,0.706971488,0,0,0
465,3,0.706805255,0,0,0
467,4,0.706526586,0,0,0
489,3,0.706804918,0,0,0
490,3,0.70679781,0,0,0
491,3,0.705634191,0,0,0
498,3,0.706803808,0,0,0
526,3,0.706553598,0,0,0
530,5,0.706962891,0,0,0
543,3,0.706807103,0,0,0
550,3,0.706783791,0,0,0
555,5,0.706959192,0,0,0
565,3,0.706377718,0,0,0
566,3,0.706645834,0,0,0
570,3,0.706804393,0,0,0
673,3,0.705671818,0,0,0
674,5,0.706971045,0,0,0
730,3,0.70666159,0,0,0
794,5,0.705922187,0,0,0
795,4,0.706074272,0,0,0
861,3,0.706476944,0,0,0
931,4,0.705969071,0,0,0
578,3,0.706622748,0,0,0
579,5,0.70695816,0,0,0
604,4,0.707602795,0,0,0
815,4,0.706079581,0,0,0
948,7,0.707048355,0,0,0
949,4,0.705857453,0,0,0
950,4,0.707167312,0,0,0
951,3,0.70451102,0,0,0
627,3,0.706800888,0,0,0
632,5,0.706964764,0,0,0
644,3,0.705040949,19.848901606409555,0.00027222531610611174,0.3126074032429486
645,3,0.706797157,0,0,0
647,5,0.706970412,0,0,0
667,3,0.706799845,0,0,0
672,3,0.706795922,0,0,0
684,3,0.705051298,19.918880785681772,2.7318507219619554e-4,0.3137095301992481
687,4,0.707580939,0,0,0
704,3,0.705682927,0,0,0
707,3,0.7056763,0,0,0
708,4,0.707574073,0,0,0
710,3,0.705675341,0,0,0
712,3,0.70568905,0,0,0
714,5,0.706983116,0,0,0
724,4,0.706096105,0,0,0
725,3,0.705693618,0,0,0
726,4,0.707441931,0,0,0
740,3,0.705707177,0,0,0
741,3,0.706658926,0,0,0
743,4,0.707427656,0,0,0
753,3,0.706393375,0,0,0
758,4,0.706102942,0,0,0
759,3,0.706443392,0,0,0
760,8,0.708499273,0,0,0
761,4,0.706435546,0,0,0
1022,7,0.706982643,0,0,0
768,4,0.706098256,0,0,0
782,4,0.706105085,0,0,0
785,3,0.706608156,0,0,0
787,4,0.706100718,0,0,0
788,4,0.706250484,0,0,0
798,6,0.706507747,0,0,0
800,3,0.705839555,0,0,0
809,4,0.705929706,0,0,0
810,3,0.705722839,0,0,0
818,4,0.705901592,0,0,0
822,4,0.706095235,0,0,0
823,4,0.706073521,0,0,0
825,4,0.705893707,0,0,0
827,4,0.705905484,0,0,0
828,3,0.705770954,0,0,0
829,4,0.705921926,0,0,0
830,6,0.706338834,0,0,0
832,3,0.705884353,0,0,0
834,4,0.705914467,0,0,0
836,5,0.705924083,0,0,0
837,3,0.707305682,0,0,0
840,4,0.706068083,0,0,0
841,4,0.705906677,0,0,0
842,3,0.706008364,0,0,0
843,3,0.705761471,0,0,0
955,3,0.704497147,0,0,0
956,4,0.707153141,0,0,0
854,5,0.705926203,0,0,0
855,4,0.705995608,0,0,0
862,6,0.70632138,0,0,0
864,7,0.708614401,0,0,0
870,4,0.705890288,0,0,0
873,4,0.705982008,0,0,0
898,4,0.70585463,0,0,0
900,4,0.70586816,0,0,0
901,4,0.706079601,0,0,0
903,4,0.705961327,0,0,0
905,4,0.705851959,0,0,0
910,4,0.706071725,0,0,0
915,3,0.705869052,0,0,0
938,7,0.707035208,0,0,0
940,4,0.70584367,0,0,0
941,7,0.707087586,0,0,0
942,4,0.705861757,0,0,0
1063,7,0.708647779,0,0,0
4969,3,0.705697638,40.58901880624438,5.566735476888434e-4,0.639250877494498
7421,5,0.707999191,53.82983848865875,7.382698090348781e-4,0.8477852508217892
12368,4,0.706942461,32.161956105548406,4.4109738871376977e-4,0.5065300730858855
11514,3,0.708836696,52.068970947501256,7.141197209081982e-4,0.8200527223216587
1094,4,0.707106058,0,0,0
1185,5,0.704953405,16.788669288446073,2.302545951747966e-4,0.2644107172394372
1187,3,0.706575471,0,0,0
1260,3,0.705485937,47.42719501861102,6.504583181468563e-4,0.7469477441047567
945,3,0.704568329,0,0,0
959,4,0.707146315,0,0,0
1219,3,0.706593542,0,0,0
963,7,0.706997131,0,0,0
967,7,0.708632162,0,0,0
973,3,0.704489103,0,0,0
974,3,0.70448844,0,0,0
979,7,0.706993689,0,0,0
981,3,0.704911069,0,0,0
1107,3,0.706525655,0,0,0
1257,3,0.706954499,0,0,0
1352,3,0.706649997,0,0,0
1353,7,0.70867633,0,0,0
1434,3,0.706687751,0,0,0
995,7,0.708640973,0,0,0
997,6,0.706527492,0,0,0
1231,3,0.706761,0,0,0
1232,3,0.706606071,0,0,0
1298,3,0.70695481,0,0,0
1303,3,0.706628626,0,0,0
1304,3,0.705050015,19.910396307400905,2.730687085893923e-4,0.313575905136469
1006,4,0.707116786,0,0,0
1009,7,0.706987497,0,0,0
1011,7,0.708643802,0,0,0
1014,3,0.705165879,0,0,0
1031,3,0.704499855,0,0,0
1033,4,0.707176437,0,0,0
1044,3,0.704742784,0,0,0
1092,3,0.704581287,0,0,0
1102,6,0.706535599,0,0,0
1117,3,0.706529809,0,0,0
1120,7,0.706967619,0,0,0
1123,7,0.708656479,0,0,0
1308,3,0.707135833,0,0,0
1175,5,0.704946838,16.750756183007926,2.2973462145951904e-4,0.2638136102722654
1198,7,0.708663847,0,0,0
1202,6,0.706547817,0,0,0
1208,6,0.706556931,0,0,0
1216,7,0.706963886,0,0,0
1225,6,0.706555871,0,0,0
1227,3,0.706709522,0,0,0
1228,3,0.706549913,0,0,0
1229,3,0.706706429,0,0,0
1233,5,0.704963082,17.199800722195576,2.3589321371061907e-4,0.2708857722547979
1239,3,0.706611601,0,0,0
1240,3,0.706604478,0,0,0
1250,3,0.705046357,19.885908385387115,2.727328596621734e-4,0.31319023615269637
1324,3,0.70663906,0,0,0
1325,3,0.706666759,0,0,0
4922,3,0.708203914,0,0,0
11509,5,0.709245371,58.86479399139678,8.073236227164605e-4,0.9270825538345902
12436,3,0.707039483,0,0,0
12438,7,0.709199393,59.20759958549417,8.120251605177246e-4,0.9324815209267208
12439,7,0.709187766,59.78347524282494,8.199232264139282e-4,0.9415511912489749
6310,5,0.707355425,39.76890723204579,5.454258153480071e-4,0.6263346489462686
6311,3,0.708280367,0,0,0
6315,3,0.708311834,0,0,0
8419,4,0.706513692,42.81717903604843,5.872324992581134e-4,0.6743429645661239
8421,3,0.707184128,0,0,0
8423,3,0.707662245,0,0,0
8428,4,0.707381459,0,0,0
11749,5,0.709149083,61.85623549520386,8.483508858433965e-4,0.974195828866209
11754,3,0.709168145,0,0,0
2111,3,0.706844723,0,0,0
2114,3,0.705110607,20.994550545112286,2.879377545407036e-4,0.33065063540045253
2115,4,0.706797243,0,0,0
1333,5,0.704987229,18.435426314759127,2.5283967121211604e-4,0.2903460787005253
1337,6,0.706591919,0,0,0
11490,4,0.706293226,52.84715922099234,7.247924801843473e-4,0.8323086859126921
1261,4,0.707114542,0,0,0
1262,3,0.706697993,0,0,0
1263,3,0.704545552,9.990591498203761,1.370197697895442e-4,0.1573453749252323
1266,3,0.70713395,0,0,0
1285,3,0.70668129,0,0,0
1289,5,0.704969767,17.239077198456343,2.3643188589397902e-4,0.27150435143342844
1294,7,0.706976487,0,0,0
1295,3,0.706676476,0,0,0
1770,3,0.704452058,0,0,0
13434,3,0.710171699,14.555984989346442,1.9963359653519015e-4,0.22924737899318098
13436,4,0.707806262,46.831315418709856,6.422859005662333e-4,0.7375630245840353
1345,4,0.704949768,16.767826144371302,2.2996873394192277e-4,0.2640824511583293
1435,3,0.706691185,0,0,0
1436,3,0.705532707,49.58609459966819,6.800673681864242e-4,0.7809490206126033
1310,3,0.706690922,0,0,0
1805,7,0.70870104,0,0,0
1809,3,0.706599181,0,0,0
4958,4,0.705041009,16.440887525987126,2.2548480981847465e-4,0.25893337870386607
1312,6,0.706589705,0,0,0
1314,6,0.706587305,0,0,0
1315,6,0.706594272,0,0,0
1365,3,0.70677462,0,0,0
1447,3,0.707087682,0,0,0
1783,3,0.706837462,0,0,0
4951,3,0.705406618,42.3046826328732,5.802036722668722e-4,0.6662714766347098
4952,3,0.707704313,38.86394052116238,5.330143049369628e-4,0.6120820067033736
12335,5,0.708993464,0,0,0
12336,4,0.706622851,23.105668377618333,3.1689148360275043e-4,0.36389938017464635
12337,7,0.708154063,0,0,0
1400,3,0.70429117,0,0,0
1401,3,0.706952998,0,0,0
7427,3,0.706316643,0,0,0
11506,5,0.709277488,0,0,0
1424,3,0.706947543,0,0,0
1427,3,0.70662552,0,0,0
1440,7,0.706996221,0,0,0
1452,7,0.70701307,0,0,0
1453,3,0.704590998,10.715536672789415,1.4696230632000153e-4,0.1687627940355949
1459,4,0.704620386,10.926030868396083,1.4984920908539298e-4,0.17207794190579567
1756,3,0.704561477,0,0,0
1758,7,0.708697907,0,0,0
1760,3,0.706169978,0,0,0
1814,3,0.704526831,0,0,0
1817,3,0.704526147,0,0,0
1819,3,0.704485958,0,0,0
11535,3,0.707690122,0,0,0
12352,3,0.706956632,0,0,0
1767,4,0.706846934,0,0,0
1772,5,0.705063036,19.993970817367273,2.7421492301702897e-4,0.3148921497859689
1775,4,0.706702954,0,0,0
1784,3,0.705371516,0,0,0
1785,3,0.704527051,0,0,0
1787,4,0.706713566,0,0,0
1788,6,0.707243135,0,0,0
1789,3,0.704478872,0,0,0
1790,6,0.706964263,0,0,0
1793,3,0.70714471,0,0,0
4904,3,0.707659902,0,0,0
4905,3,0.705694616,0,0,0
4906,3,0.706584359,0,0,0
4910,3,0.70507944,0,0,0
4912,3,0.705794884,54.142484378059756,7.425577100864901e-4,0.8527092220096292
4914,3,0.706584726,0,0,0
4930,3,0.706849034,0,0,0
