reachid,Str_Order,iso_pred,isose_pred,assignment_sum,assignment_rescale,assignment_norm
7,3,0.708654736,8.16e-5,0,0,0
8,2,0.708556761,3.73185e-4,0,0,0
9,2,0.708339547,4.95287e-4,0,0,0
10,1,0.707894726,5.8591e-4,0,0,0
11,1,0.70588463,9.0711e-4,0,0,0
12,1,0.707800051,7.25156e-4,0,0,0
13,1,0.708501179,5.63627e-4,0,0,0
14,1,0.707162217,7.66722e-4,0,0,0
15,1,0.708403657,7.34177e-4,0,0,0
16,1,0.707226289,7.64813e-4,0,0,0
17,2,0.706431156,8.0443e-4,0,0,0
18,1,0.707216048,7.65088e-4,0,0,0
19,1,0.706945854,7.52659e-4,0,0,0
20,1,0.708409263,7.34829e-4,0,0,0
21,1,0.708362478,7.26781e-4,0,0,0
22,2,0.706589286,7.80908e-4,0,0,0
23,1,0.708407015,7.34456e-4,0,0,0
24,2,0.708403873,7.33716e-4,0,0,0
25,1,0.706488432,7.92832e-4,0,0,0
26,2,0.708384079,7.29714e-4,0,0,0
27,2,0.706616638,7.69645e-4,0,0,0
1,1,0.708639329,6.44322e-4,0,0,0
2,1,0.70866363,5.89466e-4,0,0,0
3,2,0.708707102,5.27049e-4,0,0,0
28,1,0.708377674,7.28727e-4,0,0,0
29,1,0.707953443,7.11111e-4,0,0,0
30,1,0.707047687,7.17731e-4,0,0,0
151,4,0.707849574,5.20063e-4,0,0,0
152,1,0.706910303,8.09924e-4,0,0,0
153,1,0.707293628,6.94677e-4,0,0,0
154,2,0.706164196,6.74818e-4,0,0,0
155,1,0.706903105,8.08238e-4,0,0,0
156,3,0.705511964,5.31729e-4,0,0,0
205,4,0.70775438,5.41408e-4,0,0,0
206,4,0.706804988,5.82996e-4,0,0,0
207,1,0.70687679,8.03388e-4,0,0,0
208,1,0.706857598,7.95156e-4,0,0,0
209,2,0.706857403,8.01582e-4,0,0,0
210,4,0.706789103,5.82482e-4,0,0,0
4,1,0.708552385,7.24837e-4,0,0,0
5,2,0.708682169,5.13232e-4,0,0,0
6,1,0.708558958,6.14497e-4,0,0,0
259,4,0.706433198,6.14501e-4,0,0,0
260,2,0.704751195,7.56e-5,0,0,0
261,2,0.706834424,7.91307e-4,0,0,0
358,3,0.706828389,7.94738e-4,0,0,0
359,1,0.706871479,7.03333e-4,0,0,0
360,4,0.70693026,6.6222e-4,0,0,0
76,1,0.706972411,8.23875e-4,0,0,0
77,2,0.706969987,8.15626e-4,0,0,0
78,1,0.706905907,7.08983e-4,0,0,0
127,3,0.707182937,7.3148e-4,0,0,0
128,1,0.70649146,6.92406e-4,0,0,0
129,1,0.705615487,6.98377e-4,0,0,0
1162,2,0.706704745,7.86246e-4,0,0,0
1163,1,0.707324041,9.40024e-4,0,0,0
1164,1,0.706684951,6.87904e-4,0,0,0
1165,1,0.706660485,7.91497e-4,0,0,0
1166,2,0.706648144,6.80128e-4,0,0,0
1243,2,0.70441594,5.09672e-4,0,0,0
1244,3,0.706719267,7.77261e-4,0,0,0
1245,7,0.706969331,6.23552e-4,0,0,0
607,1,0.706840511,6.90725e-4,0,0,0
608,3,0.705630818,3.3391e-4,0,0,0
609,1,0.706577524,7.14149e-4,0,0,0
361,1,0.706846676,7.02421e-4,0,0,0
362,4,0.707002547,4.76438e-4,0,0,0
363,1,0.706808328,7.92139e-4,0,0,0
31,2,0.706932952,7.3323e-4,0,0,0
32,2,0.707585838,7.17408e-4,0,0,0
33,1,0.707018141,8.34642e-4,0,0,0
34,1,0.708359274,7.25271e-4,0,0,0
35,2,0.708360576,7.25402e-4,0,0,0
36,1,0.70833946,7.23053e-4,0,0,0
37,1,0.706998007,8.29408e-4,0,0,0
38,1,0.708344558,7.22809e-4,0,0,0
39,2,0.708354913,7.24409e-4,0,0,0
40,3,0.708571552,2.70993e-4,0,0,0
41,1,0.70832986,7.21611e-4,0,0,0
42,2,0.707104999,7.11721e-4,0,0,0
43,1,0.708334502,7.22023e-4,0,0,0
