tributary_id,year,watershed,raw_production,stream_order,longitude,latitude,production_proportion,production_normalized
12749,2018,Kusko,55.19689095068657,4,1056.3131676825503,1235926.0908227686,1.942179603478977e-4,1
12750,2018,Kusko,55.19689095068657,4,1056.3131676825503,1235926.0908227686,1.942179603478977e-4,1
12751,2018,Kusko,55.19689095068657,4,1056.3131676825503,1235926.0908227686,1.942179603478977e-4,1
12752,2018,Kusko,55.19689095068657,4,1056.3131676825503,1235926.0908227686,1.942179603478977e-4,1
12753,2018,Kusko,55.19689095068657,4,1056.3131676825503,1235926.0908227686,1.942179603478977e-4,1
8594,2018,Kusko,54.42536104615489,3,-294704.4979714041,1198963.938314298,1.915032247563691e-4,0.9860222217004764
8595,2018,Kusko,54.42536104615489,3,-294704.4979714041,1198963.938314298,1.915032247563691e-4,0.9860222217004764
8596,2018,Kusko,54.42536104615489,3,-294704.4979714041,1198963.938314298,1.915032247563691e-4,0.9860222217004764
8597,2018,Kusko,54.42536104615489,3,-294704.4979714041,1198963.938314298,1.915032247563691e-4,0.9860222217004764
8598,2018,Kusko,54.42536104615489,3,-294704.4979714041,1198963.938314298,1.915032247563691e-4,0.9860222217004764
3909,2018,Kusko,54.42411964574023,5,-284743.18072378763,1291550.6324201662,1.9149885671584439e-4,0.9859997312957944
3910,2018,Kusko,54.42411964574023,5,-284743.18072378763,1291550.6324201662,1.9149885671584439e-4,0.9859997312957944
3911,2018,Kusko,54.42411964574023,5,-284743.18072378763,1291550.6324201662,1.9149885671584439e-4,0.9859997312957944
3912,2018,Kusko,54.42411964574023,5,-284743.18072378763,1291550.6324201662,1.9149885671584439e-4,0.9859997312957944
3913,2018,Kusko,54.42411964574023,5,-284743.18072378763,1291550.6324201662,1.9149885671584439e-4,0.9859997312957944
10164,2018,Kusko,54.049086118104505,5,-394486.3409163922,1217424.7389334696,1.901792489345916e-4,0.9792052629629533
10165,2018,Kusko,54.049086118104505,5,-394486.3409163922,1217424.7389334696,1.901792489345916e-4,0.9792052629629533
10166,2018,Kusko,54.049086118104505,5,-394486.3409163922,1217424.7389334696,1.901792489345916e-4,0.9792052629629533
10167,2018,Kusko,54.049086118104505,5,-394486.3409163922,1217424.7389334696,1.901792489345916e-4,0.9792052629629533
10168,2018,Kusko,54.049086118104505,5,-394486.3409163922,1217424.7389334696,1.901792489345916e-4,0.9792052629629533
12904,2018,Kusko,54.03685016072034,4,-278096.4396758817,1240594.8567559673,1.9013619501171433e-4,0.9789835845826421
12905,2018,Kusko,54.03685016072034,4,-278096.4396758817,1240594.8567559673,1.9013619501171433e-4,0.9789835845826421
12906,2018,Kusko,54.03685016072034,4,-278096.4396758817,1240594.8567559673,1.9013619501171433e-4,0.9789835845826421
12907,2018,Kusko,54.03685016072034,4,-278096.4396758817,1240594.8567559673,1.9013619501171433e-4,0.9789835845826421
12908,2018,Kusko,54.03685016072034,4,-278096.4396758817,1240594.8567559673,1.9013619501171433e-4,0.9789835845826421
11219,2018,Kusko,53.9974134036922,3,-272765.12480587716,1224157.3754950261,1.8999743128098926e-4,0.9782691103369209
11220,2018,Kusko,53.9974134036922,3,-272765.12480587716,1224157.3754950261,1.8999743128098926e-4,0.9782691103369209
11221,2018,Kusko,53.9974134036922,3,-272765.12480587716,1224157.3754950261,1.8999743128098926e-4,0.9782691103369209
11222,2018,Kusko,53.9974134036922,3,-272765.12480587716,1224157.3754950261,1.8999743128098926e-4,0.9782691103369209
11223,2018,Kusko,53.9974134036922,3,-272765.12480587716,1224157.3754950261,1.8999743128098926e-4,0.9782691103369209
16559,2018,Kusko,53.88412225511391,5,-289682.68256251776,1299734.8243547159,1.8959880057148058e-4,0.9762166188536686
16560,2018,Kusko,53.88412225511391,5,-289682.68256251776,1299734.8243547159,1.8959880057148058e-4,0.9762166188536686
16561,2018,Kusko,53.88412225511391,5,-289682.68256251776,1299734.8243547159,1.8959880057148058e-4,0.9762166188536686
16562,2018,Kusko,53.88412225511391,5,-289682.68256251776,1299734.8243547159,1.8959880057148058e-4,0.9762166188536686
16563,2018,Kusko,53.88412225511391,5,-289682.68256251776,1299734.8243547159,1.8959880057148058e-4,0.9762166188536686
16544,2018,Kusko,53.88301866317911,3,-204266.6742079897,1298710.9598871788,1.8959491742931547e-4,0.97619662512004
16545,2018,Kusko,53.88301866317911,3,-204266.6742079897,1298710.9598871788,1.8959491742931547e-4,0.97619662512004
16546,2018,Kusko,53.88301866317911,3,-204266.6742079897,1298710.9598871788,1.8959491742931547e-4,0.97619662512004
16547,2018,Kusko,53.88301866317911,3,-204266.6742079897,1298710.9598871788,1.8959491742931547e-4,0.97619662512004
16548,2018,Kusko,53.88301866317911,3,-204266.6742079897,1298710.9598871788,1.8959491742931547e-4,0.97619662512004
16549,2018,Kusko,53.88293266234093,3,-203732.54164917232,1302893.8047560877,1.8959461482336988e-4,0.976195067046085
16550,2018,Kusko,53.88293266234093,3,-203732.54164917232,1302893.8047560877,1.8959461482336988e-4,0.976195067046085
16551,2018,Kusko,53.88293266234093,3,-203732.54164917232,1302893.8047560877,1.8959461482336988e-4,0.976195067046085
16552,2018,Kusko,53.88293266234093,3,-203732.54164917232,1302893.8047560877,1.8959461482336988e-4,0.976195067046085
16553,2018,Kusko,53.88293266234093,3,-203732.54164917232,1302893.8047560877,1.8959461482336988e-4,0.976195067046085
14229,2018,Kusko,53.88235027679904,5,-273436.45972174505,1258487.3157660633,1.8959256561860248e-4,0.9761845159890987
14230,2018,Kusko,53.88235027679904,5,-273436.45972174505,1258487.3157660633,1.8959256561860248e-4,0.9761845159890987
14231,2018,Kusko,53.88235027679904,5,-273436.45972174505,1258487.3157660633,1.8959256561860248e-4,0.9761845159890987
14232,2018,Kusko,53.88235027679904,5,-273436.45972174505,1258487.3157660633,1.8959256561860248e-4,0.9761845159890987
14233,2018,Kusko,53.88235027679904,5,-273436.45972174505,1258487.3157660633,1.8959256561860248e-4,0.9761845159890987
14419,2018,Kusko,53.87975528976638,5,-273569.6797289644,1260882.1931716148,1.8958343479474752e-4,0.9761375027065032
14420,2018,Kusko,53.87975528976638,5,-273569.6797289644,1260882.1931716148,1.8958343479474752e-4,0.9761375027065032
14421,2018,Kusko,53.87975528976638,5,-273569.6797289644,1260882.1931716148,1.8958343479474752e-4,0.9761375027065032
14422,2018,Kusko,53.87975528976638,5,-273569.6797289644,1260882.1931716148,1.8958343479474752e-4,0.9761375027065032
14423,2018,Kusko,53.87975528976638,5,-273569.6797289644,1260882.1931716148,1.8958343479474752e-4,0.9761375027065032
8294,2018,Kusko,53.87375238178876,3,-291397.6412647745,1203844.35934298,1.895623127256692e-4,0.9760287482481591
