reachid,Str_Order,iso_pred,assignment_sum,assignment_rescale,assignment_norm,assignment_individuals
9358,1,0.70750975,0,0,0,0
9359,1,0.706941539,0,0,0,0
9360,1,0.708397082,0,0,0,0
9361,1,0.709354784,0,0,0,0
9362,3,0.708960169,54.34445294036602,4.084727482213293e-4,0.8155851169642356,59.695432843309725
9366,2,0.707568028,0,0,0,0
9367,3,0.709201556,52.46212897128305,3.943245140761091e-4,0.7873357680164462,57.62776746062481
9368,1,0.709488822,0,0,0,0
9369,3,0.706390468,52.75571413094775,3.9653120731740146e-4,0.7917418053179321,57.950260230987
9370,2,0.70755927,0,0,0,0
9371,1,0.707007027,0,0,0,0
9372,1,0.706150143,0,0,0,0
9373,1,0.708786606,0,0,0,0
9374,1,0.705058068,0,0,0,0
9375,1,0.706574177,0,0,0,0
9376,5,0.705948307,66.2911968603936,4.98268837008257e-4,0.9948782372399964,72.81850264689771
10358,1,0.706735558,0,0,0,0
9852,1,0.708550347,0,0,0,0
9853,1,0.709615656,0,0,0,0
9854,2,0.70827069,0,0,0,0
10104,1,0.70716597,0,0,0,0
10105,1,0.704631748,0,0,0,0
10106,1,0.706784193,0,0,0,0
10209,1,0.708915519,0,0,0,0
9710,1,0.706850122,0,0,0,0
9714,1,0.707359681,0,0,0,0
9715,1,0.706367468,0,0,0,0
9716,2,0.706246761,0,0,0,0
9717,1,0.707318948,0,0,0,0
9718,1,0.706856472,0,0,0,0
9719,1,0.707205377,0,0,0,0
9720,1,0.709520519,0,0,0,0
10693,1,0.706683866,0,0,0,0
10694,4,0.706969062,48.49247472039622,3.6448714349612463e-4,0.7277603973696973,53.26724461195414
10695,1,0.708700081,0,0,0,0
10696,2,0.709100514,0,0,0,0
10697,1,0.708206804,0,0,0,0
10701,1,0.704906174,0,0,0,0
10702,3,0.707709089,0,0,0,0
10703,1,0.707038442,0,0,0,0
10881,1,0.708902218,0,0,0,0
10882,1,0.70898538,0,0,0,0
10883,1,0.709204642,0,0,0,0
10884,2,0.704732567,0,0,0,0
10885,3,0.706620801,52.43169209921997,3.940957394338745e-4,0.7868789806440749,57.59433364808472
10886,3,0.709182762,54.04487330140746,4.0622099828521653e-4,0.811089116330128,59.3663553523964
10887,1,0.70844197,0,0,0,0
10888,1,0.707220209,0,0,0,0
12481,4,0.706126726,63.94455790616302,4.8063064192384563e-4,0.9596605893954381,70.24080390267657
12482,3,0.706426926,56.00591781972906,4.209609248175932e-4,0.8405198794772419,61.52049243561752
12483,3,0.706443092,55.73310104268937,4.1891033432217366e-4,0.8364255277822147,61.220812988845424
12484,1,0.709419292,0,0,0,0
12485,2,0.709417879,0,0,0,0
12486,2,0.709429681,0,0,0,0
12487,3,0.707661385,45.883069742518686,3.4487390304809457e-4,0.6885992364978666,50.40090681315768
12488,1,0.706418677,0,0,0,0
12833,1,0.706200869,0,0,0,0
12834,1,0.705257075,0,0,0,0
12835,7,0.709538179,0,0,0,0
12854,1,0.709629531,0,0,0,0
12855,2,0.70961232,0,0,0,0
12856,4,0.707759934,46.69680329798676,3.5099022152657294e-4,0.7008115036402449,51.29476394455795
12857,1,0.705065862,0,0,0,0
12858,1,0.707658455,0,0,0,0
9377,3,0.706492894,54.768212207184504,4.1165787757559006e-4,0.8219447679036256,60.16091720252946
9378,2,0.704578462,0,0,0,0
9379,3,0.707582786,45.212502127693384,3.398336720461102e-4,0.6785355605019032,49.66431233383469
9380,3,0.705909663,59.473693593142464,4.470259935364904e-4,0.8925632096929066,65.32971977340333
9384,1,0.709518063,0,0,0,0
9385,2,0.705690925,0,0,0,0
9386,1,0.708469899,0,0,0,0
9387,3,0.709369187,49.788363318086205,3.7422751529576296e-4,0.7472087015909099,54.690731767868684
9388,3,0.707450851,0,0,0,0
9389,1,0.708525756,0,0,0,0
9390,3,0.708511577,54.638458429271765,4.1068260081065003e-4,0.8199974624398713,60.018387330270826
9391,1,0.707572886,0,0,0,0
9392,3,0.707475256,0,0,0,0
9393,2,0.707325472,0,0,0,0
9394,1,0.707592316,0,0,0,0
9395,1,0.70753425700000006,0,0,0,0
9396,1,0.708454885,0,0,0,0
9397,2,0.707577051,0,0,0,0
9398,1,0.705268823,0,0,0,0
9399,1,0.70937095,0,0,0,0
9400,3,0.707594429,0,0,0,0
9401,1,0.70845526,0,0,0,0
9402,3,0.708435014,54.44581089063346,4.092345915790176e-4,0.8171062664330662,59.80677091713237
9403,1,0.708455995,0,0,0,0
9404,1,0.708397266,0,0,0,0
9405,3,0.706611919,51.90267754857035,3.90119472940033e-4,0.7789396902322125,57.01323013387525
9406,3,0.707486329,44.570256468088985,3.350063191992667e-4,0.6688969318458559,48.95882850673843
9407,2,0.705718685,0,0,0,0
9408,2,0.707583889,0,0,0,0
9409,2,0.705739106,0,0,0,0
9410,2,0.708532874,0,0,0,0
9411,1,0.706150194,0,0,0,0
9412,2,0.705745108,0,0,0,0
9413,1,0.706802132,0,0,0,0
9420,1,0.707408138,0,0,0,0
