number,year,indiv,repunit,collection,PofZ,n_miss_loci,TF_YEAR_ID,FishID,QC_or_RR
9973,2016,KLYUTF16_0001,lower,Andreafsky_R,0.001596642,28,KLYUTF16,1,NA
9974,2016,KLYUTF16_0001,lower,Anvik_R,0.116766674,28,KLYUTF16,1,NA
9975,2016,KLYUTF16_0001,lower,Nulato_R,0.007470456,28,KLYUTF16,1,NA
9976,2016,KLYUTF16_0001,lower,Gisasa_R,0.195141303,28,KLYUTF16,1,NA
9977,2016,KLYUTF16_0001,lower,Kateel_R,0.072193271,28,KLYUTF16,1,NA
9978,2016,KLYUTF16_0001,lower,Tozitna_R,0.010824524,28,KLYUTF16,1,NA
9979,2016,KLYUTF16_0001,middle,S_Fk_Koyukuk_R,7.69206e-4,28,KLYUTF16,1,NA
9980,2016,KLYUTF16_0001,middle,Henshaw_Creek,0.002287728,28,KLYUTF16,1,NA
9981,2016,KLYUTF16_0001,middle,Kantishna_R,0.005352143,28,KLYUTF16,1,NA
9982,2016,KLYUTF16_0001,middle,Chatanika_R,0.044723917,28,KLYUTF16,1,NA
9983,2016,KLYUTF16_0001,middle,Chena_R,0.002905494,28,KLYUTF16,1,NA
9984,2016,KLYUTF16_0001,middle,Salcha_R,0.013070842,28,KLYUTF16,1,NA
9985,2016,KLYUTF16_0001,middle,Goodpaster_R,0.001303724,28,KLYUTF16,1,NA
9986,2016,KLYUTF16_0001,middle,Beaver_Ck,0.319539084,28,KLYUTF16,1,NA
9987,2016,KLYUTF16_0001,middle,Chandalar_R,0.001821503,28,KLYUTF16,1,NA
9988,2016,KLYUTF16_0001,middle,Sheenjek_R,6.26223e-4,28,KLYUTF16,1,NA
9989,2016,KLYUTF16_0001,middle,Coleen_R,8.40275e-4,28,KLYUTF16,1,NA
9990,2016,KLYUTF16_0001,upper,Kandik_R,7.31e-5,28,KLYUTF16,1,NA
9991,2016,KLYUTF16_0001,upper,Chandindu_R,1.45538e-4,28,KLYUTF16,1,NA
9992,2016,KLYUTF16_0001,upper,Klondike_R,1.13854e-4,28,KLYUTF16,1,NA
9993,2016,KLYUTF16_0001,upper,Porcupine_R,4.18593e-4,28,KLYUTF16,1,NA
9994,2016,KLYUTF16_0001,upper,Stewart_R,3.13431e-4,28,KLYUTF16,1,NA
9995,2016,KLYUTF16_0001,upper,Mayo_R,0.001529427,28,KLYUTF16,1,NA
9996,2016,KLYUTF16_0001,upper,Pelly_R,0.00129212,28,KLYUTF16,1,NA
9997,2016,KLYUTF16_0001,upper,Blind_CK,0.133336618,28,KLYUTF16,1,NA
9998,2016,KLYUTF16_0001,upper,Tincup_Creek,2.00312e-4,28,KLYUTF16,1,NA
9999,2016,KLYUTF16_0001,upper,Yukon_R_Mainstem,9.16238e-4,28,KLYUTF16,1,NA
10000,2016,KLYUTF16_0001,upper,Tatchun_CK,2.34718e-4,28,KLYUTF16,1,NA
10001,2016,KLYUTF16_0001,upper,Nordenskiold_R,9.29e-5,28,KLYUTF16,1,NA
10002,2016,KLYUTF16_0001,upper,Little_Salmon_R,2.09668e-4,28,KLYUTF16,1,NA
10003,2016,KLYUTF16_0001,upper,Big_Salmon_R,2.05893e-4,28,KLYUTF16,1,NA
10004,2016,KLYUTF16_0001,upper,Nisutlin_R,9.96e-5,28,KLYUTF16,1,NA
10005,2016,KLYUTF16_0001,upper,Teslin_R,0.053363897,28,KLYUTF16,1,NA
10006,2016,KLYUTF16_0001,upper,Morley_R,0.009831337,28,KLYUTF16,1,NA
10007,2016,KLYUTF16_0001,upper,Takhini_R,2.45467e-4,28,KLYUTF16,1,NA
10008,2016,KLYUTF16_0001,upper,Whitehorse,1.44205e-4,28,KLYUTF16,1,NA
10009,2016,KLYUTF16_0001qc,lower,Andreafsky_R,1.05e-5,3,KLYUTF16,1,qc
10010,2016,KLYUTF16_0001qc,lower,Anvik_R,2.79612e-4,3,KLYUTF16,1,qc
10011,2016,KLYUTF16_0001qc,lower,Nulato_R,1.84e-5,3,KLYUTF16,1,qc
10012,2016,KLYUTF16_0001qc,lower,Gisasa_R,0.00107707,3,KLYUTF16,1,qc
10013,2016,KLYUTF16_0001qc,lower,Kateel_R,0.00143441,3,KLYUTF16,1,qc
10014,2016,KLYUTF16_0001qc,lower,Tozitna_R,6.26743e-4,3,KLYUTF16,1,qc
10015,2016,KLYUTF16_0001qc,middle,S_Fk_Koyukuk_R,6.57e-5,3,KLYUTF16,1,qc
10016,2016,KLYUTF16_0001qc,middle,Henshaw_Creek,9.2216e-4,3,KLYUTF16,1,qc
10017,2016,KLYUTF16_0001qc,middle,Kantishna_R,1.51087e-4,3,KLYUTF16,1,qc
10018,2016,KLYUTF16_0001qc,middle,Chatanika_R,0.001692001,3,KLYUTF16,1,qc
10019,2016,KLYUTF16_0001qc,middle,Chena_R,8.82141e-4,3,KLYUTF16,1,qc
10020,2016,KLYUTF16_0001qc,middle,Salcha_R,0.002231793,3,KLYUTF16,1,qc
10021,2016,KLYUTF16_0001qc,middle,Goodpaster_R,1.51291e-4,3,KLYUTF16,1,qc
10022,2016,KLYUTF16_0001qc,middle,Beaver_Ck,0.210659801,3,KLYUTF16,1,qc
10023,2016,KLYUTF16_0001qc,middle,Chandalar_R,5.79414e-4,3,KLYUTF16,1,qc
10024,2016,KLYUTF16_0001qc,middle,Sheenjek_R,1.58281e-4,3,KLYUTF16,1,qc
10025,2016,KLYUTF16_0001qc,middle,Coleen_R,0.001002864,3,KLYUTF16,1,qc
10026,2016,KLYUTF16_0001qc,upper,Kandik_R,3.75e-5,3,KLYUTF16,1,qc
10027,2016,KLYUTF16_0001qc,upper,Chandindu_R,6.18e-6,3,KLYUTF16,1,qc
10028,2016,KLYUTF16_0001qc,upper,Klondike_R,3.59e-5,3,KLYUTF16,1,qc
10029,2016,KLYUTF16_0001qc,upper,Porcupine_R,9.78795e-4,3,KLYUTF16,1,qc
10030,2016,KLYUTF16_0001qc,upper,Stewart_R,0.003099818,3,KLYUTF16,1,qc
10031,2016,KLYUTF16_0001qc,upper,Mayo_R,0.009762066,3,KLYUTF16,1,qc
10032,2016,KLYUTF16_0001qc,upper,Pelly_R,0.00479756,3,KLYUTF16,1,qc
10033,2016,KLYUTF16_0001qc,upper,Blind_CK,0.710962875,3,KLYUTF16,1,qc
10034,2016,KLYUTF16_0001qc,upper,Tincup_Creek,3.44e-5,3,KLYUTF16,1,qc
10035,2016,KLYUTF16_0001qc,upper,Yukon_R_Mainstem,4.06141e-4,3,KLYUTF16,1,qc
10036,2016,KLYUTF16_0001qc,upper,Tatchun_CK,1.75e-5,3,KLYUTF16,1,qc
10037,2016,KLYUTF16_0001qc,upper,Nordenskiold_R,1.91483e-4,3,KLYUTF16,1,qc
10038,2016,KLYUTF16_0001qc,upper,Little_Salmon_R,6.8601e-4,3,KLYUTF16,1,qc
10039,2016,KLYUTF16_0001qc,upper,Big_Salmon_R,0.001605858,3,KLYUTF16,1,qc
10040,2016,KLYUTF16_0001qc,upper,Nisutlin_R,1.81691e-4,3,KLYUTF16,1,qc
