number,year,indiv,repunit,collection,PofZ,n_miss_loci,TF_YEAR_ID,FishID,QC_or_RR
20084,2017,KLYUTF17_0001,upper,Nisutlin_R,0.105312892,5,KLYUTF17,1,NA
20085,2017,KLYUTF17_0001,upper,Teslin_R,0.498671366,5,KLYUTF17,1,NA
20086,2017,KLYUTF17_0001,upper,Morley_R,0.103335726,5,KLYUTF17,1,NA
20087,2017,KLYUTF17_0001,upper,Takhini_R,3.44e-6,5,KLYUTF17,1,NA
20088,2017,KLYUTF17_0001,upper,Whitehorse,1.7105e-4,5,KLYUTF17,1,NA
20089,2017,KLYUTF17_0001qc,lower,Andreafsky_R,3.11e-8,5,KLYUTF17,1,qc
20090,2017,KLYUTF17_0001qc,lower,Anvik_R,2.82e-8,5,KLYUTF17,1,qc
20091,2017,KLYUTF17_0001qc,lower,Nulato_R,6.86e-8,5,KLYUTF17,1,qc
20092,2017,KLYUTF17_0001qc,lower,Gisasa_R,1.4053e-4,5,KLYUTF17,1,qc
20093,2017,KLYUTF17_0001qc,lower,Kateel_R,1.16e-5,5,KLYUTF17,1,qc
20094,2017,KLYUTF17_0001qc,lower,Tozitna_R,1.97067e-4,5,KLYUTF17,1,qc
20095,2017,KLYUTF17_0001qc,middle,S_Fk_Koyukuk_R,7.13e-7,5,KLYUTF17,1,qc
20096,2017,KLYUTF17_0001qc,middle,Henshaw_Creek,3.06e-6,5,KLYUTF17,1,qc
20097,2017,KLYUTF17_0001qc,middle,Kantishna_R,1.1e-5,5,KLYUTF17,1,qc
20098,2017,KLYUTF17_0001qc,middle,Chatanika_R,5.18e-7,5,KLYUTF17,1,qc
20099,2017,KLYUTF17_0001qc,middle,Chena_R,8.02e-6,5,KLYUTF17,1,qc
20100,2017,KLYUTF17_0001qc,middle,Salcha_R,6.76664e-4,5,KLYUTF17,1,qc
20101,2017,KLYUTF17_0001qc,middle,Goodpaster_R,9.61e-7,5,KLYUTF17,1,qc
20102,2017,KLYUTF17_0001qc,middle,Beaver_Ck,0.002698543,5,KLYUTF17,1,qc
20103,2017,KLYUTF17_0001qc,middle,Chandalar_R,1.07e-5,5,KLYUTF17,1,qc
20104,2017,KLYUTF17_0001qc,middle,Sheenjek_R,1.37e-6,5,KLYUTF17,1,qc
20105,2017,KLYUTF17_0001qc,middle,Coleen_R,7.06e-7,5,KLYUTF17,1,qc
20106,2017,KLYUTF17_0001qc,upper,Kandik_R,1.21e-5,5,KLYUTF17,1,qc
20107,2017,KLYUTF17_0001qc,upper,Chandindu_R,9.75e-6,5,KLYUTF17,1,qc
20108,2017,KLYUTF17_0001qc,upper,Klondike_R,2.3e-5,5,KLYUTF17,1,qc
20109,2017,KLYUTF17_0001qc,upper,Porcupine_R,3.30298e-4,5,KLYUTF17,1,qc
20110,2017,KLYUTF17_0001qc,upper,Stewart_R,0.12444944,5,KLYUTF17,1,qc
20111,2017,KLYUTF17_0001qc,upper,Mayo_R,1.78414e-4,5,KLYUTF17,1,qc
20112,2017,KLYUTF17_0001qc,upper,Pelly_R,3.2727e-4,5,KLYUTF17,1,qc
20113,2017,KLYUTF17_0001qc,upper,Blind_CK,1.44475e-4,5,KLYUTF17,1,qc
20114,2017,KLYUTF17_0001qc,upper,Tincup_Creek,5.84e-8,5,KLYUTF17,1,qc
20115,2017,KLYUTF17_0001qc,upper,Yukon_R_Mainstem,0.003853949,5,KLYUTF17,1,qc
20116,2017,KLYUTF17_0001qc,upper,Tatchun_CK,0.003270678,5,KLYUTF17,1,qc
20117,2017,KLYUTF17_0001qc,upper,Nordenskiold_R,0.002008073,5,KLYUTF17,1,qc
20118,2017,KLYUTF17_0001qc,upper,Little_Salmon_R,0.002092218,5,KLYUTF17,1,qc
20119,2017,KLYUTF17_0001qc,upper,Big_Salmon_R,3.95048e-4,5,KLYUTF17,1,qc
20120,2017,KLYUTF17_0001qc,upper,Nisutlin_R,0.06619719,5,KLYUTF17,1,qc
20121,2017,KLYUTF17_0001qc,upper,Teslin_R,0.696984599,5,KLYUTF17,1,qc
20122,2017,KLYUTF17_0001qc,upper,Morley_R,0.094429929,5,KLYUTF17,1,qc
20123,2017,KLYUTF17_0001qc,upper,Takhini_R,5.2e-6,5,KLYUTF17,1,qc
20124,2017,KLYUTF17_0001qc,upper,Whitehorse,0.0015267,5,KLYUTF17,1,qc
20125,2017,KLYUTF17_0003,lower,Andreafsky_R,3.51e-6,0,KLYUTF17,3,NA
20126,2017,KLYUTF17_0003,lower,Anvik_R,5.29e-6,0,KLYUTF17,3,NA
20127,2017,KLYUTF17_0003,lower,Nulato_R,1.44e-5,0,KLYUTF17,3,NA
20128,2017,KLYUTF17_0003,lower,Gisasa_R,0.003389711,0,KLYUTF17,3,NA
20129,2017,KLYUTF17_0003,lower,Kateel_R,0.001045776,0,KLYUTF17,3,NA
20130,2017,KLYUTF17_0003,lower,Tozitna_R,0.003721521,0,KLYUTF17,3,NA
20131,2017,KLYUTF17_0003,middle,S_Fk_Koyukuk_R,4.08e-5,0,KLYUTF17,3,NA
20132,2017,KLYUTF17_0003,middle,Henshaw_Creek,1.35e-5,0,KLYUTF17,3,NA
20133,2017,KLYUTF17_0003,middle,Kantishna_R,0.001389242,0,KLYUTF17,3,NA
20134,2017,KLYUTF17_0003,middle,Chatanika_R,1.92e-5,0,KLYUTF17,3,NA
20135,2017,KLYUTF17_0003,middle,Chena_R,8.11e-5,0,KLYUTF17,3,NA
20136,2017,KLYUTF17_0003,middle,Salcha_R,0.011456563,0,KLYUTF17,3,NA
20137,2017,KLYUTF17_0003,middle,Goodpaster_R,1.45e-5,0,KLYUTF17,3,NA
20138,2017,KLYUTF17_0003,middle,Beaver_Ck,0.043714571,0,KLYUTF17,3,NA
20139,2017,KLYUTF17_0003,middle,Chandalar_R,3.1612e-4,0,KLYUTF17,3,NA
20140,2017,KLYUTF17_0003,middle,Sheenjek_R,3.43687e-4,0,KLYUTF17,3,NA
20141,2017,KLYUTF17_0003,middle,Coleen_R,1.26935e-4,0,KLYUTF17,3,NA
20142,2017,KLYUTF17_0003,upper,Kandik_R,1.24103e-4,0,KLYUTF17,3,NA
20143,2017,KLYUTF17_0003,upper,Chandindu_R,1.34595e-4,0,KLYUTF17,3,NA
20144,2017,KLYUTF17_0003,upper,Klondike_R,9.52e-5,0,KLYUTF17,3,NA
20145,2017,KLYUTF17_0003,upper,Porcupine_R,0.001364456,0,KLYUTF17,3,NA
20146,2017,KLYUTF17_0003,upper,Stewart_R,0.591116262,0,KLYUTF17,3,NA
20147,2017,KLYUTF17_0003,upper,Mayo_R,0.002188501,0,KLYUTF17,3,NA
20148,2017,KLYUTF17_0003,upper,Pelly_R,3.13605e-4,0,KLYUTF17,3,NA
20149,2017,KLYUTF17_0003,upper,Blind_CK,5.73796e-4,0,KLYUTF17,3,NA
20150,2017,KLYUTF17_0003,upper,Tincup_Creek,8.66e-7,0,KLYUTF17,3,NA
20151,2017,KLYUTF17_0003,upper,Yukon_R_Mainstem,0.004012874,0,KLYUTF17,3,NA
20152,2017,KLYUTF17_0003,upper,Tatchun_CK,0.008075741,0,KLYUTF17,3,NA
20153,2017,KLYUTF17_0003,upper,Nordenskiold_R,0.001208067,0,KLYUTF17,3,NA
20154,2017,KLYUTF17_0003,upper,Little_Salmon_R,0.001017103,0,KLYUTF17,3,NA
20155,2017,KLYUTF17_0003,upper,Big_Salmon_R,9.23e-5,0,KLYUTF17,3,NA
20156,2017,KLYUTF17_0003,upper,Nisutlin_R,0.007382489,0,KLYUTF17,3,NA
20157,2017,KLYUTF17_0003,upper,Teslin_R,0.291329427,0,KLYUTF17,3,NA
20158,2017,KLYUTF17_0003,upper,Morley_R,0.022908016,0,KLYUTF17,3,NA
20159,2017,KLYUTF17_0003,upper,Takhini_R,2.34e-5,0,KLYUTF17,3,NA
20160,2017,KLYUTF17_0003,upper,Whitehorse,0.002342807,0,KLYUTF17,3,NA
20161,2017,KLYUTF17_0004,lower,Andreafsky_R,1.5e-7,3,KLYUTF17,4,NA
20162,2017,KLYUTF17_0004,lower,Anvik_R,1.08e-6,3,KLYUTF17,4,NA
20163,2017,KLYUTF17_0004,lower,Nulato_R,3.16e-7,3,KLYUTF17,4,NA
20164,2017,KLYUTF17_0004,lower,Gisasa_R,0.001233398,3,KLYUTF17,4,NA
20165,2017,KLYUTF17_0004,lower,Kateel_R,1.37956e-4,3,KLYUTF17,4,NA
20166,2017,KLYUTF17_0004,lower,Tozitna_R,3.41194e-4,3,KLYUTF17,4,NA
20167,2017,KLYUTF17_0004,middle,S_Fk_Koyukuk_R,1.24e-6,3,KLYUTF17,4,NA
20168,2017,KLYUTF17_0004,middle,Henshaw_Creek,7.31e-7,3,KLYUTF17,4,NA
20169,2017,KLYUTF17_0004,middle,Kantishna_R,0.00148202,3,KLYUTF17,4,NA
20170,2017,KLYUTF17_0004,middle,Chatanika_R,7.78e-7,3,KLYUTF17,4,NA
20171,2017,KLYUTF17_0004,middle,Chena_R,7.51e-6,3,KLYUTF17,4,NA
20172,2017,KLYUTF17_0004,middle,Salcha_R,0.001026701,3,KLYUTF17,4,NA
20173,2017,KLYUTF17_0004,middle,Goodpaster_R,1.64e-6,3,KLYUTF17,4,NA
20174,2017,KLYUTF17_0004,middle,Beaver_Ck,0.011897308,3,KLYUTF17,4,NA
20175,2017,KLYUTF17_0004,middle,Chandalar_R,2.8e-5,3,KLYUTF17,4,NA
20176,2017,KLYUTF17_0004,middle,Sheenjek_R,3.2e-5,3,KLYUTF17,4,NA
20177,2017,KLYUTF17_0004,middle,Coleen_R,7.14088e-4,3,KLYUTF17,4,NA
20178,2017,KLYUTF17_0004,upper,Kandik_R,1.26e-5,3,KLYUTF17,4,NA
20179,2017,KLYUTF17_0004,upper,Chandindu_R,2.57e-6,3,KLYUTF17,4,NA
20180,2017,KLYUTF17_0004,upper,Klondike_R,1.32e-5,3,KLYUTF17,4,NA
20181,2017,KLYUTF17_0004,upper,Porcupine_R,0.004095876,3,KLYUTF17,4,NA
20182,2017,KLYUTF17_0004,upper,Stewart_R,0.816023233,3,KLYUTF17,4,NA
20183,2017,KLYUTF17_0004,upper,Mayo_R,0.001966241,3,KLYUTF17,4,NA
20184,2017,KLYUTF17_0004,upper,Pelly_R,8.89559e-4,3,KLYUTF17,4,NA
20185,2017,KLYUTF17_0004,upper,Blind_CK,0.001925334,3,KLYUTF17,4,NA
20186,2017,KLYUTF17_0004,upper,Tincup_Creek,3.37246e-4,3,KLYUTF17,4,NA
20187,2017,KLYUTF17_0004,upper,Yukon_R_Mainstem,0.011213344,3,KLYUTF17,4,NA
20188,2017,KLYUTF17_0004,upper,Tatchun_CK,1.71969e-4,3,KLYUTF17,4,NA
20189,2017,KLYUTF17_0004,upper,Nordenskiold_R,2.28307e-4,3,KLYUTF17,4,NA
20190,2017,KLYUTF17_0004,upper,Little_Salmon_R,0.002960767,3,KLYUTF17,4,NA
20191,2017,KLYUTF17_0004,upper,Big_Salmon_R,2.5905e-4,3,KLYUTF17,4,NA
20192,2017,KLYUTF17_0004,upper,Nisutlin_R,2.47473e-4,3,KLYUTF17,4,NA
20193,2017,KLYUTF17_0004,upper,Teslin_R,0.138690096,3,KLYUTF17,4,NA
20194,2017,KLYUTF17_0004,upper,Morley_R,0.003149066,3,KLYUTF17,4,NA
20195,2017,KLYUTF17_0004,upper,Takhini_R,1.38e-5,3,KLYUTF17,4,NA
20196,2017,KLYUTF17_0004,upper,Whitehorse,8.94171e-4,3,KLYUTF17,4,NA
20197,2017,KLYUTF17_0005,lower,Andreafsky_R,2.28387e-4,0,KLYUTF17,5,NA
20198,2017,KLYUTF17_0005,lower,Anvik_R,0.001773297,0,KLYUTF17,5,NA
20199,2017,KLYUTF17_0005,lower,Nulato_R,5.96635e-4,0,KLYUTF17,5,NA
20200,2017,KLYUTF17_0005,lower,Gisasa_R,0.755708566,0,KLYUTF17,5,NA
20201,2017,KLYUTF17_0005,lower,Kateel_R,0.009661887,0,KLYUTF17,5,NA
20202,2017,KLYUTF17_0005,lower,Tozitna_R,0.043207837,0,KLYUTF17,5,NA
20203,2017,KLYUTF17_0005,middle,S_Fk_Koyukuk_R,8.74e-5,0,KLYUTF17,5,NA
