"","fish.id","natal_iso","UY_gen","MY_gen","LY_gen","max_gen"
"1","2015_yk_010",0.716820435,0.754579473,0.223467645,0.021952863,"UY"
"2","2015_yk_035",0.729712111,0.298091739,0.430981679,0.27092656,"MY"
"3","2015_yk_040",0.721179484,0.315445344,0.292520885,0.39203377,"LY"
"4","2015_yk_048",0.713690328,0.0005842982,0.014726478,0.984689292,"LY"
"5","2015_yk_051a",0.724726135,0.0005842982,0.014726478,0.984689292,"LY"
"6","2015_yk_052b",0.712378587,0.0047699871,0.9317425,0.063487442,"MY"
"7","2015_yk_056a",0.709209659,0.0009545576,0.270287196,0.728758336,"LY"
"8","2015_yk_062a",0.714935434,0.211420513,0.198701465,0.58987818,"LY"
"9","2015_yk_065a",0.713019251,0.036264799,0.808880186,0.154854902,"MY"
"10","2015_yk_066",0.724363019,0.201487115,0.371545133,0.426967524,"LY"
"11","2015_yk_068b",0.712053196,0.440930042,0.556038213,0.003031745,"MY"
"12","2015_yk_069",0.714204652,0.050635778,0.923674447,0.025689745,"MY"
"13","2015_yk_077",0.707894433,0.029459633,0.336421304,0.634119081,"LY"
"14","2015_yk_080",0.724116696,0.005434688,0.91299196,0.081573445,"MY"
"15","2015_yk_082",0.709068463,0.141431909,0.496698336,0.361869839,"MY"
"16","2015_yk_084",0.716577884,0.226851634,0.13253631,0.640611988,"LY"
"17","2015_yk_091",0.709918969,0.936289401,0.030089373,0.03362107,"UY"
"18","2015_yk_092",0.70925098,0.0671053245,0.379101095,0.553793589,"LY"
"19","2015_yk_097",0.707177391,0.1047030678,0.292167234,0.603129941,"LY"
"20","2015_yk_098",0.715568917,0.1047030678,0.292167234,0.603129941,"LY"
"21","2015_yk_099",0.724742936,0.123100349,0.687988027,0.188911603,"MY"
"22","2015_yk_100",0.716089511,0.5662429304,0.430161052,0.0035959568,"UY"
"23","2015_yk_101",0.710739921,0.219592047,0.22038786,0.560020056,"LY"
"24","2015_yk_102a",0.711152921,0.605573726,0.364590365,0.029835852,"UY"
"25","2015_yk_109",0.720404584,0.097132004,0.002381436,0.900486512,"LY"
"26","2015_yk_111",0.716763886,0.891542598,0.070836787,0.037620672,"UY"
"27","2015_yk_113",0.723322966,0.0412513005,0.918439979,0.040308584,"MY"
"28","2015_yk_114",0.722618586,1.2786794e-05,0.657063212,0.342923978,"MY"
"29","2015_yk_116",0.716945122,2.9492309e-05,0.808790407,0.19118005,"MY"
"30","2015_yk_117",0.716509206,0.75235956,0.063086499,0.18455393,"UY"
"31","2015_yk_119",0.719107685,0.461094711,0.32651475,0.212390521,"UY"
"32","2015_yk_124",0.705016573,0.857505762,0.028646112,0.113848097,"UY"
"33","2015_yk_128",0.722543823,0.037473697,0.889704898,0.072821308,"MY"
"34","2015_yk_129",0.711993882,0.497915079,0.438184938,0.063900035,"UY"
"35","2015_yk_137",0.711760396,0.988041453,0.0113276732,0.0006307262,"UY"
"36","2015_yk_139",0.721435875,0.98576283,0.013054866,0.0011822785,"UY"
"37","2015_yk_144",0.722742247,0.058390767,0.251271429,0.690337823,"LY"
"38","2015_yk_148",0.714704155,0.436118864,0.249480313,0.314400859,"UY"
"39","2015_yk_149",0.718539328,0.442342171,0.266505878,0.291151904,"UY"
"40","2015_yk_151",0.725579774,0.0032948661,0.662118868,0.334586341,"MY"
"41","2015_yk_152",0.710450222,0.011952016,0.32848085,0.659567188,"LY"
"42","2015_yk_159",0.71223972,0.397953497,0.570303567,0.031742967,"MY"
"43","2015_yk_161",0.707278419,0.006831432,0.919949571,0.073218951,"MY"
"44","2015_yk_165",0.712619196,0.006831432,0.919949571,0.073218951,"MY"
"45","2015_yk_166",0.71506874,0.987002899,0.000707494,0.012289679,"UY"
