"","natal_iso","UY_gen","MY_gen","LY_gen","max_gen"
"177",0.715842223,0.9997,0.000149999999999983,0.000149999999999983,"UY"
"178",0.711207593,0,0,1,"LY"
"179",0.711222045,1,0,0,"UY"
"180",0.716727269,0.2,0.2,0.2,"Equal"
"181",0.712517856,0,0,1,"LY"
"182",0.712935472,1,0,0,"UY"
"183",0.70561321,1,0,0,"UY"
"184",0.714022795,1,0,0,"UY"
"185",0.714572221,0.00895000000000001,0.9821,0.00895000000000001,"MY"
"186",0.71077588,0,0,1,"LY"
"187",0.706099664,0.2,0.2,0.2,"Equal"
"188",0.711595772,0,0,1,"LY"
"189",0.711371586,0.000450000000000006,0.9991,0.000450000000000006,"MY"
"190",0.721497613,0.00485000000000002,0.9903,0.00485000000000002,"MY"
"191",0.716360738,0,0,1,"LY"
"192",0.711531882,1,0,0,"UY"
"193",0.73538594,0,0,1,"LY"
"194",0.724786859,1,0,0,"UY"
"195",0.724794381,1,0,0,"UY"
"196",0.717218566,0.09905,0.8019,0.09905,"MY"
"197",0.71017725,0.9776,0.0112,0.0112,"UY"
"198",0.715776571,1,0,0,"UY"
"199",0.716205281,1,0,0,"UY"
"200",0.715963014,1,0,0,"UY"
"201",0.711245345,0,1,0,"MY"
"202",0.71634473,0,1,0,"MY"
"203",0.722863518,0.2,0.2,0.2,"Equal"
"204",0.725141247,0.2,0.2,0.2,"Equal"
"205",0.712785494,0.2,0.2,0.2,"Equal"
"206",0.718628424,0.2,0.2,0.2,"Equal"
"207",0.711247541,0.2,0.2,0.2,"Equal"
"208",0.710220867,0.2,0.2,0.2,"Equal"
"209",0.711269815,0.2,0.2,0.2,"Equal"
"210",0.71990672,0.2,0.2,0.2,"Equal"
"211",0.711249179,0.2,0.2,0.2,"Equal"
"212",0.7055109,0.2,0.2,0.2,"Equal"
"213",0.712051637,0.2,0.2,0.2,"Equal"
"214",0.705802487,0.2,0.2,0.2,"Equal"
"215",0.707211402,0.2,0.2,0.2,"Equal"
"216",0.707743315,0.2,0.2,0.2,"Equal"
"217",0.707882518,0.2,0.2,0.2,"Equal"
"218",0.707754413,0.2,0.2,0.2,"Equal"
"219",0.7071407,0.2,0.2,0.2,"Equal"
"220",0.706908246,0.2,0.2,0.2,"Equal"
"221",0.70559442,0.2,0.2,0.2,"Equal"
"222",0.711095894,0.2,0.2,0.2,"Equal"
"223",0.705529118,0.2,0.2,0.2,"Equal"
"224",0.706956564,0.2,0.2,0.2,"Equal"
"225",0.704587471,0.2,0.2,0.2,"Equal"
"226",0.707225778,0.2,0.2,0.2,"Equal"
"227",0.706720365,0.2,0.2,0.2,"Equal"
"228",0.707325728,0.2,0.2,0.2,"Equal"
"229",0.707000789,0.2,0.2,0.2,"Equal"
"230",0.707340155,0.2,0.2,0.2,"Equal"
"231",0.713158742,0.2,0.2,0.2,"Equal"
"232",0.716941628,0.2,0.2,0.2,"Equal"
"233",0.70750871,0.2,0.2,0.2,"Equal"
"234",0.715595084,0.2,0.2,0.2,"Equal"
"235",0.705852667,0.2,0.2,0.2,"Equal"
"236",0.710482921,0.2,0.2,0.2,"Equal"
