stream_order,year,n_groups,total_individuals,mean_individuals_per_group,sd_individuals_per_group,max_individuals_group
3,2015,5182,0,0,0,0
3,2016,5182,0,0,0,0
3,2018,5182,0,0,0,0
3,2021,5182,0,0,0,0
4,2015,1166,9363.900802286678,8.03078971036592,62.25902311292474,1481.2390999200347
4,2016,1166,9954.311271283064,8.537145172626987,47.12163060238057,753.6179360949079
4,2018,1166,10201.176791241503,8.748865172591342,57.26398305743339,1063.7743334622705
4,2021,1166,7236.2887454082575,6.20607954151653,45.474105859477916,1167.870593111936
5,2015,280,40430.81185500046,144.39575662500155,663.5958715535263,8278.002095940505
5,2016,280,46160.62569421563,164.85937747934145,511.29968821648197,4881.153230569648
5,2018,280,43030.60129922878,153.68071892581713,518.5976539685863,5684.689398278664
5,2021,280,30783.462641724993,109.94093800616075,346.35188085377,3276.693963497033
6,2015,80,108800.7828286775,1360.0097853584693,2610.876321678916,14530.337000968724
6,2016,80,118737.37668706433,1484.217208588304,2024.7414498689127,8850.30090286457
6,2018,80,114393.60476390093,1429.9200595487614,2085.5403214869934,10148.551870288336
6,2021,80,84691.43523894009,1058.642940486751,1425.5409382726837,5680.147334554452
7,2015,14,114473.66691569591,8176.690493978279,9346.316070821047,35942.089490294864
7,2016,14,146882.64679374694,10491.61762812478,8053.602423038454,29158.52188435493
7,2018,14,138021.72782032096,9858.69484430864,8495.446796838462,28269.19314886945
7,2021,14,110471.35679153669,7890.811199395477,7035.7826377551755,25173.60597122295
8,2015,4,71413.59767575967,17853.399418939916,12379.556133897311,36281.578872296675
8,2016,4,126405.39243798787,31601.34810949697,9472.447025406569,45533.99415505716
8,2018,4,109664.96208835613,27416.240522089036,8567.255270084608,38916.736267398825
8,2021,4,88619.8949728375,22154.973743209375,6485.289383983434,29784.899611907545
