year,stream_order,focal_reach,group_individuals,n_reaches_in_group,n_reaches_with_production,basin_total_run
2015,3,902,0,1,0,161749
2015,3,978,0,1,0,161749
2015,3,925,0,1,0,161749
2015,3,935,0,1,0,161749
2015,3,950,0,1,0,161749
2015,3,951,0,1,0,161749
2015,3,961,0,1,0,161749
2015,3,971,0,1,0,161749
2015,3,976,0,1,0,161749
2015,3,979,0,1,0,161749
2015,3,984,0,1,0,161749
2015,3,992,0,1,0,161749
2015,3,994,0,1,0,161749
2015,3,996,0,1,0,161749
2015,3,1011,0,1,0,161749
2015,3,1016,0,1,0,161749
2015,3,1019,0,1,0,161749
2015,3,1023,0,1,0,161749
2015,3,1048,0,1,0,161749
2015,3,1060,0,1,0,161749
2015,3,1062,0,1,0,161749
2015,3,1066,0,1,0,161749
2015,3,1069,0,1,0,161749
2015,3,1080,0,1,0,161749
2015,3,1083,0,1,0,161749
2015,3,1096,0,1,0,161749
2015,3,1104,0,1,0,161749
2015,3,1107,0,1,0,161749
2015,3,1110,0,1,0,161749
2015,3,1132,0,1,0,161749
2015,3,1141,0,1,0,161749
2015,3,1142,0,1,0,161749
2015,3,1168,0,1,0,161749
2015,3,1174,0,1,0,161749
2015,3,1178,0,1,0,161749
2015,3,1179,0,1,0,161749
2015,3,1180,0,1,0,161749
2015,3,1187,0,1,0,161749
2015,3,1201,0,1,0,161749
2015,3,1203,0,1,0,161749
2015,3,1208,0,1,0,161749
2015,3,1211,0,1,0,161749
2015,3,1214,0,1,0,161749
2015,3,1220,0,1,0,161749
2015,3,1228,0,1,0,161749
2015,3,1236,0,1,0,161749
2015,3,1242,0,1,0,161749
2015,3,1251,0,1,0,161749
2015,3,1257,0,1,0,161749
2015,3,1260,0,1,0,161749
2015,3,1264,0,1,0,161749
2015,3,1268,0,1,0,161749
2015,3,1276,0,1,0,161749
2015,3,1283,0,1,0,161749
2015,3,1284,0,1,0,161749
2015,3,1285,0,1,0,161749
2015,3,1287,0,1,0,161749
2015,3,1294,0,1,0,161749
2015,3,1297,0,1,0,161749
2015,3,1301,0,1,0,161749
2015,3,1310,0,1,0,161749
2015,3,1324,0,1,0,161749
2015,3,1325,0,1,0,161749
2015,3,1328,0,1,0,161749
2015,3,1331,0,1,0,161749
2015,3,1332,0,1,0,161749
2015,3,1334,0,1,0,161749
2015,3,1337,0,1,0,161749
2015,3,1340,0,1,0,161749
2015,3,1341,0,1,0,161749
2015,3,1350,0,1,0,161749
2015,3,1371,0,1,0,161749
2015,3,1374,0,1,0,161749
2015,3,1385,0,1,0,161749
2015,3,1388,0,1,0,161749
2015,3,1398,0,1,0,161749
2015,3,1399,0,1,0,161749
2015,3,1422,0,1,0,161749
2015,3,1425,0,1,0,161749
2015,3,1439,0,1,0,161749
2015,3,1440,0,1,0,161749
2015,3,1442,0,1,0,161749
2015,3,1450,0,1,0,161749
2015,3,1451,0,1,0,161749
2015,3,1453,0,1,0,161749
2015,3,1465,0,1,0,161749
2015,3,1466,0,1,0,161749
2015,3,1472,0,1,0,161749
2015,3,1475,0,1,0,161749
2015,3,1481,0,1,0,161749
2015,3,1482,0,1,0,161749
2015,3,1491,0,1,0,161749
2015,3,1498,0,1,0,161749
2015,3,1511,0,1,0,161749
2015,3,1515,0,1,0,161749
2015,3,1518,0,1,0,161749
2015,3,1519,0,1,0,161749
2015,3,1522,0,1,0,161749
2015,3,1523,0,1,0,161749
2015,3,1526,0,1,0,161749
2015,3,1531,0,1,0,161749
2015,3,1532,0,1,0,161749
2015,3,1534,0,1,0,161749
2015,3,1536,0,1,0,161749
2015,3,1579,0,1,0,161749
2015,3,1781,0,1,0,161749
2015,3,1811,0,1,0,161749
2015,3,1835,0,1,0,161749
2015,3,1837,0,1,0,161749
2015,3,1558,0,1,0,161749
2015,3,1559,0,1,0,161749
2015,3,1568,0,1,0,161749
2015,3,1573,0,1,0,161749
2015,3,1574,0,1,0,161749
2015,3,1575,0,1,0,161749
2015,3,1576,0,1,0,161749
2015,3,1587,0,1,0,161749
2015,3,1590,0,1,0,161749
2015,3,1591,0,1,0,161749
2015,3,1597,0,1,0,161749
2015,3,1598,0,1,0,161749
2015,3,1606,0,1,0,161749
2015,3,1611,0,1,0,161749
2015,3,1615,0,1,0,161749
2015,3,1616,0,1,0,161749
2015,3,1618,0,1,0,161749
2015,3,1619,0,1,0,161749
2015,3,1620,0,1,0,161749
2015,3,1625,0,1,0,161749
2015,3,1636,0,1,0,161749
2015,3,1638,0,1,0,161749
2015,3,1639,0,1,0,161749
2015,3,1641,0,1,0,161749
2015,3,1643,0,1,0,161749
2015,3,1647,0,1,0,161749
2015,3,1650,0,1,0,161749
2015,3,1651,0,1,0,161749
2015,3,1652,0,1,0,161749
2015,3,1654,0,1,0,161749
2015,3,1655,0,1,0,161749
2015,3,1660,0,1,0,161749
2015,3,1667,0,1,0,161749
2015,3,1683,0,1,0,161749
2015,3,1686,0,1,0,161749
2015,3,1688,0,1,0,161749
2015,3,1692,0,1,0,161749
2015,3,1696,0,1,0,161749
2015,3,1697,0,1,0,161749
2015,3,1698,0,1,0,161749
2015,3,1701,0,1,0,161749
2015,3,1709,0,1,0,161749
2015,3,1716,0,1,0,161749
2015,3,1727,0,1,0,161749
2015,3,1735,0,1,0,161749
2015,3,1736,0,1,0,161749
2015,3,1739,0,1,0,161749
2015,3,1747,0,1,0,161749
2015,3,1748,0,1,0,161749
2015,3,1750,0,1,0,161749
2015,3,1752,0,1,0,161749
2015,3,1757,0,1,0,161749
2015,3,1760,0,1,0,161749
2015,3,1763,0,1,0,161749
2015,3,1768,0,1,0,161749
2015,3,1777,0,1,0,161749
2015,3,1778,0,1,0,161749
2015,3,1783,0,1,0,161749
2015,3,1787,0,1,0,161749
2015,3,1790,0,1,0,161749
2015,3,1794,0,1,0,161749
2015,3,1797,0,1,0,161749
2015,3,1802,0,1,0,161749
2015,3,1805,0,1,0,161749
2015,3,1807,0,1,0,161749
2015,3,1816,0,1,0,161749
2015,3,1818,0,1,0,161749
2015,3,1826,0,1,0,161749
2015,3,1830,0,1,0,161749
2015,3,1841,0,1,0,161749
2015,3,1852,0,1,0,161749
2015,3,1853,0,1,0,161749
2015,3,1854,0,1,0,161749
2015,3,1861,0,1,0,161749
2015,3,1862,0,1,0,161749
2015,3,1863,0,1,0,161749
2015,3,1870,0,1,0,161749
2015,3,1880,0,1,0,161749
2015,3,1882,0,1,0,161749
2015,3,1958,0,1,0,161749
2015,3,2362,0,1,0,161749
2015,3,1894,0,1,0,161749
2015,3,1897,0,1,0,161749
2015,3,1899,0,1,0,161749
2015,3,1906,0,1,0,161749
2015,3,1909,0,1,0,161749
2015,3,1911,0,1,0,161749
2015,3,1916,0,1,0,161749
2015,3,1919,0,1,0,161749
2015,3,1927,0,1,0,161749
2015,3,1932,0,1,0,161749
2015,3,1941,0,1,0,161749
2015,3,1942,0,1,0,161749
2015,3,1945,0,1,0,161749
2015,3,1948,0,1,0,161749
2015,3,1949,0,1,0,161749
2015,3,1952,0,1,0,161749
2015,3,1954,0,1,0,161749
2015,3,1955,0,1,0,161749
2015,3,1968,0,1,0,161749
2015,3,1971,0,1,0,161749
2015,3,1984,0,1,0,161749
2015,3,1989,0,1,0,161749
2015,3,1992,0,1,0,161749
2015,3,1999,0,1,0,161749
2015,3,2001,0,1,0,161749
2015,3,2004,0,1,0,161749
2015,3,2006,0,1,0,161749
2015,3,2008,0,1,0,161749
2015,3,2011,0,1,0,161749
2015,3,2012,0,1,0,161749
2015,3,2017,0,1,0,161749
2015,3,2020,0,1,0,161749
2015,3,2022,0,1,0,161749
2015,3,2023,0,1,0,161749
2015,3,2027,0,1,0,161749
2015,3,2031,0,1,0,161749
2015,3,2035,0,1,0,161749
2015,3,2036,0,1,0,161749
2015,3,2041,0,1,0,161749
2015,3,2042,0,1,0,161749
2015,3,2044,0,1,0,161749
2015,3,2046,0,1,0,161749
2015,3,2047,0,1,0,161749
2015,3,2053,0,1,0,161749
2015,3,2054,0,1,0,161749
2015,3,2056,0,1,0,161749
2015,3,2058,0,1,0,161749
2015,3,2059,0,1,0,161749
2015,3,2066,0,1,0,161749
2015,3,2073,0,1,0,161749
2015,3,2074,0,1,0,161749
2015,3,2076,0,1,0,161749
2015,3,2085,0,1,0,161749
2015,3,2089,0,1,0,161749
2015,3,2092,0,1,0,161749
2015,3,2093,0,1,0,161749
2015,3,2098,0,1,0,161749
2015,3,2109,0,1,0,161749
2015,3,2110,0,1,0,161749
2015,3,2111,0,1,0,161749
2015,3,2114,0,1,0,161749
2015,3,2118,0,1,0,161749
2015,3,2123,0,1,0,161749
2015,3,2124,0,1,0,161749
2015,3,2127,0,1,0,161749
2015,3,2130,0,1,0,161749
2015,3,2136,0,1,0,161749
2015,3,2139,0,1,0,161749
2015,3,2151,0,1,0,161749
2015,3,2153,0,1,0,161749
2015,3,2163,0,1,0,161749
2015,3,2164,0,1,0,161749
2015,3,2166,0,1,0,161749
2015,3,2169,0,1,0,161749
2015,3,2170,0,1,0,161749
2015,3,2172,0,1,0,161749
2015,3,2174,0,1,0,161749
2015,3,2176,0,1,0,161749
2015,3,2179,0,1,0,161749
2015,3,2189,0,1,0,161749
2015,3,2194,0,1,0,161749
2015,3,2195,0,1,0,161749
2015,3,2200,0,1,0,161749
2015,3,2201,0,1,0,161749
2015,3,2203,0,1,0,161749
2015,3,2204,0,1,0,161749
2015,3,2213,0,1,0,161749
2015,3,2215,0,1,0,161749
2015,3,2219,0,1,0,161749
2015,3,2221,0,1,0,161749
2015,3,2222,0,1,0,161749
2015,3,2226,0,1,0,161749
2015,3,2227,0,1,0,161749
2015,3,2230,0,1,0,161749
2015,3,2233,0,1,0,161749
2015,3,2240,0,1,0,161749
2015,3,2245,0,1,0,161749
2015,3,2250,0,1,0,161749
2015,3,2254,0,1,0,161749
2015,3,2258,0,1,0,161749
2015,3,2262,0,1,0,161749
2015,3,2265,0,1,0,161749
2015,3,2266,0,1,0,161749
2015,3,2271,0,1,0,161749
2015,3,2272,0,1,0,161749
2015,3,2275,0,1,0,161749
2015,3,2277,0,1,0,161749
2015,3,2279,0,1,0,161749
2015,3,2281,0,1,0,161749
2015,3,2285,0,1,0,161749
2015,3,2297,0,1,0,161749
