focal_reach,stream_order,Year_2015,Year_2016,Year_2018,Year_2021
2093,3,0,0,0,0
2098,3,0,0,0,0
2109,3,0,0,0,0
2110,3,0,0,0,0
2111,3,0,0,0,0
2114,3,0,0,0,0
2118,3,0,0,0,0
2123,3,0,0,0,0
2124,3,0,0,0,0
2127,3,0,0,0,0
2130,3,0,0,0,0
2136,3,0,0,0,0
2139,3,0,0,0,0
2151,3,0,0,0,0
2153,3,0,0,0,0
2163,3,0,0,0,0
2164,3,0,0,0,0
2166,3,0,0,0,0
2169,3,0,0,0,0
2170,3,0,0,0,0
2172,3,0,0,0,0
2174,3,0,0,0,0
2176,3,0,0,0,0
2179,3,0,0,0,0
2189,3,0,0,0,0
2194,3,0,0,0,0
2195,3,0,0,0,0
2200,3,0,0,0,0
2201,3,0,0,0,0
2203,3,0,0,0,0
2204,3,0,0,0,0
2213,3,0,0,0,0
2215,3,0,0,0,0
2219,3,0,0,0,0
2221,3,0,0,0,0
2222,3,0,0,0,0
2226,3,0,0,0,0
2227,3,0,0,0,0
2230,3,0,0,0,0
2233,3,0,0,0,0
2240,3,0,0,0,0
2245,3,0,0,0,0
2250,3,0,0,0,0
2254,3,0,0,0,0
2258,3,0,0,0,0
2262,3,0,0,0,0
2265,3,0,0,0,0
2266,3,0,0,0,0
2271,3,0,0,0,0
2272,3,0,0,0,0
2275,3,0,0,0,0
2277,3,0,0,0,0
2279,3,0,0,0,0
2281,3,0,0,0,0
2285,3,0,0,0,0
2297,3,0,0,0,0
2303,3,0,0,0,0
2304,3,0,0,0,0
2305,3,0,0,0,0
2308,3,0,0,0,0
2319,3,0,0,0,0
2324,3,0,0,0,0
2328,3,0,0,0,0
2333,3,0,0,0,0
2343,3,0,0,0,0
2344,3,0,0,0,0
2345,3,0,0,0,0
2346,3,0,0,0,0
2348,3,0,0,0,0
2350,3,0,0,0,0
2351,3,0,0,0,0
2357,3,0,0,0,0
2358,3,0,0,0,0
2360,3,0,0,0,0
2362,3,0,0,0,0
2363,3,0,0,0,0
2364,3,0,0,0,0
2366,3,0,0,0,0
2370,3,0,0,0,0
2377,3,0,0,0,0
2380,3,0,0,0,0
2385,3,0,0,0,0
2387,3,0,0,0,0
2395,3,0,0,0,0
2400,3,0,0,0,0
2407,3,0,0,0,0
2410,3,0,0,0,0
2412,3,0,0,0,0
2413,3,0,0,0,0
2422,3,0,0,0,0
2423,3,0,0,0,0
2430,3,0,0,0,0
2431,3,0,0,0,0
2432,3,0,0,0,0
2434,3,0,0,0,0
2437,3,0,0,0,0
2439,3,0,0,0,0
2448,3,0,0,0,0
2449,3,0,0,0,0
2451,3,0,0,0,0
2457,3,0,0,0,0
2463,3,0,0,0,0
2465,3,0,0,0,0
2470,3,0,0,0,0
2471,3,0,0,0,0
2472,3,0,0,0,0
2475,3,0,0,0,0
2476,3,0,0,0,0
2484,3,0,0,0,0
2485,3,0,0,0,0
2488,3,0,0,0,0
2489,3,0,0,0,0
2496,3,0,0,0,0
2497,3,0,0,0,0
2500,3,0,0,0,0
2507,3,0,0,0,0
2515,3,0,0,0,0
2516,3,0,0,0,0
2522,3,0,0,0,0
2523,3,0,0,0,0
2524,3,0,0,0,0
2529,3,0,0,0,0
2534,3,0,0,0,0
2538,3,0,0,0,0
2544,3,0,0,0,0
2553,3,0,0,0,0
2554,3,0,0,0,0
2555,3,0,0,0,0
2563,3,0,0,0,0
2566,3,0,0,0,0
2567,3,0,0,0,0
2572,3,0,0,0,0
2573,3,0,0,0,0
2575,3,0,0,0,0
2578,3,0,0,0,0
2579,3,0,0,0,0
2586,3,0,0,0,0
2588,3,0,0,0,0
2595,3,0,0,0,0
2600,3,0,0,0,0
2605,3,0,0,0,0
2607,3,0,0,0,0
2609,3,0,0,0,0
2615,3,0,0,0,0
2619,3,0,0,0,0
2620,3,0,0,0,0
2622,3,0,0,0,0
2624,3,0,0,0,0
2628,3,0,0,0,0
2631,3,0,0,0,0
2646,3,0,0,0,0
2650,3,0,0,0,0
2654,3,0,0,0,0
2655,3,0,0,0,0
2662,3,0,0,0,0
2663,3,0,0,0,0
2664,3,0,0,0,0
2667,3,0,0,0,0
2668,3,0,0,0,0
2669,3,0,0,0,0
2671,3,0,0,0,0
2672,3,0,0,0,0
2674,3,0,0,0,0
2676,3,0,0,0,0
2677,3,0,0,0,0
2680,3,0,0,0,0
2682,3,0,0,0,0
2683,3,0,0,0,0
2691,3,0,0,0,0
2692,3,0,0,0,0
2693,3,0,0,0,0
2695,3,0,0,0,0
2697,3,0,0,0,0
2701,3,0,0,0,0
2702,3,0,0,0,0
2703,3,0,0,0,0
2708,3,0,0,0,0
