Fish_id,Watershed,Year,OtoNum,natal_start,natal_end,natal_iso,natal_isose,Date,DOY,OriginalDate,Month,dailyCPUEprop,oto_catch_daily,OtoPropDaily,COratio
corrected_2022_kk_001,Kusko,2022,1,656.5921032,686.9893661,0.709744994,0.000902275,2022-06-01,152,6/1/22,6,0.004602419,1,0.003773585,1.219640971
corrected_2022_kk_003,Kusko,2022,3,861.7192647,885.4768276,0.709849,0.001026333,2022-06-06,157,6/6/22,6,0.005439222,1,0.003773585,1.441393875
corrected_2022_kk_004,Kusko,2022,4,1098.491743,1114.769047,0.708798,0.000822714,2022-06-07,158,6/7/22,6,0.014942918,3,0.011320755,1.319957761
corrected_2022_kk_005,Kusko,2022,5,1282.885856,1291.564798,0.7076,0.000591302,2022-06-07,158,6/7/22,6,0.014942918,3,0.011320755,1.319957761
corrected_2022_kk_006,Kusko,2022,6,1467.552118,1489.829416,0.70803,0.001041935,2022-06-07,158,6/7/22,6,0.014942918,3,0.011320755,1.319957761
corrected_2022_kk_008,Kusko,2022,8,8069.91571,8083.162385,0.7068,0.000725125,2022-06-10,161,6/10/22,6,0.012432508,3,0.011320755,1.098204857
corrected_2022_kk_009,Kusko,2022,9,1674.553093,1722.202911,0.709,0.000717907,2022-06-10,161,6/10/22,6,0.012432508,3,0.011320755,1.098204857
corrected_2022_kk_010,Kusko,2022,10,1947.053303,1974.660416,0.709412414,0.001097566,2022-06-10,161,6/10/22,6,0.012432508,3,0.011320755,1.098204857
corrected_2022_kk_011,Kusko,2022,11,2162.109137,2176.906659,0.706843983,0.000477419,2022-06-11,162,6/11/22,6,0.035703612,7,0.026415094,1.351636748
corrected_2022_kk_012,Kusko,2022,12,2838.145622,2856.65349,0.7087909,0.001002916,2022-06-11,162,6/11/22,6,0.035703612,7,0.026415094,1.351636748
corrected_2022_kk_015,Kusko,2022,15,3068.837928,3104.090526,0.708349002,0.000947043,2022-06-11,162,6/11/22,6,0.035703612,7,0.026415094,1.351636748
corrected_2022_kk_017,Kusko,2022,17,3578.167809,3590.62769,0.7089467,0.000599438,2022-06-11,162,6/11/22,6,0.035703612,7,0.026415094,1.351636748
corrected_2022_kk_019,Kusko,2022,19,3773.699714,3791.70776,0.710003706,0.000820834,2022-06-11,162,6/11/22,6,0.035703612,7,0.026415094,1.351636748
corrected_2022_kk_020,Kusko,2022,20,4022.929605,4042.282395,0.708756299,0.000692952,2022-06-12,163,6/12/22,6,0.02488494,7,0.026415094,0.942072711
corrected_2022_kk_021,Kusko,2022,21,8548.739834,8575.43139,0.706912257,0.000675167,2022-06-12,163,6/12/22,6,0.02488494,7,0.026415094,0.942072711
corrected_2022_kk_022,Kusko,2022,22,4228.028554,4251.65411,0.709635228,0.00102302,2022-06-12,163,6/12/22,6,0.02488494,7,0.026415094,0.942072711
corrected_2022_kk_023,Kusko,2022,23,4425.621878,4452.984805,0.705977614,0.000590141,2022-06-12,163,6/12/22,6,0.02488494,7,0.026415094,0.942072711
corrected_2022_kk_024,Kusko,2022,24,5104.265512,5138.170808,0.709911347,0.000981431,2022-06-12,163,6/12/22,6,0.02488494,7,0.026415094,0.942072711
corrected_2022_kk_025,Kusko,2022,25,5342.867361,5358.394488,0.704502638,0.001010061,2022-06-12,163,6/12/22,6,0.02488494,7,0.026415094,0.942072711
corrected_2022_kk_026,Kusko,2022,26,5604.346692,5621.253793,0.706312374,0.0006717,2022-06-12,163,6/12/22,6,0.02488494,7,0.026415094,0.942072711
corrected_2022_kk_027,Kusko,2022,27,8768.598929,8785.845466,0.709717137,0.001532008,2022-06-13,164,6/13/22,6,0.017333785,2,0.00754717,2.296726505
corrected_2022_kk_028,Kusko,2022,28,5883.939017,5902.581861,0.705897702,0.000676294,2022-06-13,164,6/13/22,6,0.017333785,2,0.00754717,2.296726505
corrected_2022_kk_029,Kusko,2022,29,6116.565443,6133.492137,0.708396087,0.001106984,2022-06-14,165,6/14/22,6,0.011117531,4,0.01509434,0.736536431
corrected_2022_kk_030,Kusko,2022,30,6303.890577,6319.885298,0.705044103,0.000647591,2022-06-14,165,6/14/22,6,0.011117531,4,0.01509434,0.736536431
corrected_2022_kk_031,Kusko,2022,31,6510.307652,6526.617929,0.705471939,0.000866077,2022-06-14,165,6/14/22,6,0.011117531,4,0.01509434,0.736536431
corrected_2022_kk_032,Kusko,2022,32,6711.539842,6725.924945,0.706396242,0.000812999,2022-06-14,165,6/14/22,6,0.011117531,4,0.01509434,0.736536431
corrected_2022_kk_033,Kusko,2022,33,7400.99608,7424.096085,0.709609165,0.001606262,2022-06-15,166,6/15/22,6,0.023410572,7,0.026415094,0.886257354
corrected_2022_kk_034,Kusko,2022,34,7656.088965,7683.44384,0.709517188,0.001086513,2022-06-15,166,6/15/22,6,0.023410572,7,0.026415094,0.886257354
corrected_2022_kk_036,Kusko,2022,36,7869.008477,7882.498525,0.707371304,0.000688376,2022-06-15,166,6/15/22,6,0.023410572,7,0.026415094,0.886257354
corrected_2022_kk_038,Kusko,2022,38,8137.172528,8150.187607,0.707901299,0.000714097,2022-06-15,166,6/15/22,6,0.023410572,7,0.026415094,0.886257354
corrected_2022_kk_039,Kusko,2022,39,8338.59167,8357.682001,0.705382235,0.000703687,2022-06-15,166,6/15/22,6,0.023410572,7,0.026415094,0.886257354
corrected_2022_kk_040,Kusko,2022,40,8566.041796,8590.221224,0.707917534,0.000870774,2022-06-15,166,6/15/22,6,0.023410572,7,0.026415094,0.886257354
corrected_2022_kk_041,Kusko,2022,41,8803.555149,8827.599955,0.705908404,0.000766995,2022-06-15,166,6/15/22,6,0.023410572,7,0.026415094,0.886257354
corrected_2022_kk_042,Kusko,2022,42,9036.388403,9054.976374,0.709866839,0.001140975,2022-06-16,167,6/16/22,6,0.01085852,3,0.011320755,0.959169307
corrected_2022_kk_043,Kusko,2022,43,9649.203167,9670.741007,0.709118802,0.001134108,2022-06-16,167,6/16/22,6,0.01085852,3,0.011320755,0.959169307
corrected_2022_kk_044,Kusko,2022,44,9873.63418,9903.210515,0.710151846,0.001059145,2022-06-16,167,6/16/22,6,0.01085852,3,0.011320755,0.959169307
corrected_2022_kk_046,Kusko,2022,46,10061.33694,10086.00376,0.710013274,0.000992759,2022-06-17,168,6/17/22,6,0.010738977,3,0.011320755,0.948609644
corrected_2022_kk_047,Kusko,2022,47,10282.77972,10305.31413,0.709146201,0.000806119,2022-06-17,168,6/17/22,6,0.010738977,3,0.011320755,0.948609644
corrected_2022_kk_049,Kusko,2022,49,10472.39107,10491.26427,0.709746116,0.000963052,2022-06-17,168,6/17/22,6,0.010738977,3,0.011320755,0.948609644
corrected_2022_kk_055,Kusko,2022,55,1509.5752,1535.984575,0.706738982,0.000771603,2022-06-18,169,6/18/22,6,0.013349007,5,0.018867925,0.70749736
corrected_2022_kk_056,Kusko,2022,56,1747.610366,1768.532729,0.709550306,0.000858107,2022-06-18,169,6/18/22,6,0.013349007,5,0.018867925,0.70749736
corrected_2022_kk_057,Kusko,2022,57,9219.311255,9248.026373,0.708449175,0.000740719,2022-06-18,169,6/18/22,6,0.013349007,5,0.018867925,0.70749736
corrected_2022_kk_058,Kusko,2022,58,1974.434425,2000.55177,0.706596652,0.000752501,2022-06-18,169,6/18/22,6,0.013349007,5,0.018867925,0.70749736
corrected_2022_kk_059,Kusko,2022,59,2230.140575,2261.402524,0.705965667,0.000911733,2022-06-18,169,6/18/22,6,0.013349007,5,0.018867925,0.70749736
corrected_2022_kk_050,Kusko,2022,50,433.8236189,450.1362896,0.707374508,0.00095038,2022-06-19,170,6/19/22,6,0.046641828,18,0.067924528,0.68667136
corrected_2022_kk_051,Kusko,2022,51,198.7377136,212.7610354,0.709196569,0.001286793,2022-06-19,170,6/19/22,6,0.046641828,18,0.067924528,0.68667136
corrected_2022_kk_052,Kusko,2022,52,1055.107355,1089.478795,0.708650049,0.000947903,2022-06-19,170,6/19/22,6,0.046641828,18,0.067924528,0.68667136
corrected_2022_kk_053,Kusko,2022,53,1298.628397,1310.691221,0.708335685,0.001134184,2022-06-19,170,6/19/22,6,0.046641828,18,0.067924528,0.68667136
corrected_2022_kk_054,Kusko,2022,54,8983.396153,9011.877914,0.707270803,0.000768532,2022-06-19,170,6/19/22,6,0.046641828,18,0.067924528,0.68667136
corrected_2022_kk_060,Kusko,2022,60,2448.934532,2489.544737,0.707987752,0.001073962,2022-06-19,170,6/19/22,6,0.046641828,18,0.067924528,0.68667136
corrected_2022_kk_061,Kusko,2022,61,2714.443255,2738.055071,0.708170903,0.000883686,2022-06-19,170,6/19/22,6,0.046641828,18,0.067924528,0.68667136
corrected_2022_kk_062,Kusko,2022,62,668.5889323,694.0206998,0.709200022,0.00094056,2022-06-19,170,6/19/22,6,0.046641828,18,0.067924528,0.68667136
corrected_2022_kk_063,Kusko,2022,63,903.8887463,943.5984164,0.708324794,0.001111667,2022-06-19,170,6/19/22,6,0.046641828,18,0.067924528,0.68667136
corrected_2022_kk_064,Kusko,2022,64,1151.588853,1187.544554,0.709074187,0.000933497,2022-06-19,170,6/19/22,6,0.046641828,18,0.067924528,0.68667136
corrected_2022_kk_065,Kusko,2022,65,1402.717876,1430.966633,0.707971146,0.001509081,2022-06-19,170,6/19/22,6,0.046641828,18,0.067924528,0.68667136
corrected_2022_kk_066,Kusko,2022,66,1665.527746,1681.426007,0.708017964,0.000554518,2022-06-19,170,6/19/22,6,0.046641828,18,0.067924528,0.68667136
corrected_2022_kk_067,Kusko,2022,67,1830.617712,1871.909905,0.708815579,0.001715123,2022-06-19,170,6/19/22,6,0.046641828,18,0.067924528,0.68667136
corrected_2022_kk_068,Kusko,2022,68,2109.396053,2150.900276,0.707567284,0.001013442,2022-06-19,170,6/19/22,6,0.046641828,18,0.067924528,0.68667136
corrected_2022_kk_069,Kusko,2022,69,2314.803684,2351.12776,0.706322532,0.001407585,2022-06-19,170,6/19/22,6,0.046641828,18,0.067924528,0.68667136
corrected_2022_kk_070,Kusko,2022,70,3015.447637,3041.283188,0.706050058,0.001190534,2022-06-19,170,6/19/22,6,0.046641828,18,0.067924528,0.68667136
corrected_2022_kk_071,Kusko,2022,71,3233.549859,3251.96035,0.709471522,0.001432576,2022-06-19,170,6/19/22,6,0.046641828,18,0.067924528,0.68667136
corrected_2022_kk_072,Kusko,2022,72,3452.607449,3490.677915,0.708649422,0.001903917,2022-06-19,170,6/19/22,6,0.046641828,18,0.067924528,0.68667136
corrected_2022_kk_073,Kusko,2022,73,3674.399265,3695.496113,0.710697661,0.000880537,2022-06-20,171,6/20/22,6,0.061823833,22,0.083018868,0.74469617
corrected_2022_kk_074,Kusko,2022,74,3960.090237,3987.938902,0.707144974,0.000933382,2022-06-20,171,6/20/22,6,0.061823833,22,0.083018868,0.74469617
corrected_2022_kk_075,Kusko,2022,75,4207.37551,4238.061239,0.707100856,0.001114416,2022-06-20,171,6/20/22,6,0.061823833,22,0.083018868,0.74469617
corrected_2022_kk_076,Kusko,2022,76,4455.153806,4490.024343,0.708996163,0.001118064,2022-06-20,171,6/20/22,6,0.061823833,22,0.083018868,0.74469617
