stream_order,year,n_groups,total_individuals,mean_individuals_per_group,sd_individuals_per_group,max_individuals_group
3,2015,5182,0,0,0,0
3,2016,5182,0,0,0,0
3,2017,5182,0,0,0,0
3,2018,5182,0,0,0,0
3,2019,5182,0,0,0,0
3,2021,5182,0,0,0,0
4,2015,1166,4733.961273322538,4.060001092043347,30.258376939868587,838.3526080717136
4,2016,1166,4806.540666516293,4.12224756991104,26.12083517426549,590.2591554721853
4,2017,1166,8585.209619709538,7.362958507469593,74.53853842497091,2376.567802181575
4,2018,1166,5150.030236567427,4.4168355373648645,36.92137988222904,1038.5376578343319
4,2019,1166,7340.445465039233,6.295407774476181,47.30654648237156,1284.9050138281666
4,2021,1166,3798.3305799704494,3.2575733962010647,36.13272858041024,1130.9516776866212
5,2015,280,19056.294361617558,68.05819414863409,195.55404127081655,1553.475478358545
5,2016,280,23204.428831521433,82.87296011257646,259.86110629820485,2393.207202464996
5,2017,280,35265.128966939374,125.9468891676407,372.87878064413036,2656.4494808884406
5,2018,280,21364.109683024373,76.30039172508701,237.75953004669694,2119.4379855594066
5,2019,280,29969.35001461061,107.03339290932358,313.79467035115107,2535.7720715346463
5,2021,280,15894.301333313926,56.76536190469254,200.87090090040172,1755.0906418213222
6,2015,80,50511.7325444021,631.3966568050265,848.0811637635658,4136.698116458094
6,2016,80,58511.23089733939,731.3903862167423,1013.4908355774688,5026.0969943814835
6,2017,80,91736.03077154348,1146.700384644294,1598.1899517173313,8846.372449675413
6,2018,80,57093.881402208084,713.6735175276011,1004.6669796305588,4462.981622533107
6,2019,80,74315.0101712442,928.9376271405522,1296.9067020801974,7089.798641852086
6,2021,80,42921.19084626796,536.5148855783494,973.9232297173172,4954.838182640044
7,2015,14,67070.40867075603,4790.743476482574,4287.3514444141665,16018.606480232624
7,2016,14,76426.30572452197,5459.021837465854,4662.133520301966,17367.40120417571
7,2017,14,128368.93844851122,9169.209889179372,10175.49835344401,35019.55484995691
7,2018,14,77061.89504152327,5504.42107439452,5735.553428749929,20200.629856357653
7,2019,14,101911.48411240449,7279.391722314607,7400.844276327057,26176.991853856132
7,2021,14,64597.024358533716,4614.073168466694,6069.4927934978405,19561.2583939097
8,2015,4,59924.407314654665,14981.101828663666,3445.969562482512,19393.104098276
8,2016,4,72309.55855900866,18077.389639752164,5313.496800711684,25716.976955519815
8,2017,4,99391.95750398714,24847.98937599678,10936.05263875006,35029.30478518874
8,2018,4,62741.097448202716,15685.274362050677,4268.859098665372,20206.822663290215
8,2019,4,85950.40614322037,21487.60153580509,4625.930334049514,26192.679601616608
8,2021,4,57795.65246223778,14448.913115559442,5575.984894342788,19605.5058692875
