focal_reach,stream_order,n_years_with_individuals,mean_individuals,sd_individuals,cv
1814,7,6,699.8013637790991,457.7288778655563,0.6540840037717389
1985,7,6,7774.579808494282,4333.815481577044,0.5574340463830653
2026,6,6,1201.822450620334,627.4449688874719,0.5220779230439648
2101,7,6,3527.763437616446,1800.8594218281055,0.5104819111807753
2140,4,6,76.96708041552559,42.387881930458576,0.5507274240053961
2145,6,6,1280.1229417734494,667.4974503877398,0.5214323004499912
2191,6,6,1875.2141702735544,967.3451221448039,0.5158584749835207
2241,4,6,83.58809226751956,48.40463128317651,0.5790852497059017
2495,4,6,73.97641799949521,39.31401421125866,0.5314398192614155
2980,4,6,68.08061068683176,39.82994650287486,0.5850409698304722
3008,6,6,67.76543967253164,39.707226082251985,0.5859509843680258
3202,6,6,222.1273015458762,176.52070443130316,0.7946826130908817
3881,6,6,2878.4856446305866,1474.7990529063586,0.5123524085163984
4128,5,6,71.01446976093534,39.6176165152422,0.5578809029851495
4374,4,6,73.68093009635136,40.61629598580016,0.551245701332582
4501,4,5,26.388835588941895,26.552030713332126,1.0061842487835506
4592,4,6,83.75492635349832,43.02154996969298,0.5136599343197444
4630,4,6,71.36417732401388,39.65866833185644,0.555722350049587
4733,4,5,27.715851271163427,21.51175538646674,0.7761535150409884
4774,5,6,94.83820089102154,48.63041901525343,0.5127724752089571
4904,4,5,32.163925713229226,31.739439287671477,0.986802406231676
4933,6,6,1875.2244963932858,1004.9068933511257,0.5358861807127169
5025,5,4,65.93570327082587,17.386040821317533,0.2636817377969823
5079,5,3,61.17357724551055,47.27989298710407,0.7728809580213634
5202,5,6,1728.2938707641674,904.039368577436,0.5230819734248746
5356,5,3,61.17357724551055,47.27989298710407,0.7728809580213634
5361,6,5,65.3714749453851,56.662745639074075,0.8667808961999591
5696,5,6,525.6081633019328,284.1697712304635,0.5406494629864105
5745,5,6,70.93820882307733,28.4341730950962,0.4008301529858491
6081,4,6,233.73525464414843,95.21918639937395,0.40738050639532725
6135,5,3,36.596194953504956,45.503092078266405,1.2433831477856525
6142,5,6,26.50735201151469,14.67854180528235,0.553753607637083
6186,4,6,68.28491783482205,39.12099172394916,0.572908234561854
6221,5,6,36.769643208299605,20.438427933796774,0.5558505916963435
6265,5,6,391.62066186790736,162.2589731648527,0.41432689580505905
6296,5,5,26.925997153436004,26.912832705504677,0.9995110878213234
6356,6,6,701.4436324292559,250.2088743900134,0.35670560373252547
6431,5,6,553.1492802084322,306.05079799624934,0.5532878898096484
6462,6,6,701.4436324292559,250.2088743900134,0.35670560373252547
6535,5,6,122.41782797324699,50.1180444241779,0.40940151654324913
6665,6,6,543.9062607786854,306.04696830660674,0.5626832974278574
7044,6,6,1049.3965262174954,577.9502744094204,0.5507453664751658
7133,4,6,61.65132953430147,30.912151621449095,0.5014028384294655
7217,6,5,234.15729516515316,115.73370517876039,0.49425624385152045
7268,5,6,127.45976664889197,38.96351464931132,0.3056926563865637
7270,5,2,8.860462864363184,0.6275013673167733,0.07082038228957387
7296,5,5,69.24583728955193,49.33112023074142,0.7124055706693676
7397,6,6,108.44258944237427,64.43907174360845,0.5942229162450144
7494,5,6,30.139569926235502,33.10910743697852,1.0985262071758406
7502,5,6,61.26200315386927,30.91257879273487,0.5045962783014621
7565,6,5,57.84351946330874,35.27462416119197,0.6098284559529153
7732,6,6,858.6789673607711,353.20564710915875,0.41133608779864356
7734,4,6,52.65556592054469,7.961526284353214,0.15120008958534153
7748,4,6,29.97931589741436,15.112974230387199,0.5041133787742853
7807,5,5,40.554080563133844,21.82021489060485,0.5380522647193429
7874,6,5,11.017077797715197,6.946937853837822,0.6305608421208144
7895,5,5,60.04985419978956,22.962368922462396,0.3823884208954976
