"Location","Q1","Q2","Q3","Q4","Total"
1,0,0,1.00971348744374e-05,1.27768155478339e-05,4.92122836429722e-06
2,0,0,0,0,0
3,0,0,0,0,0
4,0,0,0,0,0
5,3.71279165198546e-05,4.59194575705762e-05,5.25184791001134e-05,6.49738092931786e-05,5.05349794467323e-05
6,0,0,0,1.27028375800764e-05,9.76317477191791e-06
7,0,0,0,0,0
8,1.20569527753305e-05,7.3959485027274e-06,0,2.54817578843533e-05,1.47171634064599e-05
9,0,0,0,0,0
10,2.44155257087435e-05,4.60863510596284e-05,6.27711283331749e-05,5.23997373005739e-05,5.01190254413343e-05
11,5.00907175157322e-05,2.30611604789851e-05,2.07151565860408e-05,1.32785609807835e-05,2.0109887053873e-05
12,1.19628128333774e-05,7.36115270827995e-06,1.00470609691778e-05,1.25320333250629e-05,1.45243536619923e-05
13,0,0,0,0,0
14,0,0,0,0,0
15,2.44262641178874e-05,4.60490647596852e-05,6.27398176155587e-05,5.23455577055513e-05,5.00878085395337e-05
16,2.45465780339336e-05,4.62049894901732e-05,6.29795184962802e-05,5.25041457149025e-05,5.02659224877221e-05
17,0,0,0,0,0
18,1.22035577874791e-05,2.99555651324299e-05,3.04360325297766e-05,0,9.85246727735018e-06
19,4.84596966465795e-05,1.48957668661033e-05,0,1.28444194754806e-05,2.93864252851494e-05
20,2.40958339565302e-05,2.9493686566364e-05,3.01982150547055e-05,3.79662379312838e-05,3.89698234231766e-05
21,2.45336818126579e-05,4.61425544530414e-05,6.29067592880942e-05,5.24261323601026e-05,5.02047639506446e-05
22,4.94148990972517e-05,1.50608690876648e-05,1.01604647647693e-05,1.29238485829447e-05,2.00059516798162e-05
23,3.79779847853562e-05,5.55555861117421e-05,6.53696897492737e-05,6.77507850986723e-05,6.23584446624575e-05
24,2.46604245841056e-05,3.05444960552858e-05,3.08953815032711e-05,1.28903647423266e-05,1.0015448547536e-05
25,5.19221894401478e-05,1.63834385042257e-05,7.54819929120999e-05,4.02772377495705e-05,3.09934571937666e-05
26,6.40569605492693e-05,1.64220960925694e-05,7.56775248360165e-05,4.04245776221012e-05,3.59095666135072e-05
27,5.10331205743333e-05,2.34729680523552e-05,7.4170513310321e-05,3.93636671673933e-05,2.57223475928199e-05
28,5.04750836293682e-05,1.54359841135666e-05,6.30516049298757e-05,5.24135639111218e-05,2.53967579152734e-05
29,5.14807728203841e-05,2.36101600433678e-05,7.48265949127054e-05,3.97927372297871e-05,3.07668739348661e-05
30,0,0,0,0,0
31,3.68770285777465e-05,4.68102061456283e-05,6.37946365859497e-05,5.31915857475669e-05,5.57701455878628e-05
32,3.83273581129896e-05,5.40812606501827e-05,6.31801215112257e-05,6.60832486842313e-05,5.14661384905873e-05
33,0,0,0,0,0
34,5.17562152846622e-05,1.59279819635787e-05,6.48082716485612e-05,6.62331535100595e-05,2.60293451883083e-05
35,2.46947819182826e-05,4.62642060578768e-05,6.31380826385338e-05,5.25221314781533e-05,5.03630454191442e-05
36,3.62527258547047e-05,1.48309876721696e-05,0,2.57077380591177e-05,2.45890483229616e-05
37,0,7.3470940305125e-06,2.03790626185111e-05,1.27697414342563e-05,9.76250010688827e-06
38,4.94152350245809e-05,1.50353549622654e-05,1.01943246780293e-05,1.2944475691269e-05,1.99864729720765e-05
39,3.77124576429439e-05,1.55612053450466e-05,4.23215121510445e-05,1.34419490530992e-05,2.02428334539662e-05
40,0,0,0,0,0
41,0,0,0,0,0
42,2.44372956098408e-05,1.50459093726593e-05,3.08161592566654e-05,1.30016702877177e-05,9.88872688142623e-06
43,2.48643029262482e-05,1.52676146377025e-05,3.15635680237277e-05,2.54412483927639e-05,2.00793975497385e-05
44,3.63863064533171e-05,1.48841955921819e-05,0,2.5730780116974e-05,2.46473160238759e-05
45,0,0,0,0,0
46,4.83922717854017e-05,1.49041871780288e-05,0,2.57569937083388e-05,3.43343110342579e-05
47,0,0,0,0,0
48,0,0,0,0,0
49,4.94369187515468e-05,6.16989766357766e-05,3.09128014479297e-05,2.63942500483389e-05,3.53419050500513e-05
50,5.04798103551993e-05,5.44422946418003e-05,3.15258579424558e-05,2.65199833379873e-05,4.05379482226045e-05
51,6.27403052433191e-05,6.86681942176554e-05,5.15706586249865e-05,6.47364449621109e-05,6.51596332544442e-05
52,0,0,0,0,0
53,4.9637142093816e-05,5.39581813360032e-05,1.0578281456615e-05,2.60570359274543e-05,4.01922120625772e-05
54,0,0,0,0,0
55,4.86472703895332e-05,1.49751597854392e-05,0,2.5763807412572e-05,3.44629231212316e-05
56,0,0,0,0,0
57,2.43031578413667e-05,1.48218458360587e-05,0,2.59101767431869e-05,2.46684829152647e-05
58,0,0,0,0,0
59,2.4909475704572e-05,4.61089357170171e-05,6.3119674749131e-05,5.22264588425371e-05,5.0281960684336e-05
60,2.46307690661691e-05,3.79894275950701e-05,6.19398019379659e-05,2.62615784402474e-05,3.98654225968497e-05
61,4.95131847482963e-05,7.64845124585242e-06,4.16606038585602e-05,6.42043447421777e-05,2.49366965804434e-05
62,0,0,0,0,0
63,2.43450015284694e-05,1.48483939871898e-05,0,2.59302436155694e-05,2.47012696711496e-05
64,2.47157833494548e-05,4.62389731420859e-05,6.31259412455203e-05,5.24798064875089e-05,5.03458716618259e-05
65,1.25752238595146e-05,3.78364669166563e-05,5.17203719483558e-05,2.61485794961215e-05,3.0053933045768e-05
66,3.72132447815958e-05,1.52222860175468e-05,6.16933447009977e-05,3.87402543017298e-05,1.98954912403147e-05
67,3.63364004010633e-05,1.48689367587569e-05,0,2.59361593507203e-05,2.47224742199722e-05
68,1.20587737375648e-05,7.40178781256128e-06,1.0205418501061e-05,2.5933787750215e-05,1.49245490858773e-05
69,1.20187170015867e-05,7.37793099147409e-06,1.02466067376758e-05,2.59212760238412e-05,1.49085518216068e-05
70,3.77344819200987e-05,5.45538691238599e-05,5.39511676058169e-05,6.65755798196699e-05,5.6541632704765e-05
71,0,0,0,0,0
72,6.28590762444099e-05,9.06043702742715e-05,8.21538905330884e-05,6.59273273340213e-05,6.59024517486514e-05
73,5.16599882060565e-05,3.86747064910676e-05,2.13940451375485e-05,1.37106701040498e-05,2.55937371768822e-05
74,6.29349321563278e-05,8.33240681615178e-05,6.19723336289299e-05,6.55236698891657e-05,6.56896274500978e-05
75,5.25438748210245e-05,3.14181153673377e-05,2.11030749411807e-05,1.38555888736812e-05,2.11658826185982e-05
76,5.05195830243556e-05,6.14436478601923e-05,6.28413345405339e-05,6.62796223700174e-05,5.6374238018337e-05
77,0,0,0,0,0
78,3.87751031037606e-05,6.25307516929533e-05,6.47622982879336e-05,8.01161831342933e-05,5.7405452028284e-05
79,5.07538735941714e-05,3.04164715892008e-05,1.06089786397481e-05,1.33829440699726e-05,2.04446125464166e-05
80,5.01033903600832e-05,4.49687330237225e-05,2.03033783733978e-05,2.60159984477404e-05,3.01774344589673e-05
81,4.95679322650325e-05,1.55496338009025e-05,6.23612834953947e-05,3.89262783610936e-05,2.48782516723892e-05
82,3.81712383405617e-05,1.57874265532721e-05,5.29105430581277e-05,2.62295487791472e-05,2.52266797220933e-05
83,4.94381028049557e-05,6.17136365870408e-05,3.09416574236425e-05,2.64062902753046e-05,3.5323827415653e-05
84,2.41687366920396e-05,7.53265492469551e-06,2.05401452499451e-05,1.27511605888755e-05,9.79932382051922e-06
85,2.48198201648324e-05,1.52108780647282e-05,4.1196074178182e-05,1.31552780448342e-05,1.00276566206585e-05
86,2.51784507877769e-05,4.71900474574133e-05,6.41373950045537e-05,5.37286453654729e-05,5.62254408065337e-05
87,2.48751223123176e-05,4.65333358451559e-05,6.35339914883254e-05,5.28068841806675e-05,5.06624636819973e-05
88,2.40204369839733e-05,0,3.01339344201207e-05,2.52316117782826e-05,1.45601000334999e-05
89,4.96217838522812e-05,3.06379652317542e-05,2.09447672783679e-05,1.32127648104196e-05,2.47348749612772e-05
90,3.72659202039395e-05,4.59826667075173e-05,5.25185355906552e-05,6.50281910815988e-05,5.06086646200191e-05
91,2.51821159124794e-05,4.65669309471948e-05,6.37710114891216e-05,5.27249447157255e-05,5.07815283111339e-05
92,3.7122971720329e-05,1.53762547341647e-05,6.171361805955e-05,3.8534403170315e-05,1.50185740078507e-05
93,5.11559921380253e-05,3.06258346666647e-05,1.06849428268473e-05,1.34851877195008e-05,2.06103920556854e-05
94,3.65398676149164e-05,7.52903523149956e-06,5.05355595943714e-05,3.81201199763744e-05,1.95632133445973e-05
95,4.93956010501227e-05,1.54960191313146e-05,6.21188835638439e-05,3.87630419850038e-05,1.99736072391515e-05
96,6.35155918907204e-05,1.61468199045523e-05,7.47566649633425e-05,4.03268151577119e-05,3.06752186073896e-05
97,3.78072871546245e-05,1.56555137279417e-05,6.23925320429844e-05,2.61501945541372e-05,2.4976944715011e-05
98,2.51847842944539e-05,4.67698247848244e-05,5.34670042786754e-05,5.33290493910152e-05,5.59238849219836e-05
99,2.51142706764158e-05,1.56341241604337e-05,5.21666160219743e-05,2.59208116433241e-05,2.06018819904486e-05
100,3.72225236297252e-05,4.73309243637539e-05,6.43370903646453e-05,5.38823863683967e-05,5.63875508481662e-05
101,5.07720761308132e-05,7.80453220770032e-06,4.28423632907824e-05,6.61921273289059e-05,3.04409303260547e-05
102,6.20806208288308e-05,1.57078221454265e-05,6.31609307512398e-05,3.94923130401498e-05,3.00066520091423e-05
103,5.00729616077782e-05,1.52119396307203e-05,6.23850680941091e-05,5.20792175954659e-05,2.52027623807214e-05
104,6.31158082349748e-05,5.35493633369462e-05,2.06270390214564e-05,2.64410347474664e-05,3.57475888904192e-05
105,0,0,0,0,0
106,4.93111489314783e-05,7.62802194525706e-06,4.14593060514949e-05,5.14067148329998e-05,2.48315448346289e-05
107,1.31147531274305e-05,3.80422251732053e-05,6.27385044152487e-05,2.60487453184425e-05,2.56391525131191e-05
108,6.44635161088097e-05,1.64975112936864e-05,7.60832754495815e-05,4.07611252351493e-05,3.60955655049042e-05
109,6.29031312936062e-05,6.32294217799082e-05,3.15361481909236e-05,2.70129140253951e-05,4.13056514930131e-05
110,2.5313625202816e-05,4.65160522186272e-05,8.40155944998947e-05,5.2231608148791e-05,4.57512426194542e-05
111,0,0,0,0,0
112,2.54827005497545e-05,2.31849652850595e-05,5.27429726915287e-05,2.62454842248799e-05,2.08573768712653e-05
113,6.44000058097246e-05,2.38457634266929e-05,7.60842855669828e-05,4.06493505562712e-05,3.60946215525689e-05
114,6.45234477249847e-05,2.39240759596797e-05,7.62549388407489e-05,4.07079536270351e-05,3.61717671859733e-05
115,6.54244656776227e-05,6.4073489093129e-05,4.16114726263679e-05,4.0285324102457e-05,4.24826007900848e-05
116,4.92676667387855e-05,7.63648354571792e-06,5.1369379551065e-05,3.87980555986703e-05,2.48044280597524e-05
117,5.01965000569644e-05,1.52362168318933e-05,6.25163285199949e-05,5.22147927466566e-05,2.5265362117214e-05
118,0,0,0,0,0
119,0,0,0,0,0
120,0,0,0,0,0
121,6.47969374335509e-05,9.31314841365432e-05,7.36684768795146e-05,7.99755941931313e-05,7.23526661968518e-05
122,2.50341464194068e-05,4.60300393332148e-05,8.30805229003711e-05,3.92994907984851e-05,4.05065101643182e-05
123,5.09282849340361e-05,1.6072513429751e-05,7.40264308844153e-05,3.93315660953743e-05,2.56506730025534e-05
124,6.47636342143431e-05,2.407220481717e-05,7.65842039213241e-05,4.08246161655232e-05,3.6320565991364e-05
125,3.8469159719184e-05,2.33598491771412e-05,5.33266835691759e-05,1.37049142533385e-05,2.06964236118874e-05
126,0,0,0,0,0
127,0,0,0,0,0
128,5.05910957846691e-05,1.59531392054694e-05,7.35500850906726e-05,3.91366083820586e-05,2.54586077077264e-05
129,5.0775339996559e-05,2.34011379868138e-05,7.37911929363763e-05,3.91063146062479e-05,2.56211311414707e-05
130,5.09046741933733e-05,5.66794234904567e-05,7.66826329541124e-05,6.91711015604704e-05,6.35595119708938e-05
131,3.8285385739172e-05,2.34697268139678e-05,4.33109181368516e-05,2.65114873987316e-05,2.57736253766423e-05
132,3.80788468163383e-05,4.84789414865675e-05,6.6002009678784e-05,6.77253868909192e-05,6.25466673961998e-05
133,2.5699045288756e-05,1.57955540412721e-05,3.26626214876543e-05,2.62627809419098e-05,2.07725321199e-05
134,2.57446592202342e-05,2.31179895093538e-05,3.2679354783546e-05,2.62422221116483e-05,2.07218090106168e-05
135,0,0,0,0,0
136,3.98160610729865e-05,4.74297178383587e-05,7.68740708663838e-05,4.08945972343645e-05,3.23569255850276e-05
137,3.85679896685157e-05,2.33902644319342e-05,5.34613820566475e-05,1.37504120155592e-05,2.0724739754316e-05
138,3.83206051619033e-05,2.35889495639142e-05,4.3470873281427e-05,2.67352478444679e-05,2.59710829942938e-05
139,2.56100705341867e-05,5.47315650382299e-05,7.49204959569462e-05,5.35799223566573e-05,5.16156589596228e-05
140,2.52787663831531e-05,4.69863089301477e-05,6.42666810936001e-05,5.32443992024091e-05,5.11948847062946e-05
141,3.8332059722545e-05,5.40530530652099e-05,6.31115947104525e-05,6.60705346205569e-05,5.14441658331975e-05
142,6.57385939385491e-05,7.40652354092454e-05,3.38779778726577e-05,5.40474457305531e-05,5.77746910886124e-05
143,3.78255105477857e-05,4.81267966208059e-05,6.55337913594942e-05,5.47075811081038e-05,5.72957601190396e-05
144,3.87157578077503e-05,5.45845625721011e-05,6.3736867717092e-05,6.67275162899271e-05,5.1960295047323e-05
145,4.91096762683405e-05,7.54954059938005e-06,4.14069536557104e-05,6.40274894380246e-05,1.99812313684409e-05
146,0,0,0,0,0
147,2.59860753443179e-05,5.49985594328804e-05,8.62727763694719e-05,5.31079285180385e-05,5.17037153738997e-05
148,0,0,0,0,0
149,0,0,0,0,0
150,3.80601053204413e-05,5.54798154317573e-05,6.51708231525823e-05,6.76765463738708e-05,5.74645096306636e-05
151,3.96320101975966e-05,6.38203407330261e-05,6.61238835780846e-05,8.18015337896772e-05,5.86335999227609e-05
152,3.90510921629586e-05,2.3856286338908e-05,5.41323377267828e-05,2.68594644775532e-05,2.61407970427858e-05
153,2.67843801507199e-05,4.64961384945383e-05,6.52227182184659e-05,4.00558979197214e-05,2.6796935473428e-05
154,3.84357203947986e-05,5.4270613794025e-05,6.34427704896121e-05,6.62922669911337e-05,5.1643862832275e-05
155,4.02907169357899e-05,4.80925657085312e-05,7.79506643881325e-05,4.14703125177139e-05,3.28158168349243e-05
156,5.04272257139068e-05,1.52354364794998e-05,6.26853549813328e-05,6.51178567139424e-05,2.53853699536447e-05
