"","normalized","rescaled","raw"
"1",0.469135802469136,4.34152739503786e-05,38
"2",0.62962962962963,5.8267867670245e-05,51
"3",0.45679012345679,4.22727667411581e-05,37
"4",0.395061728395062,3.65602306950557e-05,32
"5",0.91358024691358,8.45455334823163e-05,74
"6",0.45679012345679,4.22727667411581e-05,37
"7",0.395061728395062,3.65602306950557e-05,32
"8",0.444444444444444,4.11302595319376e-05,36
"9",0.925925925925926,8.56880406915368e-05,75
"10",0.91358024691358,8.45455334823163e-05,74
"11",0.91358024691358,8.45455334823163e-05,74
"12",0.91358024691358,8.45455334823163e-05,74
"13",0.37037037037037,3.42752162766147e-05,30
"14",0.358024691358025,3.31327090673942e-05,29
"15",0.91358024691358,8.45455334823163e-05,74
"16",0.925925925925926,8.56880406915368e-05,75
"17",0.358024691358025,3.31327090673942e-05,29
"18",0.91358024691358,8.45455334823163e-05,74
"19",0.444444444444444,4.11302595319376e-05,36
"20",0.91358024691358,8.45455334823163e-05,74
"21",0.925925925925926,8.56880406915368e-05,75
"22",0.925925925925926,8.56880406915368e-05,75
"23",0.925925925925926,8.56880406915368e-05,75
"24",0.91358024691358,8.45455334823163e-05,74
"25",0.765432098765432,7.08354469716704e-05,62
"26",0.765432098765432,7.08354469716704e-05,62
"27",0.753086419753086,6.96929397624499e-05,61
"28",0.728395061728395,6.74079253440089e-05,59
"29",0.753086419753086,6.96929397624499e-05,61
"30",0.567901234567901,5.25553316241425e-05,46
"31",0.888888888888889,8.22605190638753e-05,72
"32",0.91358024691358,8.45455334823163e-05,74
"33",0.592592592592593,5.48403460425835e-05,48
"34",0.728395061728395,6.74079253440089e-05,59
"35",0.876543209876543,8.11180118546548e-05,71
"36",0.444444444444444,4.11302595319376e-05,36
"37",0.469135802469136,4.34152739503786e-05,38
"38",0.925925925925926,8.56880406915368e-05,75
"39",0.765432098765432,7.08354469716704e-05,62
"40",0.703703703703704,6.51229109255679e-05,57
"41",0.444444444444444,4.11302595319376e-05,36
"42",0.753086419753086,6.96929397624499e-05,61
"43",0.814814814814815,7.54054758085523e-05,66
"44",0.444444444444444,4.11302595319376e-05,36
"45",0.641975308641975,5.94103748794655e-05,52
"46",0.444444444444444,4.11302595319376e-05,36
"47",0.358024691358025,3.31327090673942e-05,29
"48",0.493827160493827,4.57002883688196e-05,40
"49",0.925925925925926,8.56880406915368e-05,75
"50",0.925925925925926,8.56880406915368e-05,75
"51",0.901234567901235,8.34030262730958e-05,73
"52",0.679012345679012,6.2837896507127e-05,55
"53",0.938271604938272,8.68305479007573e-05,76
"54",0.382716049382716,3.54177234858352e-05,31
"55",0.444444444444444,4.11302595319376e-05,36
"56",0.62962962962963,5.8267867670245e-05,51
"57",0.45679012345679,4.22727667411581e-05,37
"58",0.395061728395062,3.65602306950557e-05,32
"59",0.802469135802469,7.42629685993319e-05,65
"60",0.851851851851852,7.88329974362138e-05,69
"61",0.703703703703704,6.51229109255679e-05,57
"62",0.358024691358025,3.31327090673942e-05,29
"63",0.45679012345679,4.22727667411581e-05,37
"64",0.876543209876543,8.11180118546548e-05,71
"65",0.851851851851852,7.88329974362138e-05,69
"66",0.716049382716049,6.62654181347884e-05,58
"67",0.45679012345679,4.22727667411581e-05,37
"68",0.469135802469136,4.34152739503786e-05,38
"69",0.481481481481482,4.45577811595991e-05,39
"70",0.925925925925926,8.56880406915368e-05,75
"71",0.444444444444444,4.11302595319376e-05,36
"72",0.91358024691358,8.45455334823163e-05,74
"73",0.925925925925926,8.56880406915368e-05,75
"74",0.901234567901235,8.34030262730958e-05,73
"75",0.938271604938272,8.68305479007573e-05,76
"76",0.91358024691358,8.45455334823163e-05,74
"77",0.679012345679012,6.2837896507127e-05,55
"78",0.91358024691358,8.45455334823163e-05,74
"79",0.938271604938272,8.68305479007573e-05,76
"80",0.925925925925926,8.56880406915368e-05,75
"81",0.740740740740741,6.85504325532294e-05,60
"82",0.753086419753086,6.96929397624499e-05,61
"83",0.925925925925926,8.56880406915368e-05,75
"84",0.753086419753086,6.96929397624499e-05,61
"85",0.740740740740741,6.85504325532294e-05,60
"86",0.91358024691358,8.45455334823163e-05,74
"87",0.839506172839506,7.76904902269933e-05,68
"88",0.679012345679012,6.2837896507127e-05,55
"89",0.91358024691358,8.45455334823163e-05,74
"90",0.91358024691358,8.45455334823163e-05,74
"91",0.802469135802469,7.42629685993319e-05,65
"92",0.740740740740741,6.85504325532294e-05,60
"93",0.938271604938272,8.68305479007573e-05,76
"94",0.703703703703704,6.51229109255679e-05,57
"95",0.740740740740741,6.85504325532294e-05,60
"96",0.753086419753086,6.96929397624499e-05,61
"97",0.740740740740741,6.85504325532294e-05,60
"98",0.91358024691358,8.45455334823163e-05,74
"99",0.839506172839506,7.76904902269933e-05,68
"100",0.91358024691358,8.45455334823163e-05,74
"101",0.691358024691358,6.39804037163475e-05,56
"102",0.740740740740741,6.85504325532294e-05,60
"103",0.728395061728395,6.74079253440089e-05,59
"104",0.938271604938272,8.68305479007573e-05,76
"105",0.679012345679012,6.2837896507127e-05,55
"106",0.703703703703704,6.51229109255679e-05,57
"107",0.839506172839506,7.76904902269933e-05,68
"108",0.753086419753086,6.96929397624499e-05,61
"109",0.925925925925926,8.56880406915368e-05,75
"110",0.839506172839506,7.76904902269933e-05,68
"111",0.641975308641975,5.94103748794655e-05,52
"112",0.827160493827161,7.65479830177728e-05,67
"113",0.765432098765432,7.08354469716704e-05,62
"114",0.765432098765432,7.08354469716704e-05,62
"115",0.950617283950617,8.79730551099777e-05,77
"116",0.703703703703704,6.51229109255679e-05,57
