"","basin_assign_rescale"
"1",3.81235157057672e-05
"2",4.26086352005633e-05
"3",3.58809559583691e-05
"4",3.36383962109711e-05
"5",6.72767924219421e-05
"6",3.58809559583691e-05
"7",3.36383962109711e-05
"8",3.36383962109711e-05
"9",5.60639936849518e-05
"10",7.62470314115344e-05
"11",2.91532767161749e-05
"12",8.74598301485247e-05
"13",3.1395836463573e-05
"14",3.1395836463573e-05
"15",7.62470314115344e-05
"16",7.62470314115344e-05
"17",2.91532767161749e-05
"18",3.1395836463573e-05
"19",3.36383962109711e-05
"20",6.05491131797479e-05
"21",7.62470314115344e-05
"22",4.93363144427575e-05
"23",6.95193521693402e-05
"24",2.91532767161749e-05
"25",8.07321509063305e-05
"26",8.07321509063305e-05
"27",8.07321509063305e-05
"28",7.17619119167382e-05
"29",8.07321509063305e-05
"30",3.58809559583691e-05
"31",7.62470314115344e-05
"32",5.83065534323498e-05
"33",3.81235157057672e-05
"34",7.40044716641363e-05
"35",7.84895911589324e-05
"36",3.36383962109711e-05
"37",3.58809559583691e-05
"38",4.70937546953595e-05
"39",8.07321509063305e-05
"40",6.5034232674544e-05
"41",3.36383962109711e-05
"42",8.07321509063305e-05
"43",8.07321509063305e-05
"44",3.36383962109711e-05
"45",4.70937546953595e-05
"46",3.36383962109711e-05
"47",2.69107169687768e-05
"48",2.46681572213788e-05
"49",5.83065534323498e-05
"50",5.38214339375537e-05
"51",5.60639936849518e-05
"52",5.15788741901556e-05
"53",5.38214339375537e-05
"54",3.36383962109711e-05
"55",3.36383962109711e-05
"56",4.26086352005633e-05
"57",3.36383962109711e-05
"58",3.36383962109711e-05
"59",8.52172704011267e-05
"60",8.52172704011267e-05
"61",6.05491131797479e-05
"62",2.91532767161749e-05
"63",3.36383962109711e-05
"64",8.07321509063305e-05
"65",8.52172704011267e-05
"66",7.40044716641363e-05
"67",3.36383962109711e-05
"68",3.81235157057672e-05
"69",3.81235157057672e-05
"70",6.95193521693402e-05
"71",3.81235157057672e-05
"72",5.60639936849518e-05
"73",2.91532767161749e-05
"74",5.60639936849518e-05
"75",3.58809559583691e-05
"76",5.60639936849518e-05
"77",5.15788741901556e-05
"78",6.05491131797479e-05
"79",3.58809559583691e-05
"80",4.93363144427575e-05
"81",8.07321509063305e-05
"82",8.07321509063305e-05
"83",5.83065534323498e-05
"84",8.07321509063305e-05
"85",8.07321509063305e-05
"86",7.40044716641363e-05
"87",8.07321509063305e-05
"88",5.15788741901556e-05
"89",2.24255974739807e-05
"90",6.72767924219421e-05
"91",8.52172704011267e-05
"92",8.07321509063305e-05
"93",3.58809559583691e-05
"94",7.40044716641363e-05
"95",8.07321509063305e-05
"96",8.07321509063305e-05
"97",8.07321509063305e-05
"98",6.95193521693402e-05
"99",8.07321509063305e-05
"100",7.62470314115344e-05
"101",5.83065534323498e-05
"102",8.07321509063305e-05
"103",6.5034232674544e-05
"104",4.93363144427575e-05
"105",5.15788741901556e-05
"106",6.05491131797479e-05
"107",8.29747106537286e-05
"108",8.07321509063305e-05
"109",5.60639936849518e-05
"110",8.52172704011267e-05
"111",4.48511949479614e-05
"112",8.07321509063305e-05
"113",8.07321509063305e-05
"114",8.07321509063305e-05
"115",5.15788741901556e-05
"116",6.5034232674544e-05
"117",6.5034232674544e-05
"118",4.26086352005633e-05
"119",0
"120",5.38214339375537e-05
"121",5.60639936849518e-05
"122",8.52172704011267e-05
"123",8.07321509063305e-05
"124",8.07321509063305e-05
"125",8.07321509063305e-05
"126",3.81235157057672e-05
"127",5.15788741901556e-05
"128",8.07321509063305e-05
"129",8.07321509063305e-05
"130",6.95193521693402e-05
"131",8.07321509063305e-05
"132",7.62470314115344e-05
"133",8.07321509063305e-05
"134",8.07321509063305e-05
"135",5.15788741901556e-05
"136",8.07321509063305e-05
"137",8.07321509063305e-05
"138",8.07321509063305e-05
"139",8.52172704011267e-05
"140",8.29747106537286e-05
"141",5.60639936849518e-05
"142",5.38214339375537e-05
"143",7.62470314115344e-05
"144",5.60639936849518e-05
"145",5.83065534323498e-05
"146",4.48511949479614e-06
"147",8.29747106537286e-05
"148",4.26086352005633e-05
"149",4.26086352005633e-05
"150",6.95193521693402e-05
"151",6.05491131797479e-05
"152",7.84895911589324e-05
"153",8.07321509063305e-05
"154",5.83065534323498e-05
"155",8.07321509063305e-05
"156",6.5034232674544e-05
"157",0
"158",5.83065534323498e-05
"159",3.81235157057672e-05
"160",7.40044716641363e-05
"161",1.79404779791846e-05
"162",5.83065534323498e-05
"163",4.26086352005633e-05
"164",5.60639936849518e-05
"165",7.84895911589324e-05
"166",4.26086352005633e-05
"167",5.15788741901556e-05
"168",5.38214339375537e-05
"169",8.07321509063305e-05
"170",7.40044716641363e-05
"171",7.40044716641363e-05
"172",4.26086352005633e-05
"173",5.83065534323498e-05
"174",3.81235157057672e-05
"175",6.95193521693402e-05
"176",8.07321509063305e-05
"177",8.07321509063305e-05
"178",6.2791672927146e-05
"179",8.52172704011267e-05
"180",8.07321509063305e-05
"181",6.5034232674544e-05
"182",6.95193521693402e-05
"183",8.07321509063305e-05
"184",4.48511949479614e-05
"185",7.62470314115344e-05
"186",7.40044716641363e-05
"187",7.40044716641363e-05
"188",3.81235157057672e-05
"189",5.83065534323498e-05
"190",6.05491131797479e-05
"191",7.62470314115344e-05
"192",8.52172704011267e-05
"193",6.05491131797479e-05
"194",8.07321509063305e-05
"195",8.07321509063305e-05
"196",6.05491131797479e-05
"197",6.95193521693402e-05
"198",6.95193521693402e-05
"199",4.26086352005633e-05
"200",3.81235157057672e-05
"201",6.95193521693402e-05
"202",5.15788741901556e-05
"203",5.15788741901556e-05
"204",5.15788741901556e-05
"205",5.15788741901556e-05
"206",5.15788741901556e-05
"207",6.95193521693402e-05
"208",7.40044716641363e-05
"209",3.81235157057672e-05
"210",7.40044716641363e-05
"211",8.52172704011267e-05
"212",5.60639936849518e-05
"213",7.62470314115344e-05
"214",6.95193521693402e-05
"215",7.17619119167382e-05
"216",7.62470314115344e-05
"217",5.60639936849518e-05
"218",2.24255974739807e-06
"219",8.52172704011267e-05
"220",6.72767924219421e-05
"221",4.93363144427575e-05
"222",7.40044716641363e-05
"223",7.62470314115344e-05
"224",6.95193521693402e-05
"225",7.84895911589324e-05
"226",4.26086352005633e-05
"227",7.84895911589324e-05
"228",8.07321509063305e-05
"229",7.84895911589324e-05
"230",8.07321509063305e-05
"231",5.83065534323498e-05
"232",5.15788741901556e-05
"233",4.26086352005633e-05
"234",7.40044716641363e-05
"235",6.95193521693402e-05
"236",7.84895911589324e-05
"237",8.29747106537286e-05
"238",6.95193521693402e-05
"239",8.07321509063305e-05
"240",8.07321509063305e-05
"241",8.07321509063305e-05
"242",5.15788741901556e-05
"243",8.29747106537286e-05
"244",8.07321509063305e-05
"245",8.07321509063305e-05
"246",4.26086352005633e-05
"247",8.29747106537286e-05
"248",8.07321509063305e-05
"249",3.81235157057672e-05
"250",7.62470314115344e-05
"251",5.60639936849518e-05
"252",8.07321509063305e-05
"253",8.07321509063305e-05
"254",7.84895911589324e-05
"255",5.15788741901556e-05
"256",6.5034232674544e-05
"257",8.52172704011267e-05
"258",8.07321509063305e-05
"259",4.93363144427575e-05
"260",6.72767924219421e-05
"261",8.07321509063305e-05
"262",4.93363144427575e-05
"263",6.95193521693402e-05
"264",5.15788741901556e-05
"265",6.72767924219421e-05
"266",7.40044716641363e-05
"267",8.07321509063305e-05
"268",8.29747106537286e-05
"269",3.81235157057672e-05
"270",7.40044716641363e-05
"271",4.26086352005633e-05
"272",4.26086352005633e-05
"273",6.72767924219421e-05
"274",7.40044716641363e-05
"275",4.26086352005633e-05
"276",7.62470314115344e-05
"277",8.07321509063305e-05
"278",8.07321509063305e-05
"279",6.95193521693402e-05
"280",6.5034232674544e-05
"281",4.26086352005633e-05
"282",2.24255974739807e-06
"283",7.62470314115344e-05
"284",5.15788741901556e-05
"285",6.2791672927146e-05
"286",6.95193521693402e-05
"287",7.62470314115344e-05
"288",7.62470314115344e-05
"289",7.62470314115344e-05
"290",8.07321509063305e-05
"291",3.81235157057672e-05
"292",8.07321509063305e-05
"293",7.40044716641363e-05
"294",6.5034232674544e-05
"295",4.48511949479614e-06
"296",8.07321509063305e-05
"297",6.05491131797479e-05
"298",7.84895911589324e-05
"299",6.95193521693402e-05
"300",7.62470314115344e-05
"301",5.15788741901556e-05
"302",7.40044716641363e-05
"303",3.81235157057672e-05
"304",8.07321509063305e-05
"305",6.72767924219421e-05
"306",7.40044716641363e-05
"307",7.62470314115344e-05
"308",6.5034232674544e-05
"309",7.84895911589324e-05
"310",6.05491131797479e-05
"311",5.83065534323498e-05
"312",5.83065534323498e-05
"313",7.62470314115344e-05
"314",7.84895911589324e-05
"315",7.62470314115344e-05
"316",5.15788741901556e-05
"317",7.84895911589324e-05
"318",6.05491131797479e-05
"319",8.07321509063305e-05
"320",7.40044716641363e-05
"321",6.95193521693402e-05
"322",5.15788741901556e-05
"323",5.15788741901556e-05
"324",7.17619119167382e-05
"325",4.26086352005633e-05
"326",5.15788741901556e-05
"327",8.07321509063305e-05
"328",6.95193521693402e-05
"329",4.26086352005633e-05
"330",7.84895911589324e-05
"331",6.5034232674544e-05
"332",6.5034232674544e-05
"333",8.29747106537286e-05
"334",6.5034232674544e-05
"335",7.40044716641363e-05
"336",6.95193521693402e-05
"337",8.07321509063305e-05
"338",7.62470314115344e-05
"339",8.07321509063305e-05
"340",8.29747106537286e-05
"341",6.95193521693402e-05
"342",6.5034232674544e-05
"343",7.40044716641363e-05
"344",6.95193521693402e-05
"345",8.07321509063305e-05
