"","basin_assign_rescale"
"1",4.35247593702589e-05
"2",1.86534683015395e-05
"3",3.73069366030791e-05
"4",4.35247593702589e-05
"5",8.0831695973338e-05
"6",3.73069366030791e-05
"7",4.35247593702589e-05
"8",3.73069366030791e-05
"9",6.52871390553884e-05
"10",7.46138732061581e-05
"11",4.97425821374388e-05
"12",7.15049618225682e-05
"13",3.73069366030791e-05
"14",3.73069366030791e-05
"15",7.46138732061581e-05
"16",7.46138732061581e-05
"17",3.73069366030791e-05
"18",4.97425821374388e-05
"19",4.35247593702589e-05
"20",8.0831695973338e-05
"21",7.46138732061581e-05
"22",5.90693162882085e-05
"23",7.77227845897481e-05
"24",5.28514935210287e-05
"25",6.52871390553884e-05
"26",6.52871390553884e-05
"27",6.52871390553884e-05
"28",5.28514935210287e-05
"29",6.52871390553884e-05
"30",0
"31",7.46138732061581e-05
"32",8.39406073569279e-05
"33",6.21782276717984e-06
"34",5.59604049046186e-05
"35",7.15049618225682e-05
"36",3.73069366030791e-05
"37",4.66336707538488e-05
"38",5.59604049046186e-05
"39",6.83960504389783e-05
"40",4.97425821374388e-05
"41",4.66336707538488e-05
"42",6.52871390553884e-05
"43",7.46138732061581e-05
"44",3.73069366030791e-05
"45",2.48712910687194e-05
"46",3.73069366030791e-05
"47",3.73069366030791e-05
"48",0
"49",6.52871390553884e-05
"50",7.15049618225682e-05
"51",8.0831695973338e-05
"52",2.48712910687194e-05
"53",6.52871390553884e-05
"54",4.0415847986669e-05
"55",3.73069366030791e-05
"56",1.86534683015395e-05
"57",3.73069366030791e-05
"58",4.0415847986669e-05
"59",7.15049618225682e-05
"60",7.15049618225682e-05
"61",4.66336707538488e-05
"62",3.73069366030791e-05
"63",3.73069366030791e-05
"64",7.15049618225682e-05
"65",7.15049618225682e-05
"66",5.90693162882085e-05
"67",3.73069366030791e-05
"68",4.0415847986669e-05
"69",4.0415847986669e-05
"70",8.0831695973338e-05
"71",3.73069366030791e-05
"72",8.39406073569279e-05
"73",4.97425821374388e-05
"74",8.0831695973338e-05
"75",4.97425821374388e-05
"76",8.0831695973338e-05
"77",4.0415847986669e-05
"78",8.39406073569279e-05
"79",4.97425821374388e-05
"80",5.90693162882085e-05
"81",6.21782276717984e-05
"82",6.52871390553884e-05
