"","basin_assign_rescale"
"1",6.23778214070111e-05
"2",4.54618020423979e-05
"3",6.13205701967227e-05
"4",5.81488165658578e-05
"5",5.92060677761461e-05
"6",6.13205701967227e-05
"7",5.81488165658578e-05
"8",6.02633189864344e-05
"9",6.66068262481643e-05
"10",5.92060677761461e-05
"11",6.76640774584527e-05
"12",5.92060677761461e-05
"13",5.60343141452811e-05
"14",5.39198117247045e-05
"15",5.92060677761461e-05
"16",5.92060677761461e-05
"17",5.28625605144161e-05
"18",6.8721328668741e-05
"19",6.02633189864344e-05
"20",6.34350726172994e-05
"21",5.92060677761461e-05
"22",6.8721328668741e-05
"23",5.92060677761461e-05
"24",6.8721328668741e-05
"25",4.75763044629745e-05
"26",4.75763044629745e-05
"27",4.86335556732629e-05
"28",4.65190532526862e-05
"29",4.75763044629745e-05
"30",4.75763044629745e-05
"31",5.92060677761461e-05
"32",6.13205701967227e-05
"33",4.54618020423979e-05
"34",4.65190532526862e-05
"35",5.92060677761461e-05
"36",6.02633189864344e-05
"37",6.23778214070111e-05
"38",6.8721328668741e-05
"39",5.07480580938395e-05
"40",4.96908068835512e-05
"41",5.81488165658578e-05
"42",5.07480580938395e-05
"43",5.18053093041278e-05
"44",6.02633189864344e-05
"45",4.44045508321096e-05
"46",6.02633189864344e-05
"47",5.28625605144161e-05
"48",4.44045508321096e-05
"49",6.66068262481643e-05
"50",6.5549575037876e-05
"51",6.5549575037876e-05
"52",4.54618020423979e-05
"53",6.66068262481643e-05
"54",5.70915653555694e-05
"55",6.02633189864344e-05
"56",4.44045508321096e-05
"57",6.02633189864344e-05
"58",5.70915653555694e-05
"59",5.60343141452811e-05
"60",5.39198117247045e-05
"61",4.54618020423979e-05
"62",5.28625605144161e-05
"63",6.02633189864344e-05
"64",5.92060677761461e-05
"65",5.39198117247045e-05
"66",4.75763044629745e-05
"67",6.02633189864344e-05
"68",6.13205701967227e-05
"69",6.13205701967227e-05
"70",5.92060677761461e-05
"71",6.23778214070111e-05
"72",6.34350726172994e-05
"73",6.76640774584527e-05
"74",6.5549575037876e-05
"75",6.76640774584527e-05
"76",6.34350726172994e-05
"77",4.54618020423979e-05
"78",5.92060677761461e-05
"79",6.8721328668741e-05
"80",6.76640774584527e-05
"81",4.86335556732629e-05
"82",4.96908068835512e-05
"83",6.66068262481643e-05
"84",5.18053093041278e-05
"85",5.07480580938395e-05
"86",5.92060677761461e-05
"87",5.92060677761461e-05
"88",4.54618020423979e-05
"89",6.76640774584527e-05
"90",6.02633189864344e-05
"91",5.39198117247045e-05
"92",4.86335556732629e-05
"93",6.76640774584527e-05
"94",4.75763044629745e-05
"95",4.86335556732629e-05
"96",4.65190532526862e-05
"97",4.96908068835512e-05
"98",6.02633189864344e-05
"99",5.28625605144161e-05
"100",5.92060677761461e-05
"101",4.54618020423979e-05
"102",4.75763044629745e-05
"103",4.54618020423979e-05
"104",6.76640774584527e-05
"105",4.54618020423979e-05
"106",4.54618020423979e-05
"107",5.28625605144161e-05
"108",4.65190532526862e-05
"109",6.66068262481643e-05
"110",5.28625605144161e-05
"111",4.44045508321096e-05
"112",5.18053093041278e-05
"113",4.65190532526862e-05
"114",4.65190532526862e-05
"115",6.66068262481643e-05
"116",4.54618020423979e-05
"117",4.54618020423979e-05
"118",4.96908068835512e-05
"119",0
"120",4.65190532526862e-05
"121",6.34350726172994e-05
"122",5.28625605144161e-05
"123",4.86335556732629e-05
"124",4.65190532526862e-05
"125",5.07480580938395e-05
"126",4.75763044629745e-05
"127",4.54618020423979e-05
"128",4.86335556732629e-05
"129",4.86335556732629e-05
"130",5.92060677761461e-05
"131",5.07480580938395e-05
"132",5.92060677761461e-05
"133",5.07480580938395e-05
"134",5.07480580938395e-05
"135",4.54618020423979e-05
"136",4.96908068835512e-05
"137",5.07480580938395e-05
"138",5.07480580938395e-05
"139",5.28625605144161e-05
"140",5.39198117247045e-05
"141",6.13205701967227e-05
"142",6.5549575037876e-05
"143",5.92060677761461e-05
"144",6.13205701967227e-05
"145",4.54618020423979e-05
"146",4.96908068835512e-05
"147",5.18053093041278e-05
"148",4.54618020423979e-05
"149",4.44045508321096e-05
"150",5.92060677761461e-05
"151",5.92060677761461e-05
"152",5.07480580938395e-05
"153",5.07480580938395e-05
"154",6.13205701967227e-05
"155",4.86335556732629e-05
"156",4.54618020423979e-05
"157",0
"158",6.02633189864344e-05
"159",4.54618020423979e-05
"160",4.65190532526862e-05
"161",4.75763044629745e-05
"162",6.02633189864344e-05
"163",4.44045508321096e-05
"164",6.02633189864344e-05
"165",6.02633189864344e-05
"166",4.54618020423979e-05
"167",4.54618020423979e-05
"168",4.54618020423979e-05
"169",5.07480580938395e-05
"170",4.75763044629745e-05
"171",4.65190532526862e-05
"172",4.44045508321096e-05
"173",4.54618020423979e-05
"174",4.54618020423979e-05
"175",5.92060677761461e-05
"176",5.07480580938395e-05
"177",4.75763044629745e-05
"178",5.92060677761461e-05
"179",5.92060677761461e-05
"180",5.92060677761461e-05
"181",5.92060677761461e-05
"182",5.92060677761461e-05
"183",4.75763044629745e-05
"184",4.44045508321096e-05
"185",4.65190532526862e-05
"186",4.65190532526862e-05
"187",4.65190532526862e-05
"188",4.44045508321096e-05
"189",6.13205701967227e-05
"190",5.92060677761461e-05
"191",5.92060677761461e-05
"192",5.92060677761461e-05
"193",4.54618020423979e-05
"194",5.07480580938395e-05
"195",4.54618020423979e-05
"196",4.54618020423979e-05
"197",5.92060677761461e-05
"198",4.54618020423979e-05
"199",4.44045508321096e-05
"200",4.44045508321096e-05
"201",5.92060677761461e-05
"202",4.44045508321096e-05
"203",4.44045508321096e-05
"204",4.44045508321096e-05
"205",4.44045508321096e-05
"206",4.44045508321096e-05
"207",5.92060677761461e-05
"208",5.92060677761461e-05
