FishID,natal_iso,natal_isose,Date,OtoNum,DOY,Days_into_run,Prop_run,Year,Watershed,dailyCPUEprop,OtoPropDaily,COratio,Strat,Quartile
2018_kk_001_redo,0.705961103,1.68437e-4,6/10/18,1,161,10,0.188679245,2018,Kuskokwim,0.013341765123237806,0.01646090534979424,0.8105122312366966,0.9310115063084182,Q1
2018_kk_002,0.70767385,8.74e-5,6/2/18,2,153,2,0.037735849,2018,Kuskokwim,0.0027146250424160156,0.00411522633744856,0.6596538853070917,1.19281164203967,Q1
2018_kk_003_redo,0.71025536,1.91832e-4,6/3/18,3,154,3,0.056603774,2018,Kuskokwim,0.0028071690779529253,0.00411522633744856,0.6821420859425608,1.19281164203967,Q1
2018_kk_005,0.710262551,8.62e-5,6/5/18,5,156,5,0.094339623,2018,Kuskokwim,0.00205139278773483,0.00823045267489712,0.24924422370978183,1.19281164203967,Q1
2018_kk_006,0.709445551,1.14288e-4,6/5/18,6,156,5,0.094339623,2018,Kuskokwim,0.00205139278773483,0.00823045267489712,0.24924422370978183,1.19281164203967,Q1
2018_kk_008,0.709543595,1.42762e-4,6/6/18,8,157,6,0.113207547,2018,Kuskokwim,0,0.00411522633744856,0,0.9310115063084182,Q1
2018_kk_011,0.709422351,1.02257e-4,6/7/18,11,158,7,0.132075472,2018,Kuskokwim,0.012724804886325073,0.00823045267489712,1.5460637936884962,0.9310115063084182,Q1
2018_kk_012,0.709343824,9.06e-5,6/7/18,12,158,7,0.132075472,2018,Kuskokwim,0.012724804886325073,0.00823045267489712,1.5460637936884962,0.9310115063084182,Q1
2018_kk_013_redo,0.710656873,1.8324e-4,6/9/18,13,160,9,0.169811321,2018,Kuskokwim,0.012246660702717708,0.012345679012345678,0.9919795169201344,0.9310115063084182,Q1
2018_kk_015,0.709658842,1.21108e-4,6/9/18,15,160,9,0.169811321,2018,Kuskokwim,0.012246660702717708,0.012345679012345678,0.9919795169201344,0.9310115063084182,Q1
2018_kk_016_redo,0.706975999,1.13034e-4,6/9/18,16,160,9,0.169811321,2018,Kuskokwim,0.012246660702717708,0.012345679012345678,0.9919795169201344,0.9310115063084182,Q1
2018_kk_019_redo,0.706495652,1.57552e-4,6/10/18,19,161,10,0.188679245,2018,Kuskokwim,0.013341765123237806,0.01646090534979424,0.8105122312366966,0.9310115063084182,Q1
2018_kk_021,0.709782076,1.08516e-4,6/10/18,21,161,10,0.188679245,2018,Kuskokwim,0.013341765123237806,0.01646090534979424,0.8105122312366966,0.9310115063084182,Q1
2018_kk_023,0.709814844,1.37628e-4,6/10/18,23,161,10,0.188679245,2018,Kuskokwim,0.013341765123237806,0.01646090534979424,0.8105122312366966,0.9310115063084182,Q1
2018_kk_024,0.705576503,8.83e-5,6/11/18,24,162,11,0.20754717,2018,Kuskokwim,0.018169478977079923,0.01646090534979424,1.1037958478576053,0.985641379071655,Q1
2018_kk_025,0.707139324,7.85e-5,6/11/18,25,162,11,0.20754717,2018,Kuskokwim,0.018169478977079923,0.01646090534979424,1.1037958478576053,0.985641379071655,Q1
2018_kk_028_redo,0.712463809,1.65375e-4,6/11/18,28,162,11,0.20754717,2018,Kuskokwim,0.018169478977079923,0.01646090534979424,1.1037958478576053,0.985641379071655,Q1
2018_kk_031_redo,0.709738477,2.13882e-4,6/11/18,31,162,11,0.20754717,2018,Kuskokwim,0.018169478977079923,0.01646090534979424,1.1037958478576053,0.985641379071655,Q1
