year,watershed,total_production
2017,Kusko,303916.0296522826
2018,Kusko,284200.7549240749
2019,Kusko,311502.68993383367
2020,Kusko,323476.1862259715
2021,Kusko,304033.6259969873
2022,Kusko,312062.5829329417
