FishID,natal_iso,natal_isose
2017_yukon_king_yk001.exp,0.727316409,9.86131281825019e-05
2017_yukon_king_yk002.exp,0.724456698,0.000138735
2017_yukon_king_yk003.exp,0.713756924,0.000368954
2017_yukon_king_yk005.exp,0.712773329,0.000281632
2017_yukon_king_yk006.exp,0.722327849,0.000142878
2017_yukon_king_yk007.exp,0.716215406,0.000207363
2017_yukon_king_yk008.exp,0.721545508,0.000152565
2017_yukon_king_yk011.exp,0.716471501,0.000237406
2017_yukon_king_yk012.exp,0.71210872,0.000195417
2017_yukon_king_yk014.exp,0.706546036,0.000134027
2017_yukon_king_yk015.exp,0.723824522,9.30991780155168e-05
2017_yukon_king_yk016.exp,0.724964545,8.60002688688172e-05
2017_yukon_king_yk018.exp,0.715853167,0.000238824
2017_yukon_king_yk019.exp,0.714349157,0.000150573
2017_yukon_king_yk022.exp,0.712477267,0.000215844
2017_yukon_king_yk023.exp,0.722239171,0.000117526
2017_yukon_king_yk024.exp,0.717449595,0.000275032
2017_yukon_king_yk025.exp,0.731770888,0.000150516
2017_yukon_king_yk027.exp,0.707726946,8.71381591514258e-05
2017_yukon_king_yk029.exp,0.722036641,0.00011597
2017_yukon_king_yk030.exp,0.731822871,0.000128
2017_yukon_king_yk033.exp,0.723239301,0.00012905
2017_yukon_king_yk034.exp,0.734022865,0.000131987
2017_yukon_king_yk035.exp,0.723517531,0.000248461
2017_yukon_king_yk036.exp,0.718671352,0.000159686
2017_yukon_king_yk038.exp,0.73938416,0.000155377
2017_yukon_king_yk039.exp,0.714358599,0.000268693
2017_yukon_king_yk041.exp,0.716096675,0.0001726
2017_yukon_king_yk042.exp,0.715685928,0.000143012
2017_yukon_king_yk043.exp,0.717220031,0.000158726
2017_yukon_king_yk044.exp,0.717622588,0.000156702
2017_yukon_king_yk045.exp,0.721518868,0.000157085
2017_yukon_king_yk047.exp,0.712031937,0.000189877
2017_yukon_king_yk049.exp,0.721902471,0.000126338
2017_yukon_king_yk050.exp,0.723170177,0.000221347
2017_yukon_king_yk052.exp,0.712026456,0.000190697
2017_yukon_king_yk053.exp,0.724269785,0.000158053
2017_yukon_king_yk055.exp,0.725767662,0.000137934
2017_yukon_king_yk056.exp,0.72447115,0.000116644
2017_yukon_king_yk057.exp,0.705937695,0.000207936
2017_yukon_king_yk058.exp,0.712118848,0.000188
2017_yukon_king_yk059.exp,0.714124995,0.000253908
2017_yukon_king_yk060.exp,0.724515574,0.000166162
2017_yukon_king_yk061.exp,0.722048334,0.000184176
2017_yukon_king_yk062.exp,0.714594157,0.00045182
2017_yukon_king_yk064.exp,0.716946792,0.000188944
2017_yukon_king_yk065.exp,0.712738559,0.000259029
2017_yukon_king_yk066.exp,0.712279458,0.000235581
2017_yukon_king_yk068.exp,0.730769882,0.000115638
2017_yukon_king_yk070_a.exp,0.720219568,7.47325960114115e-05
2017_yukon_king_yk071.exp,0.726659355,0.000136105
2017_yukon_king_yk072.exp,0.707683911,8.18829103917227e-05
2017_yukon_king_yk074.exp,0.706602232,0.000192418
2017_yukon_king_yk075.exp,0.714022584,0.000223432
2017_yukon_king_yk076.exp,0.710103461,0.000166953
2017_yukon_king_yk077.exp,0.707252531,8.87334260855133e-05
2017_yukon_king_yk079.exp,0.711792206,0.000181086
2017_yukon_king_yk080.exp,0.708443609,8.86616010601097e-05
2017_yukon_king_yk081.exp,0.707257415,8.71734620397935e-05
2017_yukon_king_yk083.exp,0.712820719,0.000157514
2017_yukon_king_yk086.exp,0.711843808,0.000138528
2017_yukon_king_yk087.exp,0.710957675,0.000158244
2017_yukon_king_yk088.exp,0.712104333,0.000172835
2017_yukon_king_yk091.exp,0.706733246,0.000174105
2017_yukon_king_yk092.exp,0.713803194,0.000192648
2017_yukon_king_yk093.exp,0.712425927,0.000159981
2017_yukon_king_yk094.exp,0.722323129,0.000181414
2017_yukon_king_yk095.exp,0.72458111,9.34392009133365e-05
