FishID,natal_iso,
2019_kk_001,0.709690455,
2019_kk_002,0.7096044,
2019_kk_006,0.7076856,
2019_kk_007,0.708891971,
2019_kk_009,0.706645531,
2019_kk_011,0.709240622,
2019_kk_013,0.708997508,
2019_kk_014,0.708998612,
2019_kk_015,0.709137004,
2019_kk_016,0.708876272,
2019_kk_017,0.708461057,
2019_kk_019,0.710575269,
2019_kk_021,0.708678335,
2019_kk_023,0.709564716,
2019_kk_026,0.706667672,
2019_kk_029,0.7093489,
2019_kk_030,0.709323664,
2019_kk_030a,0.709362062,
2019_kk_031_sld25,0.709148927,
2019_kk_031,0.707638335,
2019_kk_034_sld25,0.709612189,
2019_kk_034,0.709935764,
2019_kk_035,0.706096711,
2019_kk_036,0.707312861,
2019_kk_038,0.705117632,
2019_kk_041,0.708910072,
2019_kk_045,0.707826452,
2019_kk_046,0.707881757,
2019_kk_047,0.710146735,
2019_kk_048,0.708418269,
2019_kk_050,0.709476489,
2019_kk_051,0.709226662,
2019_kk_052_sld24,0.709076345,
2019_kk_052_sld32,0.709125769,
2019_kk_053,0.706743747,
2019_kk_054,0.708297153,
2019_kk_054a,0.709627277,
2019_kk_056,0.705383261,
2019_kk_057,0.709158788,
2019_kk_058,0.705095185,
2019_kk_059,0.710171817,
2019_kk_061,0.705874009,
2019_kk_062,0.706862622,
2019_kk_064,0.708705244,
2019_kk_065,0.705672831,
2019_kk_066,0.709869966,
2019_kk_067,0.706461902,
2019_kk_069,0.706263962,
2019_kk_070,0.706528004,
2019_kk_071,0.704997387,
2019_kk_072,0.706013329,
2019_kk_073,0.709216526,
2019_kk_074,0.709086338,
2019_kk_076,0.709096878,
2019_kk_078,0.708904002,
2019_kk_079,0.707764728,
2019_kk_080,0.71013731,
2019_kk_081,0.70861435,
2019_kk_082,0.704894269,
2019_kk_083,0.709074324,
2019_kk_084,0.710135101,
2019_kk_084a,0.709655058,
2019_kk_085,0.709008067,
2019_kk_085a,0.709472571,
2019_kk_087,0.707285814,
2019_kk_088,0.709065503,
2019_kk_089,0.7094741,
2019_kk_090,0.707573589,
2019_kk_091,0.709060026,
2019_kk_093,0.709483676,
2019_kk_094,0.708807773,
2019_kk_095,0.70881788,
2019_kk_096,0.707982501,
2019_kk_098,0.709186725,
2019_kk_098a,0.706387804,
2019_kk_099,0.710629048,
2019_kk_101,0.711480832,
2019_kk_101a,0.709696198,
2019_kk_103,0.707998376,
2019_kk_105,0.706760203,
2019_kk_106,0.708717914,
2019_kk_108,0.708145046,
2019_kk_109,0.707687168,
2019_kk_110,0.709206714,
2019_kk_111,0.706395094,
2019_kk_112,0.708260075,
2019_kk_113,0.705958981,
2019_kk_114,0.707508062,
2019_kk_115,0.708776959,
2019_kk_117,0.709524551,
2019_kk_118,0.710164967,
2019_kk_119,0.710393083,
2019_kk_120,0.709260216,
2019_kk_122,0.708694207,
2019_kk_123,0.710030919,
2019_kk_125,0.709219214,
2019_kk_126,0.707251414,
2019_kk_127,0.710323308,
2019_kk_129,0.707926678,
2019_kk_131,0.710270183,
2019_kk_132,0.709633529,
2019_kk_134,0.709209545,
2019_kk_135,0.705203326,
2019_kk_138a,0.707718823,
2019_kk_139,0.704861409,
2019_kk_140,0.70787299,
2019_kk_141,0.709241747,
2019_kk_142,0.708665608,
