FishID,natal_iso,
2021_kk_263_R2,0.707430795,
2021_kk_270,0.705611967,
2021_kk_272,0.709443072,
2021_kk_274,0.708882663,
2021_kk_275,0.707805154,
2021_kk_276,0.705922639,
2021_kk_277_R1,0.70593644,
2021_kk_279_R1,0.707698217,
2021_kk_280,0.7077353,
2021_kk_281,0.706453311,
2021_kk_282_R1,0.707986061,
2021_kk_282_R1a,0.709223844,
2021_kk_284,0.707944367,
2021_kk_285_R1,0.705095927,
2021_kk_285,0.704919091,
2021_kk_286_R1,0.707859592,
2021_kk_286,0.707828327,
2021_kk_287,0.70506344,
2021_kk_288,0.705881331,
2021_kk_289,0.707668099,
2021_kk_290_R1,0.705934394,
2021_kk_290,0.706310117,
2021_kk_291,0.706980221,
2021_kk_292,0.705510661,
2021_kk_293,0.704536799,
2021_kk_294,0.707078177,
2021_kk_296_R1,0.707480404,
2021_kk_296,0.707514286,
2021_kk_297,0.707034008,
2021_kk_298,0.70941837,
2021_kk_299,0.70610117,
2021_kk_301,0.705953948,
2021_kk_302,0.710013034,
2021_kk_303,0.70793251,
2021_kk_304,0.709336031,
2021_kk_305,0.705205939,
2021_kk_306,0.706528614,
2021_kk_307,0.705604653,
2021_kk_309,0.708931313,
2021_kk_310,0.705050072,
2021_kk_311,0.70570745,
2021_kk_313,0.70607355,
2021_kk_314,0.709117519,
2021_kk_315_R1,0.706154493,
2021_kk_319,0.710712174,
2021_kk_320,0.708749549,
2021_kk_322,0.705944198,
2021_kk_324,0.707031697,
2021_kk_326_R1,0.705932557,
2021_kk_326,0.705802186,
2021_kk_327_R1,0.706860274,
2021_kk_327,0.706754377,
2021_kk_328,0.705053916,
2021_kk_332,0.70703628,
2021_k_122_r1,0.706596783,
2021_kk_338,0.709327185,
2021_kk_340_R2,0.705567614,
2021_kk_340,0.705590348,
2021_kk_342_R1,0.707053869,
2021_kk_342,0.707142237,
2021_kk_343,0.709687948,
2021_kk_344,0.709624094,
2021_kk_347,0.709582328,
2021_kk_348,0.707395406,
2021_kk_349,0.709214017,
2021_kk_350_R1,0.707783238,
2021_kk_350,0.707686688,
2021_kk_351,0.708989858,
2021_kk_352,0.706070229,
2021_kk_353,0.707391231,
2021_kk_354,0.707311583,
2021_kk_356,0.705786177,
2021_kk_357,0.708047421,
2021_kk_359,0.705946398,
2021_kk_360,0.709088825,
2021_kk_362_R1,0.707860793,
2021_kk_362,0.709416308,
2021_kk_363_R1,0.706294765,
2021_kk_364,0.707843171,
2021_kk_366,0.706008274,
2021_kk_368_R1,0.707865845,
2021_kk_368,0.707132693,
2021_kk_369,0.707709591,
2021_kk_371_R1,0.705834755,
2021_kk_372_R1,0.706496309,
2021_kk_372,0.706506321,
2021_kk_374_R1,0.707234011,
2021_kk_374,0.707902117,
2021_kk_375,0.706134037,
2021_kk_376,0.704980945,
2021_kk_377,0.704683229,
2021_kk_379,0.707114101,
