FishID,natal_iso,natal_isose
2018-yk-005_redo,0.711639519,0.000263353
2018-yk-006_redo,0.715873019,0.000184913
2018-yk-007_redo,0.723310509,0.000152739
2018-yk-010_redo,0.714047878,0.000243761
2018-yk-011_redo,0.712030479,0.000237389
2018-yk-014_redo,0.723809213,0.000152569
2018-yk-015_redo,0.72342422,0.000221287
2018-yk-019_redo,0.713851328,0.000206567
2018-yk-023_redo,0.72150341,0.000186829
2018-yk-030_redo,0.721493887,0.000216747
2018-yk-038_redo,0.711371594,0.000290223
2018-yk-041_redo,0.710667647,0.00048027
2018-yk-043_redo,0.706494901,0.000155019
2018-yk-046_redo,0.707262821,8.71719335067401e-05
2018-yk-048_redo,0.724874334,0.000149751
2018-yk-051_redo,0.721615463,0.000196254
2018-yk-055_redo,0.713035716,0.000263535
2018-yk-056_redo,0.724638921,0.000155998
2018-yk-058_redo,0.710342098,0.000259294
2018-yk-061_redo,0.707906837,7.54381484619818e-05
2018-yk-062_redo,0.723094094,0.000289748
2018-yk-065_redo,0.706300834,0.000189168
2018-yk-066_redo,0.707330435,0.00019722
2018-yk-068_redo,0.71552183,0.000250319
2018-yk-072_redo,0.719939659,0.000136896
2018-yk-077_redo,0.716426292,0.000396363
2018-yk-105_redo,0.71855103,0.000207124
2018-yk-107,0.709643999,0.000221987
2018-yk-142,0.709339267,0.000471975
2018-yk-152_redo,0.713803733,0.000280185
2018-yk-261,0.711582323,0.000318914
2018-yk-275_redo,0.718957872,0.00021137
2018-yk-276_redo,0.711244445,0.000261754
2018-yk-287_redo,0.739787138,0.000256348
2018-yk-291_redo,0.709186645,0.000186546
2018-yk-314_redo,0.706894953,0.000160765
2018-yk-325_redo,0.721660755,0.000169365
2018-yk-328,0.706561753,8.5187593814498e-05
2018-yk-330,0.715023432,0.000157301
2018-yk-336_redo,0.712920451,0.00026212
2018-yk-338,0.712041635,0.000322962
2018-yk-339,0.722189789,0.000128703
2018-yk-347,0.714086424,0.000155341
2018-yk-348_redo,0.710246511,0.000284059
2018-yk-351,0.707368338,0.000111225
2018-yk-354,0.711648195,0.000212592
2018-yk-355,0.712887853,0.000128967
2018-yk-356,0.714815684,0.000162912
