FishID,natal_iso,natal_isose
2017_kusko_king_kk001,0.709846281,0.00020959
2017_kusko_king_kk002,0.706257756,0.000121336
2017_kusko_king_kk003,0.706132198,9.85845734974316e-05
2017_kusko_king_kk004,0.709889922,0.000184605
2017_kusko_king_kk005,0.707426836,0.000132138
2017_kusko_king_kk006,0.709549369,0.000109356
2017_kusko_king_kk007,0.706656745,0.000112702
2017_kusko_king_kk008,0.710411513,0.000212415
2017_kusko_king_kk009,0.706018681,7.20425430844347e-05
2017_kusko_king_kk010,0.708866215,0.000180751
2017_kusko_king_kk011,0.707021089,0.000157591
2017_kusko_king_kk012,0.707295493,0.000104152
2017_kusko_king_kk013,0.708892643,0.000187118
2017_kusko_king_kk014,0.708889998,0.000114935
2017_kusko_king_kk015,0.710196527,0.000178174
2017_kusko_king_kk016,0.710072824,0.000170202
2017_kusko_king_kk017,0.707943493,0.000136507
2017_kusko_king_kk018,0.707747112,0.000136696
2017_kusko_king_kk019,0.709245841,0.000296797
2017_kusko_king_kk020,0.705470214,0.00014799
2017_kusko_king_kk021,0.709090787,0.000159962
2017_kusko_king_kk022,0.709474428,8.8234970749704e-05
2017_kusko_king_kk023,0.708985834,0.000116636
2017_kusko_king_kk024,0.705917728,0.000104223
2017_kusko_king_kk025,0.709172667,0.000120916
2017_kusko_king_kk026,0.707842325,8.56569953897034e-05
2017_kusko_king_kk027,0.710817248,0.000131594
2017_kusko_king_kk028,0.707096241,8.51330286723166e-05
2017_kusko_king_kk029,0.709200846,0.000133439
2017_kusko_king_kk030,0.708190204,0.00011901
2017_kusko_king_kk031,0.706958639,0.000148833
2017_kusko_king_kk032,0.708979992,0.000139689
2017_kusko_king_kk033redo,0.705253721,0.000123369
2017_kusko_king_kk034,0.709258193,0.000107737
2017_kusko_king_kk035,0.708705471,0.000181941
2017_kusko_king_kk036redoa,0.705606805,7.57500397246105e-05
2017_kusko_king_kk037redoa,0.708161117,8.64161627847772e-05
2017_kusko_king_kk038,0.707112418,8.93805113899142e-05
2017_kusko_king_kk039,0.707409714,0.000141416
2017_kusko_king_kk040,0.705988852,0.000114786
2017_kusko_king_kk041redoa,0.70550748,9.79326857388234e-05
2017_kusko_king_kk042redo,0.709506223,0.00013195
2017_kusko_king_kk043,0.706021756,0.000171252
2017_kusko_king_kk045,0.708005913,0.000117186
2017_kusko_king_kk047,0.707696466,0.000160264
2017_kusko_king_kk048,0.70749606,0.000137752
2017_kusko_king_kk049redo,0.705348761,0.000125035
2017_kusko_king_kk050,0.709079995,0.000210795
2017_kusko_king_kk051,0.708237949,0.000249925
2017_kusko_king_kk052,0.708027324,0.000118944
2017_kusko_king_kk053redo,0.70773965,0.000119454
2017_kusko_king_kk054,0.709892489,0.000100716
2017_kusko_king_kk055,0.70580449,7.26845275023341e-05
2017_kusko_king_kk056,0.710709858,0.000257818
2017_kusko_king_kk057redo,0.708700438,0.000111124
2017_kusko_king_kk058,0.706073149,0.000115304
2017_kusko_king_kk059,0.706156891,6.3642952646077e-05
2017_kusko_king_kk060redo,0.70591315,0.000107531
2017_kusko_king_kk061,0.708001368,7.9783512052291e-05
2017_kusko_king_kk062redo,0.709633215,0.000165792
2017_kusko_king_kk063,0.707116919,0.000112653
2017_kusko_king_kk064,0.707852047,7.12237317795203e-05
2017_kusko_king_kk065,0.705062797,3.6200499893049e-05
2017_kusko_king_kk066,0.706116222,6.88017795094776e-05
2017_kusko_king_kk067redo,0.705312223,0.000103442
2017_kusko_king_kk068,0.70843753,5.65909776954524e-05
2017_kusko_king_kk069,0.709289791,0.000123077
2017_kusko_king_kk070,0.709777658,0.000107002
2017_kusko_king_kk071,0.707132188,9.28297165948187e-05
2017_kusko_king_kk073,0.705803992,8.81278849070162e-05
2017_kusko_king_kk074redo,0.710132438,0.000169142
2017_kusko_king_kk075,0.709416942,0.000119668
2017_kusko_king_kk076,0.706437391,9.96686241573477e-05
2017_kusko_king_kk077,0.709179961,0.000131481
2017_kusko_king_kk078,0.709351729,9.26581822166951e-05
2017_kusko_king_kk079,0.709268745,9.06499819814908e-05
2017_kusko_king_kk080,0.709151783,8.79789872551807e-05
2017_kusko_king_kk081,0.709890488,0.000131722
2017_kusko_king_kk082redo,0.709148161,0.000101453
2017_kusko_king_kk083,0.70825249,0.000110444
