"basin","length_bin","median_upstream_length_km","assumed_cv","n_simulations","n_values","p05","median","p95"
"Kuskokwim",1,10.0034605747989,0.25,250,3750,-56.2198799785218,-0.47157950115247,53.84616528283
"Kuskokwim",2,16.8090388410968,0.25,250,25000,-50.4816572838915,0.0665290765587969,50.2915419374879
"Kuskokwim",3,30.2652540453895,0.25,250,77250,-47.3020499825676,-0.0341982759607641,46.391968404804
"Kuskokwim",4,55.4014665924117,0.25,250,126500,-39.8087286404812,-0.01313466982674,39.6488804389528
"Kuskokwim",5,103.590829478536,0.25,250,139500,-30.5718104170631,0.0159126980114014,30.7817893714027
"Kuskokwim",6,193.92177441902,0.25,250,113750,-21.1804213181269,0.0652755203065786,21.3485304863149
"Kuskokwim",7,384.573462003096,0.25,250,83500,-14.6835869430579,0.147775067713552,15.2970379816883
"Kuskokwim",8,753.939564302839,0.25,250,60750,-10.4471126448575,0.0923417680474098,10.6759615997394
"Kuskokwim",9,1441.14990469256,0.25,250,46250,-7.43122171320596,0.16538637045884,7.41172719623936
"Kuskokwim",10,2432.89795499623,0.25,250,31000,-5.87062018916121,0.132407961512663,6.03760749227229
"Kuskokwim",11,6847.98553381463,0.25,250,3000,-3.91737284956617,-0.0780220581111369,3.99384066441791
"Kuskokwim",12,12406.0868852939,0.25,250,9000,-3.00483504045401,-0.0888596209160909,3.01186593334314
"Kuskokwim",13,15250.0504713728,0.25,250,14000,-2.33235260651277,-0.0935589608129699,2.12295405709805
"Kuskokwim",14,43717.4499305404,0.25,250,50250,-0.911968781769944,0.0138626381206568,0.82538292696825
"Kuskokwim",1,10.0034605747989,1,250,3750,-152.904500214632,-1.51245198717773,149.162212862585
"Kuskokwim",2,16.8090388410968,1,250,25000,-142.06429399071,-0.293206218294918,141.692788980391
"Kuskokwim",3,30.2652540453895,1,250,77250,-134.67335258211,0.425133651385742,134.039264932824
"Kuskokwim",4,55.4014665924117,1,250,126500,-119.677584850065,-0.00272815187477081,119.71637098462
"Kuskokwim",5,103.590829478536,1,250,139500,-98.798482204738,-0.0254012457499649,99.207301847588
"Kuskokwim",6,193.92177441902,1,250,113750,-72.7425154170385,0.392560104071346,74.1433588286415
"Kuskokwim",7,384.573462003096,1,250,83500,-54.407565362964,0.15082653822797,56.2481726216228
"Kuskokwim",8,753.939564302839,1,250,60750,-39.1952520263777,-0.109539822484776,40.0516638842982
"Kuskokwim",9,1441.14990469256,1,250,46250,-28.9438278870836,-0.96185519117959,29.8736724324433
"Kuskokwim",10,2432.89795499623,1,250,31000,-22.3924493469815,-0.558002998854199,23.6150911093687
"Kuskokwim",11,6847.98553381463,1,250,3000,-15.0226261035972,-0.00397579890478416,14.0104004477946
"Kuskokwim",12,12406.0868852939,1,250,9000,-11.8046188882571,-0.0277795946928817,12.2576413769495
"Kuskokwim",13,15250.0504713728,1,250,14000,-9.15286561820136,0.200265513442909,9.28727899412643
"Kuskokwim",14,43717.4499305404,1,250,50250,-3.51238262252711,-0.0780077552622368,3.08291478973957
"Yukon",1,2.14112699486324,0.25,250,1750,-54.4826666076603,-1.42103357591545,54.6350481956673
"Yukon",2,4.18531355680236,0.25,250,12500,-55.4638745964869,0.249284510453839,56.072669056756
"Yukon",3,10.3358050489756,0.25,250,147250,-54.8034512970569,0.256754049651485,54.8756066623593
"Yukon",4,21.6823080891449,0.25,250,449500,-50.9313672740254,-0.0263216476788418,50.8981469617406
"Yukon",5,47.5797424013727,0.25,250,530750,-41.6915922253373,-0.0652895849921229,41.6854342079929
"Yukon",6,110.528560410686,0.25,250,413750,-29.164706867344,-0.0533806711771651,29.0661616642489
"Yukon",7,259.732773907805,0.25,250,342250,-18.7868283613633,-0.00514581205380751,18.9368926889727
"Yukon",8,619.033474453972,0.25,250,227750,-12.078927832004,-0.0137404141575237,12.2452946362461
"Yukon",9,1361.6975492184,0.25,250,136750,-7.98833119229115,0.0274144973277888,8.1704244348544
"Yukon",10,3168.17003467951,0.25,250,71250,-5.39128877446816,-0.000395246525499644,5.34494958347697
"Yukon",11,7127.1231804231,0.25,250,87000,-3.47997141833155,-0.0116779767060776,3.5110291969295
"Yukon",12,15643.750082815,0.25,250,33000,-2.29552239093411,0.0737954058822029,2.45391754609004
"Yukon",13,53911.6892579212,0.25,250,34500,-1.20556228006142,-0.0216500305706679,1.20379698530333
"Yukon",14,146843.23043349,0.25,250,49000,-0.450022924500222,-0.00105724613383667,0.39327973939048
"Yukon",1,2.14112699486324,1,250,1750,-150.320653191733,4.85867489475005,149.849268219056
"Yukon",2,4.18531355680236,1,250,12500,-147.524228577752,1.25543748445176,149.834301129998
"Yukon",3,10.3358050489756,1,250,147250,-148.046267964333,-0.112429458876067,147.846965575558
"Yukon",4,21.6823080891449,1,250,449500,-141.409760087987,0.202391180780386,141.235376066427
"Yukon",5,47.5797424013727,1,250,530750,-123.868698405528,0.250449517286573,123.792663068842
"Yukon",6,110.528560410686,1,250,413750,-94.7843250444445,0.149999861353201,94.9502449636525
"Yukon",7,259.732773907805,1,250,342250,-66.5116323287659,0.115546167380872,66.2902147692065
"Yukon",8,619.033474453972,1,250,227750,-45.7128610615166,0.183981117888468,45.9688253578118
"Yukon",9,1361.6975492184,1,250,136750,-30.9493032212951,0.0527452006664329,30.8862022336337
"Yukon",10,3168.17003467951,1,250,71250,-20.625550073997,-0.168797021647857,20.8245041567345
"Yukon",11,7127.1231804231,1,250,87000,-13.4972973933886,-0.213689730439284,14.0016635376591
"Yukon",12,15643.750082815,1,250,33000,-9.23623669124212,0.153632873779849,9.82964751380436
"Yukon",13,53911.6892579212,1,250,34500,-4.66255023479009,-0.15105772448808,5.1716693493362
"Yukon",14,146843.23043349,1,250,49000,-1.89342693250178,-0.000160666380079405,1.63481166181455
