basin,stream_order,n_units,n_units_zero_prod,mean_CV,median_CV,sd_CV,mean_unit_reaches,mean_unit_production
Yukon,3,0,2122,NA,NA,NA,1,0
Yukon,4,612,70,0.5670571166049272,0.5215572131796545,0.2817710118050522,5.222873900293255,23.985439426172853
Yukon,5,220,0,0.5084401588985766,0.4912467489136937,0.21271799741777903,23.30909090909091,132.95310923003876
Yukon,6,76,0,0.45698431171463394,0.4401058327199977,0.19699386858329931,95.42105263157895,583.9169007829823
Yukon,7,24,0,0.45935071463063026,0.4250414998579187,0.2113150799694454,431.25,2677.110654459676
Yukon,8,8,0,0.32327425032393914,0.3389215824531394,0.09414935466520437,1840.75,12642.35485724106
