"basin","stream_order","n_tributaries","n_pairwise_values","median_tributary_length_km","q25_absolute_change","median_absolute_change","q75_absolute_change","mean_absolute_change"
"Kuskokwim",3,311,4607,65.5001895861812,6.13823103374868,13.9179897140476,21.9258463015994,22.9407154967191
"Kuskokwim",4,85,1268,253.878190997853,5.16960048396407,12.562418230672,20.4217011792411,17.715006619128
"Kuskokwim",5,24,360,1245.35965317019,4.15850805687548,10.2065612348856,17.8266731479631,12.9378426419704
"Kuskokwim",6,7,105,3394.62277052308,2.69725982574706,7.36894602645962,14.2139201473788,10.7579467193099
"Kuskokwim",7,1,15,49889.5748535092,5.55111512312578e-15,1.11022302462516e-14,2.22044604925031e-14,1.33226762955019e-14
"Kuskokwim",8,1,15,54152.6578994646,5.55111512312578e-15,1.11022302462516e-14,2.22044604925031e-14,1.33226762955019e-14
"Yukon",4,2164,12975,31.7815608455673,21.8762373897296,39.9096706913329,61.8541572878494,43.8863274284484
"Yukon",5,543,3258,149.88578914454,21.2034975903912,39.1334255112642,61.0018251647235,42.2819870484542
"Yukon",6,133,798,638.48149778384,20.8592964673711,38.6561962555598,58.0667340292973,40.4709290291475
"Yukon",7,29,174,2748.57445044198,19.9620732681744,36.8616519582975,57.0748004206129,38.8589687484289
"Yukon",8,8,48,13758.5196240721,18.53269274915,32.3531327395013,47.9996380977054,33.9694183864897
"Yukon",9,1,6,167220.231994557,3.33066907387547e-14,3.88578058618805e-14,6.93889390390723e-14,4.44089209850063e-14
