"basin","length_bin","n_catchments","n_pairwise_values","median_upstream_length_km","p05","p10","q25","median","q75","p90","p95","mean_absolute_change"
"Kuskokwim",1,15,225,10.0034605747989,-39.1081904766538,-21.6523636308079,-10.6129409613733,0.224250889048335,9.85217518989979,16.4491950110408,18.2380501406428,16.2612907304023
"Kuskokwim",2,100,1500,16.8090388410968,-30.1403233721984,-22.5805058273958,-11.4507854153655,0.955220984143524,9.74511144513264,16.9449486199187,19.9067169350421,13.9915592431588
"Kuskokwim",3,309,4635,30.2652540453895,-32.1964406319992,-21.8227525472914,-10.4710572985644,0.840415785199433,9.66133578084806,16.8760181285914,19.4469387353922,14.1515154907906
"Kuskokwim",4,506,7590,55.4014665924117,-26.7320522580973,-20.07443885392,-9.65877393348544,1.02286113674602,9.41457956517276,16.8871311869765,19.8029581883039,13.3017263301661
"Kuskokwim",5,558,8370,103.590829478536,-29.890752466384,-21.5290315060924,-10.6355834422348,0.138945719363703,9.25666430269722,17.4457410490871,20.7132327125268,14.3736277987167
"Kuskokwim",6,455,6825,193.92177441902,-31.2796206950527,-21.7595881977359,-10.4827363480897,0.138945719363703,9.46104433446838,17.6184691623534,20.4764291550834,14.0169068814502
"Kuskokwim",7,334,5010,384.573462003096,-27.1467309876177,-18.7054736141413,-9.73339150319229,0.573936552336251,8.9438171365029,16.9675229129655,19.7565677790962,12.0520028513109
"Kuskokwim",8,243,3645,753.939564302839,-30.31985412333,-21.2300428329499,-11.4250179962717,0.0909494230535206,10.0256791222409,17.6476855758384,21.5653883739949,14.1869224037855
"Kuskokwim",9,185,2775,1441.14990469256,-29.9597096836398,-25.6196051807685,-11.0761788091254,-0.655826191302748,7.78575595472916,17.1078999808871,21.6108285853589,11.746639960388
"Kuskokwim",10,124,1860,2432.89795499623,-29.7364811027125,-16.5099305360943,-4.13939911747043,-0.0816339206112034,5.07252399378151,9.02388759008998,14.6965537056498,8.03592535095287
"Kuskokwim",11,12,180,6847.98553381463,-23.577170966886,-8.7396858156853,-5.60785021730554,0.808460511541841,7.5729485181304,14.0302602514477,14.3427479671057,8.34046367328672
"Kuskokwim",12,36,540,12406.0868852939,-12.7051053450788,-10.3250953898176,-6.33505463370393,-1.41928007721615,4.17860466282606,9.184065448163,9.87574376265592,5.81230569347703
"Kuskokwim",13,56,840,15250.0504713728,-13.2870962913249,-10.2785261563536,-5.8369834498594,-1.23830597675453,6.40138711583845,9.59816474346352,11.5764259345999,6.5243246696309
"Kuskokwim",14,201,3015,43717.4499305404,-5.4439220451107,-3.63059381881065,-0.0321703218514733,-1.11022302462516e-14,0.961938715533585,6.15538417336828,7.90245060189548,2.25090958124865
"Yukon",1,7,42,2.14112699486324,-76.7581503429235,-48.3299818240116,8.43376971620006,20.9264585694736,42.8063199936101,53.7859961071826,56.8926697586697,35.3709063457543
"Yukon",2,50,300,4.18531355680236,-119.022628896053,-81.3192528953692,-55.4593494690982,0.346904236075844,34.2363643814807,54.2467522849868,65.6657627773798,47.8025817368106
"Yukon",3,589,3534,10.3358050489756,-106.370765599929,-78.8433502441071,-49.390961171781,8.36902013566409,40.361244965485,60.8493146589578,66.2001739437182,43.1333780195579
"Yukon",4,1798,10788,21.6823080891449,-81.9437757291149,-71.1700108711146,-24.9086848442037,12.8967209966771,44.5502671249164,63.101766949012,68.4669259824824,41.6982640038999
"Yukon",5,2123,12738,47.5797424013727,-82.3997319518663,-70.1986344323976,-26.6941734925965,12.0473612440157,44.9957065578957,63.3852813530642,70.0756812673076,42.2263517524456
"Yukon",6,1655,9930,110.528560410686,-81.836395333248,-67.3069025438618,-24.2787109970601,13.6941426578544,44.5580782289172,63.0283770392041,69.8372428630948,41.6124125383926
"Yukon",7,1369,8214,259.732773907805,-81.3794704869596,-69.4630755351933,-26.4050692915105,12.0154285947285,44.1938555153941,62.4927476711682,69.156405714878,41.6050172211438
"Yukon",8,911,5466,619.033474453972,-89.9426848719686,-70.8359163576549,-29.0496693618639,14.1468970270604,40.8446104136171,57.8435232228695,64.8860026669612,40.8910075684699
"Yukon",9,547,3282,1361.6975492184,-78.6094250704803,-56.5494415534726,-16.2986224039197,17.1649193003319,44.0111165941841,60.4616694368659,64.6843876320602,37.7047389050285
"Yukon",10,285,1710,3168.17003467951,-73.2386623520275,-49.1533674305824,-6.83576617189004,19.3803917038776,44.5481395099436,61.2206243723705,64.7160425003582,35.3033881257088
"Yukon",11,348,2088,7127.1231804231,-55.5560712371406,-36.5135015516231,1.44198982357244,15.8986402104452,44.8940933149782,58.6126797639494,63.3564576411635,33.3844249654674
"Yukon",12,132,792,15643.750082815,-37.8719848498516,-27.0590911532065,-5.00390033382958,15.8935387912501,43.4415129670111,50.2405227193884,58.2231173669812,28.9951150476056
"Yukon",13,138,828,53911.6892579212,5.99919509463439,9.22994581471015,13.4669463368836,27.2833883381308,45.6505718335851,53.3175951803408,53.6659420319351,29.2669158114056
"Yukon",14,196,1176,146843.23043349,-0.273812664423409,0.0163283670356276,3.41513771627164,11.1476675895834,24.4205694740458,34.5171359741021,46.9558948015731,14.7711236495444
