"basin","stream_order","assumed_cv","q25_cv","median_cv","q75_cv","n_values"
"Kuskokwim",3,0.25,0.100737015116265,0.142915089393039,0.200408297781699,77750
"Kuskokwim",4,0.25,0.0491579601791677,0.068773523480913,0.0959673650432713,21250
"Kuskokwim",5,0.25,0.0237120927374551,0.0321308194565903,0.044368762910064,6000
"Kuskokwim",6,0.25,0.014971394904426,0.020965766355826,0.0276971538658124,1750
"Kuskokwim",7,0.25,0.00455019114466592,0.00564987513579645,0.00680660891130579,250
"Kuskokwim",3,1,0.348136243115218,0.486625374121687,0.669078970357214,77750
"Kuskokwim",4,1,0.181075741652759,0.252131029932299,0.349558463860193,21250
"Kuskokwim",5,1,0.0906659052126284,0.123635747182492,0.170005083607777,6000
"Kuskokwim",6,1,0.0573513545717421,0.0793569595368006,0.108966162302015,1750
"Kuskokwim",7,1,0.0178773521136749,0.0224286308239341,0.0268574778506674,250
"Yukon",4,0.25,0.119995753679021,0.175166111261165,0.242420424118698,541000
"Yukon",5,0.25,0.058528817357763,0.0862697869190888,0.122496003356334,135750
"Yukon",6,0.25,0.03017085842177,0.044447856139146,0.0627185093511954,33250
"Yukon",7,0.25,0.0150425261771527,0.0216054827091301,0.0297175689128687,7250
"Yukon",8,0.25,0.00225986503869713,0.00344005170952612,0.00436751362440709,250
"Yukon",4,1,0.396512743964303,0.560746021124421,0.760617128183877,541000
"Yukon",5,1,0.210017176667906,0.306306451996338,0.429882493515162,135750
"Yukon",6,1,0.114378655185477,0.166899477661473,0.236905970054525,33250
"Yukon",7,1,0.0578151090529876,0.0831566004740664,0.117501744664735,7250
"Yukon",8,1,0.00889962075421425,0.0122315309094365,0.0168826441897594,250
