"basin","stream_order","n_distinct_tributaries","mean_anomaly_pct","median_anomaly_pct","q25_anomaly_pct","q75_anomaly_pct"
"Kuskokwim",3,311,39.7375082390202,13.4403416981511,0.359466936853381,31.1056784950242
"Kuskokwim",4,85,23.0084092217902,8.57216108880887,-5.99892718469076,20.4913903482443
"Kuskokwim",5,24,5.3649608532523,5.29407514851213,-4.22968279991958,15.8019031841792
"Kuskokwim",6,7,7.00312953826121,9.77391313921179,0.125505311211743,13.1437383780935
"Kuskokwim",7,1,2.22044604925031e-14,2.22044604925031e-14,2.22044604925031e-14,2.22044604925031e-14
"Yukon",4,2164,46.6963258860014,36.8317022341124,0.148762971527858,110.434402719236
"Yukon",5,543,37.8601082471363,34.5385973165761,-8.8254164712915,78.8773434600738
"Yukon",6,133,34.8789721532117,31.6678737329833,-3.94971443282192,72.511102412093
"Yukon",7,29,28.1437913298117,27.1130637305987,-15.2265277487912,68.9984120023034
"Yukon",8,1,4.44089209850063e-14,4.44089209850063e-14,4.44089209850063e-14,4.44089209850063e-14
