"basin","reachid","stream_order","observed_cv","n_years"
"Kuskokwim",8287,3,0.0839502780269465,6
"Kuskokwim",8340,3,0.0955888005742103,6
"Kuskokwim",8365,4,0.111327346729077,6
"Kuskokwim",8378,3,0.119381888263921,6
"Kuskokwim",8392,3,0.0726804288595891,6
"Kuskokwim",8446,3,0.098517297004423,6
"Kuskokwim",8447,4,0.102259620103368,6
"Kuskokwim",8453,3,0.0659148161637129,6
"Kuskokwim",8469,4,0.117672805179497,6
"Kuskokwim",8505,3,0.0984530647818897,6
"Kuskokwim",8539,4,0.118821506385807,6
"Kuskokwim",8543,4,0.169334912048146,6
"Kuskokwim",8560,4,0.0780574682787929,6
"Kuskokwim",8645,3,0.106885365220957,6
"Kuskokwim",8720,3,0.163623228274837,6
"Kuskokwim",8728,3,0.123994622432401,6
"Kuskokwim",8740,3,0.122071674541691,6
"Kuskokwim",8843,3,0.108929242604778,6
"Kuskokwim",8875,3,0.133718213822359,6
"Kuskokwim",8883,3,0.0979343769175561,6
"Kuskokwim",8889,3,0.104794717652048,6
"Kuskokwim",8924,4,0.158391838385723,6
"Kuskokwim",8959,3,0.117583902599679,6
"Kuskokwim",8977,3,0.120717403344468,6
"Kuskokwim",9071,3,0.0856315174604715,6
"Kuskokwim",9094,5,0.0756933841677406,6
"Kuskokwim",9104,3,0.0843359558588035,6
"Kuskokwim",9167,3,0.0973553496020658,6
"Kuskokwim",9201,4,0.103426562534938,6
"Kuskokwim",9300,3,0.0977184035950626,6
"Kuskokwim",9307,3,0.125183403851956,6
"Kuskokwim",9310,3,0.244446737875599,6
"Kuskokwim",9329,3,0.103557807784356,6
"Kuskokwim",9365,5,0.114843330100691,6
"Kuskokwim",9387,3,0.0903484485337867,6
"Kuskokwim",9402,3,0.0734171613472775,6
"Kuskokwim",9432,3,0.0793485637201001,6
"Kuskokwim",9443,4,0.0800687484265124,6
"Kuskokwim",9451,3,0.0833959226619549,6
"Kuskokwim",9495,4,0.08383861879176,6
"Kuskokwim",9540,4,0.0812751755054354,6
"Kuskokwim",9552,3,0.084292449549785,6
"Kuskokwim",9630,3,0.0875548730044599,6
"Kuskokwim",9669,4,0.0944704903300062,6
"Kuskokwim",9924,3,0.0801035741092116,6
"Kuskokwim",9927,6,0.0629684271481829,6
"Kuskokwim",9982,3,0.101984602396836,6
"Kuskokwim",10046,3,0.186195220954865,6
"Kuskokwim",10076,3,0.071063454794456,6
"Kuskokwim",10078,3,0.0861078229545805,6
"Kuskokwim",10158,3,0.129755331802426,6
"Kuskokwim",10175,3,0.150861490158029,6
"Kuskokwim",10202,3,0.119633390661577,6
"Kuskokwim",10252,5,0.0782171970099985,6
"Kuskokwim",10286,4,0.082508380635433,6
"Kuskokwim",10328,3,0.132987166241275,6
"Kuskokwim",10330,5,0.0441225455642366,6
"Kuskokwim",10345,3,0.0952129715083481,6
"Kuskokwim",10374,3,0.140373101946523,6
"Kuskokwim",10395,4,0.139940835461239,6
"Kuskokwim",10432,3,0.100146345291568,6
"Kuskokwim",10461,3,0.175218261376195,6
"Kuskokwim",10494,3,0.207506298375676,6
"Kuskokwim",10524,3,0.0796013962447338,6
"Kuskokwim",10587,4,0.0705878497005528,6
"Kuskokwim",10613,3,0.087706710783559,6
"Kuskokwim",10619,3,0.105311312800614,6
"Kuskokwim",10639,3,0.0889637455237685,6
"Kuskokwim",10641,3,0.145503730018911,6
"Kuskokwim",10646,3,0.0757502497168033,6
"Kuskokwim",10656,3,0.187174923083744,6
"Kuskokwim",10691,3,0.119899201546093,6
"Kuskokwim",10692,3,0.107716785402961,6
"Kuskokwim",10718,4,0.140590598451629,6
"Kuskokwim",10814,3,0.135188451109782,6
"Kuskokwim",10870,3,0.0999054847598045,6
"Kuskokwim",10871,3,0.086626555686987,6
"Kuskokwim",10886,3,0.106385098007981,6
"Kuskokwim",10889,4,0.0995494859372586,6
"Kuskokwim",10891,3,0.141761068731132,6
"Kuskokwim",10943,3,0.0862806755585019,6
"Kuskokwim",10948,4,0.0867274601396447,6
"Kuskokwim",10969,3,0.17031251324898,6
"Kuskokwim",11015,3,0.074417450000371,6
"Kuskokwim",11057,4,0.0749904974287918,6
"Kuskokwim",11070,3,0.195564997528497,6
"Kuskokwim",11093,3,0.164063067268713,6
"Kuskokwim",11131,3,0.105945347198477,6
"Kuskokwim",11153,3,0.0975532351249372,6
"Kuskokwim",11155,5,0.0931274189589497,6
"Kuskokwim",11186,3,0.0865911114421303,6
"Kuskokwim",11200,4,0.0660369636791212,6
"Kuskokwim",11220,3,0.0713496775944153,6
"Kuskokwim",11290,3,0.141390437229266,6
"Kuskokwim",11311,4,0.128518444496282,6
"Kuskokwim",11337,5,0.0197100282888653,6
"Kuskokwim",11386,3,0.23172770989264,6
"Kuskokwim",11459,3,0.0947714660841854,6
"Kuskokwim",11465,3,0.141759920279068,6
"Kuskokwim",11479,3,0.0824512333873503,6
"Kuskokwim",11514,3,0.101854669320076,6
"Kuskokwim",11522,5,0.0962095717135305,6
"Kuskokwim",11571,4,0.123346076067647,6
"Kuskokwim",11589,3,0.0964997409420757,6
"Kuskokwim",11607,4,0.0867202087183961,6
"Kuskokwim",11647,3,0.166252472428511,6
"Kuskokwim",11675,3,0.104209059040044,6
"Kuskokwim",11681,3,0.102741712781048,6
"Kuskokwim",11698,3,0.133613771207352,6
"Kuskokwim",11711,3,0.0904604223890584,6
"Kuskokwim",11730,3,0.139191472717664,6
"Kuskokwim",11741,4,0.159316159128764,6
"Kuskokwim",11771,3,0.0864234699856995,6
"Kuskokwim",11786,3,0.180661168220569,6
"Kuskokwim",11788,3,0.124396079048754,6
"Kuskokwim",11806,3,0.144236719932961,6
