"basin","stream_order","n_distinct_tributaries","q25_cv","median_cv","q75_cv","q25_cv_ratio_to_basin","median_cv_ratio_to_basin","q75_cv_ratio_to_basin"
"Kuskokwim",3,311,0.245132799674191,0.277083462130798,0.320231892452072,1.00359466936853,1.13440341698151,1.31105678495024
"Kuskokwim",4,85,0.229602117816079,0.26519269807524,0.294305985814825,0.940010728153092,1.08572161088809,1.20491390348244
"Kuskokwim",5,24,0.233923581875067,0.257185816326624,0.282851689048912,0.957703172000804,1.05294075148512,1.15801903184179
"Kuskokwim",6,7,0.244561337209709,0.268128034955963,0.276358994330624,1.00125505311212,1.09773913139212,1.13143738378093
"Kuskokwim",7,1,0.244254784482295,0.244254784482295,0.244254784482295,1,1,1
"Yukon",4,2164,0.27030629711974,0.369315303175627,0.567972509074447,1.00148762971528,1.36831702234112,2.10434402719236
"Yukon",5,543,0.246084557949919,0.363126103421432,0.482798498100818,0.911745835287085,1.34538597316576,1.78877343460074
"Yukon",6,133,0.259244310749387,0.355377883284595,0.465615709285537,0.960502855671781,1.31667873732983,1.72511102412093
"Yukon",7,29,0.228807652718805,0.34308423342515,0.456134790006802,0.847734722512088,1.27113063730599,1.68998412002303
"Yukon",8,1,0.269904778750575,0.269904778750575,0.269904778750575,1,1,1
