"basin","reachid","stream_order","year_earlier","year_later","upstream_length_km","length_bin","mean_catchment_share","pct_change"
"Kuskokwim",644,3,2017,2018,130.351818785815,5,0.000249807513544023,36.736749762989
"Kuskokwim",684,3,2017,2018,131.906264877196,5,0.000505415307217757,34.9334697525238
"Kuskokwim",699,3,2017,2018,134.525720283863,5,0.000763619744504028,33.5755269205965
"Kuskokwim",748,3,2017,2018,145.447905787125,5,0.00103550555218335,31.2971653917056
"Kuskokwim",760,8,2017,2018,54152.6578994646,14,1,1.11022302462516e-14
"Kuskokwim",864,7,2017,2018,49889.5748535092,14,1,1.11022302462516e-14
"Kuskokwim",967,7,2017,2018,49870.9218212581,14,1,1.11022302462516e-14
"Kuskokwim",995,7,2017,2018,49863.8590828144,14,1,1.11022302462516e-14
"Kuskokwim",1011,7,2017,2018,49858.3348355937,14,1,1.11022302462516e-14
"Kuskokwim",1014,3,2017,2018,151.569472729042,6,0.00133649685134798,28.5257150487522
"Kuskokwim",1063,7,2017,2018,49852.0278578856,14,1,1.11022302462516e-14
"Kuskokwim",1083,7,2017,2018,49845.7128124668,14,1,1.11022302462516e-14
"Kuskokwim",1107,3,2017,2018,15.8264847553668,2,0.000343521737475554,14.2941271713138
"Kuskokwim",1117,3,2017,2018,17.991750941971,2,0.000686089282180244,13.8462762299624
"Kuskokwim",1123,7,2017,2018,49839.5160255319,14,1,1.11022302462516e-14
"Kuskokwim",1140,4,2017,2018,170.468046001189,6,0.00239009642261591,21.5845283888543
"Kuskokwim",1175,5,2017,2018,434.229994189429,7,0.00821113208536837,31.864274046511
"Kuskokwim",1185,5,2017,2018,435.810671135528,7,0.00843417582947518,32.7285476198933
"Kuskokwim",1198,7,2017,2018,49834.6542411861,14,1,1.11022302462516e-14
"Kuskokwim",1233,5,2017,2018,438.46224846601,7,0.00866110267109497,33.4814909202776
"Kuskokwim",1250,3,2017,2018,34.7469777990647,3,0.000229430769554079,22.6407334099481
"Kuskokwim",1260,3,2017,2018,54.0375836250906,4,0.000418114811754622,6.39016960705368
"Kuskokwim",1263,3,2017,2018,93.0926837091639,5,7.59135768050644e-05,119.796706940939
"Kuskokwim",1289,5,2017,2018,442.592935808039,7,0.00888987863731,34.1732453504045
"Kuskokwim",1304,3,2017,2018,44.0921575065446,4,0.000462686133499271,22.734521862012
"Kuskokwim",1333,5,2017,2018,449.824734703346,7,0.00912450595942917,34.7405657277587
"Kuskokwim",1345,4,2017,2018,262.905869228493,6,0.00560105915799182,34.9621003714862
"Kuskokwim",1353,7,2017,2018,49829.6267037685,14,1,1.11022302462516e-14
"Kuskokwim",1400,3,2017,2018,16.8938796878553,2,2.98471415326838e-05,165.759891410102
"Kuskokwim",1427,3,2017,2018,18.922116180125,2,0.00032554303716763,9.92785324562336
"Kuskokwim",1436,3,2017,2018,58.7252592368531,4,0.000847607925387047,6.73197380646886
"Kuskokwim",1453,3,2017,2018,95.221036570644,5,0.000166491495033047,118.344281099598
"Kuskokwim",1459,4,2017,2018,129.423612718476,5,0.00145930970454328,27.6079031018178
"Kuskokwim",1479,7,2017,2018,49821.9718819151,14,1,1.11022302462516e-14
"Kuskokwim",1484,4,2017,2018,256.13380951576,6,0.00539204678468194,34.327127383211
"Kuskokwim",1491,4,2017,2018,138.229218329306,5,0.00157441236978002,34.2454223916715
"Kuskokwim",1492,3,2017,2018,32.3195545674392,3,0.00120053873049544,7.57581916778525
"Kuskokwim",1495,4,2017,2018,253.330653187461,6,0.00518606823374352,33.5699605173407
"Kuskokwim",1502,3,2017,2018,26.734113399943,3,0.000666536174799738,12.7528915877052
"Kuskokwim",1514,3,2017,2018,31.0123087220431,3,0.000795801386554841,7.46908377335557
