"basin","stream_order","n_distinct_tributaries","q25_cv","median_cv","q75_cv"
"Kuskokwim",3,311,0.0943295245890288,0.108130340628617,0.147548941933765
"Kuskokwim",4,85,0.087293940029062,0.107243593360955,0.139940835461239
"Kuskokwim",5,24,0.0788396893035637,0.0936277328559435,0.136096353172953
"Kuskokwim",6,7,0.0498838451828271,0.0668791776442173,0.125943420786233
"Kuskokwim",7,1,1.21618838889762e-16,1.21618838889762e-16,1.21618838889762e-16
"Yukon",4,2164,0.27740738952186,0.336620005709029,0.438920562795581
"Yukon",5,543,0.27503189665181,0.319960157205709,0.415734402458024
"Yukon",6,133,0.274422797466888,0.321917120568529,0.398526504840287
"Yukon",7,29,0.265132884155141,0.300488332151996,0.38321122581446
"Yukon",8,1,3.73756763996168e-16,3.73756763996168e-16,3.73756763996168e-16
