"basin","stream_order","assumed_cv","q25_cv","median_cv","q75_cv","n_values","q25_cv_ratio_to_basin","median_cv_ratio_to_basin","q75_cv_ratio_to_basin"
"Kuskokwim",3,0.25,0.225975396214107,0.274515137303899,0.332790214001831,78000,0.925162619406079,1.12388847524826,1.36247162857911
"Kuskokwim",4,0.25,0.224198357945394,0.250778145190082,0.280037635695034,21250,0.917887272589516,1.02670719724739,1.14649805648058
"Kuskokwim",5,0.25,0.231893936207252,0.245500902047428,0.259675571100194,6000,0.94939362886487,1.00510171200034,1.06313402069312
"Kuskokwim",6,0.25,0.236182564610295,0.244510615040594,0.253789228771206,1750,0.966951640725853,1.00104739220909,1.03903483122806
"Kuskokwim",7,0.25,0.241566479276544,0.243877674298858,0.246224516520467,250,0.988993848323385,0.998456078622017,1.00806425160656
"Kuskokwim",3,1,0.390886951560123,0.529590168088732,0.71456380345049,78000,1.60032464620343,2.16818749000644,2.92548539004069
"Kuskokwim",4,1,0.262275909420966,0.339527455160226,0.440486474741313,21250,1.07378002841118,1.39005447070306,1.80338934066302
"Kuskokwim",5,1,0.22550847814295,0.267887174767796,0.320828615288275,6000,0.923251016846701,1.09675302916007,1.3134998193312
"Kuskokwim",6,1,0.22169088638941,0.251353017441872,0.285374550263668,1750,0.907621469357458,1.02906077346498,1.16834784165447
"Kuskokwim",7,1,0.23542395102331,0.245319359571026,0.254176147239799,250,0.963845811750621,1.00435846155885,1.04061890856522
"Yukon",4,0.25,0.265302138732878,0.321788137142041,0.383524625107104,541000,0.982947171076396,1.19222838006663,1.42096270722768
"Yukon",5,0.25,0.256950164814642,0.284600069025514,0.314122205046287,135750,0.952003021228813,1.05444620263104,1.16382602227497
"Yukon",6,0.25,0.260211356882527,0.274299122020126,0.28870044679565,33250,0.964085771608343,1.01628108731492,1.06963814472676
"Yukon",7,0.25,0.264356721023393,0.271203056439024,0.277963071646087,7250,0.979444388673424,1.00481013227872,1.02985605861747
"Yukon",8,0.25,0.269161148566177,0.270182176691625,0.271186063495944,250,0.997244842466886,1.00102776224391,1.00474717324866
"Yukon",4,1,0.443412599968697,0.607257052055222,0.808353829386885,541000,1.64284827419993,2.24989366570794,2.9949593079784
"Yukon",5,1,0.305632989215868,0.404095940793294,0.52005394353186,135750,1.13237338972168,1.49717964485071,1.92680524568427
"Yukon",6,1,0.263473242505095,0.317856038282374,0.378966463322713,33250,0.976171091615153,1.17765991307665,1.40407467061902
"Yukon",7,1,0.256859865176793,0.28324830848573,0.311156699243469,7250,0.951668460135578,1.04943791583433,1.1528387925692
"Yukon",8,1,0.266238443419622,0.270373320350118,0.274161385990177,250,0.98641618963575,1.00173595147782,1.01577077389777
