"basin","stream_order","assumed_cv","n_simulations","n_values","p05","median","p95","q25_absolute_change","median_absolute_change","q75_absolute_change"
"Kuskokwim",3,0.25,250,379250,-39.5178529980048,0.0348167956432602,39.2838658111211,6.54938240242234,14.2108583288896,25.617583085173
"Kuskokwim",4,0.25,250,196000,-17.996652647521,0.0188630589260314,18.1905268420404,3.08712175363094,6.60441330011246,11.8131121095593
"Kuskokwim",5,0.25,250,121500,-8.61799553380526,0.172390070837395,8.86475789478136,1.52924896108525,3.32494071410164,5.81597364825064
"Kuskokwim",6,0.25,250,13500,-5.41420660466278,0.100445384049712,5.75953938039657,1.00941983939957,2.16647853814743,3.82863644661575
"Kuskokwim",7,0.25,250,73000,-1.64267086053007,0.00785454184153411,1.48810524433507,0.149018814911406,0.365672182476226,0.833550532331043
"Kuskokwim",8,0.25,250,250,-1.11022302462516e-13,0,1.33226762955019e-13,2.22044604925031e-14,4.44089209850063e-14,8.88178419700125e-14
"Kuskokwim",3,1,250,379250,-119.2114493107,0.0753402538594149,119.050402927802,22.7570909462781,48.7289539926479,84.0254649593754
"Kuskokwim",4,1,250,196000,-64.3682698173977,0.185069401812785,64.5262072066995,11.369464757122,24.5207446155873,43.0962977555446
"Kuskokwim",5,1,250,121500,-32.3446880194784,-0.593341751140641,33.8196935686352,5.93154490223176,12.5673016805664,21.9458334581342
"Kuskokwim",6,1,250,13500,-19.8324285318572,0.034595558094141,21.4523679798969,3.96814933336923,8.08182320005529,14.1925523137512
"Kuskokwim",7,1,250,73000,-6.6017483367363,-0.0709519112200671,6.51505367590331,0.558069855019283,1.37921005079472,3.39280389726667
"Kuskokwim",8,1,250,250,-1.11022302462516e-13,0,8.88178419700125e-14,2.22044604925031e-14,4.44089209850063e-14,7.77156117237609e-14
"Yukon",4,0.25,250,1180750,-47.4795423780778,0.00431479837578187,47.6235531385965,8.53730282823715,18.3429278872346,32.2598290153413
"Yukon",5,0.25,250,660500,-24.4462173628927,-0.0419546025301202,24.428248180027,4.23672439379591,9.1372710456057,16.166601873088
"Yukon",6,0.25,250,341500,-12.6033782985398,0.00197660312199805,12.5091389254681,2.20072756414666,4.70440039683483,8.32048028812919
"Yukon",7,0.25,250,163250,-6.34069153563402,0.029526282260991,6.40589966446151,1.09434460554305,2.37803571841166,4.20782542824378
"Yukon",8,0.25,250,104500,-3.18671005114157,-0.0022283680008074,3.18992688415972,0.55419358890862,1.20826355091755,2.1230045154652
"Yukon",9,0.25,250,86500,-0.888977507161263,-0.00259149265139313,0.936472448984251,0.0792263823532636,0.217421867350381,0.49850319722146
"Yukon",4,1,250,1180750,-135.425156417591,0.208218053248465,135.30757810821,29.1257789815805,61.0369260621522,100.820242385832
"Yukon",5,1,250,660500,-82.187175596639,0.121861391886656,82.4274915693069,15.233511416895,32.5353876566603,56.5976339494348
"Yukon",6,1,250,341500,-46.5657876398421,0.165760384832168,46.5382966161529,8.33328944511571,17.8443353208468,31.2108648046437
"Yukon",7,1,250,163250,-24.7289180730522,0.017546658782386,24.7505022593044,4.40040462913166,9.33694927001341,16.5572100738414
"Yukon",8,1,250,104500,-12.4999750453662,-0.179421978879765,12.7143414948944,2.32473678067537,4.95275933195006,8.59494548317467
"Yukon",9,1,250,86500,-3.50195757617144,-0.0112751620812809,3.98701765353314,0.322229934723463,0.864510743646125,2.08737715059701
