"basin","length_bin","n_tributaries","n_pairwise_values","min_upstream_length_km","median_upstream_length_km","max_upstream_length_km","p05","p15","q25","median","q75","p85","p95"
"Kuskokwim",1,3,45,6.86594964526797,7.6480374430105,8.9112908853937,-21.9726778764427,-15.1646537921878,-7.14522666031829,1.61877649388789,12.9478708485983,16.250567421374,21.1630740395886
"Kuskokwim",2,28,414,14.7392927406128,20.8917252308496,24.3372571577143,-33.1728962792686,-22.4376547730518,-15.1547513920883,-1.56016928268968,12.1111300147919,18.5495540999966,28.5946625899846
"Kuskokwim",3,67,981,24.8462538423581,34.9186165711142,46.6221257136402,-65.9106705965406,-23.2054696117355,-15.2935566494056,-0.338826665958349,13.2138460255206,19.0336699076562,28.6385190281836
"Kuskokwim",4,108,1607,47.025191439849,63.6189454755383,88.9221618122674,-47.7649019117916,-21.2428846482521,-14.7931634463454,0.100476824325018,13.396224656417,19.3401778186534,29.0938076476301
"Kuskokwim",5,97,1443,90.5018644890151,117.85013497841,167.451346934694,-38.301866073554,-20.3432516378213,-13.2051733339633,-0.796688963605296,12.6356216237938,18.100587316864,26.9848774797906
"Kuskokwim",6,57,846,169.22784171288,204.54528726398,318.089065161174,-42.7340979856708,-21.9230520119237,-14.3633404599069,-0.660148042612956,12.98202338079,19.3990294660332,28.6524274584197
"Kuskokwim",7,26,390,325.42284579836,416.053484967502,590.773810346584,-29.4840144876056,-18.7945258270478,-13.7156725439155,0.832135860299413,11.8005067404932,18.4071622237984,25.2484319524325
"Kuskokwim",8,20,299,622.648647969208,798.448770733939,1150.42374223643,-41.9509287334724,-20.0223957310104,-11.7237271328515,0.172661061744568,10.735968909683,17.2214250555211,24.9631931661539
"Kuskokwim",9,8,120,1207.1586788611,1493.64712468407,2172.59933781992,-65.7013371400888,-21.6182098520185,-10.5945388058997,-1.7877672281082,7.32305114105701,14.8993814952978,20.607073489883
"Kuskokwim",10,10,150,2306.89819291034,2780.14965054608,3556.23863753903,-27.3907944269068,-13.4022712224869,-6.57405994544083,0.332524189500704,6.17728316822352,10.6746501919496,21.4442397501346
"Kuskokwim",11,3,45,4384.92257417943,5293.92380056433,7056.99619347726,-51.0095501355354,-32.0724524644656,-13.5548321906924,-1.27987947698046,8.77084431653601,15.593250928946,18.9371205691233
"Kuskokwim",14,1,15,54152.6578994646,54152.6578994646,54152.6578994646,-1.11022302462516e-14,0,0,1.11022302462516e-14,2.22044604925031e-14,2.22044604925031e-14,3.33066907387547e-14
"Yukon",1,13,78,2.16744550322285,3.61194231926014,4.55363937526364,-81.346236540429,-60.1364502386743,-37.6425486675807,15.7916327427747,40.5811151082745,54.3558299481194,73.2873147040829
"Yukon",2,150,900,4.87714481587785,8.80232285436395,10.7154382360029,-94.7863733945732,-60.3623319555401,-39.9091087452745,7.16927315887913,42.2651941221035,54.6138800642215,74.1056430091726
"Yukon",3,599,3587,10.8200290370462,17.6748817957562,24.1242063398664,-77.9735420815203,-50.4296792906313,-27.3574101554343,17.2864768609945,46.6410927637827,60.4549675730566,76.720144822226
"Yukon",4,911,5464,24.1742968027916,35.2852700679866,53.9913945668881,-74.3296880329598,-43.7468057054866,-25.7548790523911,17.4406625082644,48.6603167747782,61.2474067053903,77.7636076483645
"Yukon",5,618,3708,54.1311065489417,76.1313246783957,120.553449071533,-92.1630876366141,-58.1469878318312,-31.0134175868411,11.9993529032451,44.7356754585222,57.9949901042616,75.2459530319117
"Yukon",6,308,1848,120.919079278726,169.607224818852,268.10388008413,-76.4220148734831,-51.1303504187556,-26.735009506745,16.0404458693706,46.1878002577545,58.0964953196468,76.6617583653133
"Yukon",7,153,918,271.263392866722,376.618579688975,598.263750651803,-71.6055567651054,-51.8742999409511,-27.0516314174897,13.8520465641456,45.4782729896473,57.5908839868719,73.6684661498041
"Yukon",8,73,438,614.487233012022,769.170018564397,1332.00426223908,-92.1695781446653,-59.8090049253697,-37.4408119883899,8.4642958071381,41.769386097191,54.8566512362675,74.8456431188888
"Yukon",9,30,180,1410.38125054867,1730.83872940395,2851.09870916467,-67.7125471359788,-48.4852291345164,-20.5773566115062,21.224156328282,46.4342021367501,50.9235141930444,67.4256643438197
"Yukon",10,12,72,3025.81934631999,3525.23699449128,5921.70527337676,-62.07871145718,-33.8267383437272,-13.4053084863275,24.7116956406643,48.8822746123753,62.6383754760235,69.7986434049352
"Yukon",11,2,12,7418.91770297862,10349.4055577853,13279.893412592,-76.7657998375808,-59.0687181016254,-45.8819608967822,-16.0739169829404,24.4107756981113,33.8306294904417,48.7825998925997
"Yukon",14,1,6,167220.231994557,167220.231994557,167220.231994557,-7.7715611723761e-14,-7.7715611723761e-14,-6.66133814775094e-14,-3.33066907387547e-14,-8.32667268468868e-15,1.11022302462516e-14,3.33066907387547e-14
