"basin","stream_order","reachid","absolute_cv","basin_cv","cv_ratio_to_basin","anomaly_pct"
"Kuskokwim",3,1014,0.216505801062504,0.244254784482295,0.886393286098344,-11.3606713901656
"Kuskokwim",3,1117,0.241871953747755,0.244254784482295,0.990244486962292,-0.97555130377085
"Kuskokwim",3,1436,0.174147657677981,0.244254784482295,0.712975420510561,-28.7024579489439
"Kuskokwim",3,1453,0.620411727841662,0.244254784482295,2.54001873149238,154.001873149238
"Kuskokwim",3,1492,0.179902728236511,0.244254784482295,0.736537172108297,-26.3462827891703
"Kuskokwim",3,1502,0.242095381027585,0.244254784482295,0.99115921737506,-0.884078262494037
"Kuskokwim",3,1593,0.205017686529365,0.244254784482295,0.839359961623295,-16.0640038376705
"Kuskokwim",3,1616,1.0562074538293,0.244254784482295,4.32420374515063,332.420374515063
"Kuskokwim",3,1676,0.227912893869075,0.244254784482295,0.933094900687996,-6.69050993120038
"Kuskokwim",3,1770,0.388583182393156,0.244254784482295,1.59089281799237,59.0892817992367
"Kuskokwim",3,1837,0.230217322384086,0.244254784482295,0.942529428326403,-5.74705716735968
"Kuskokwim",3,1858,0.241871118026337,0.244254784482295,0.990241065447254,-0.97589345527459
"Kuskokwim",3,2022,0.199003684689746,0.244254784482295,0.814738123191899,-18.5261876808101
"Kuskokwim",3,2114,0.203972143986042,0.244254784482295,0.835079420934853,-16.4920579065147
"Kuskokwim",3,2158,0.244690534546228,0.244254784482295,1.0017839980693,0.178399806929863
"Kuskokwim",3,2244,0.488892633175799,0.244254784482295,2.00156829767745,100.156829767745
"Kuskokwim",3,2865,0.259919432154252,0.244254784482295,1.06413240872706,6.41324087270558
"Kuskokwim",3,2951,0.275479529278701,0.244254784482295,1.12783677856132,12.7836778561321
"Kuskokwim",3,2991,0.259262607501511,0.244254784482295,1.06144331236347,6.1443312363465
"Kuskokwim",3,3047,0.252312364514693,0.244254784482295,1.0329884225174,3.29884225174
"Kuskokwim",3,3081,0.2053424167614,0.244254784482295,0.840689434995629,-15.9310565004371
"Kuskokwim",3,3144,0.249068166617934,0.244254784482295,1.01970639857001,1.97063985700068
"Kuskokwim",3,3297,0.224493386747141,0.244254784482295,0.919095145763312,-8.0904854236688
