"basin","stream_order","n_catchments","n_pairwise_values","p05","p10","q25","median","q75","p90","p95","q25_absolute_change","median_absolute_change","q75_absolute_change","mean_absolute_change"
"Kuskokwim",3,1517,22755,-31.6170450924089,-17.4310450998361,-10.3608001343629,0.71146432516489,9.72883510128133,15.1098860044791,20.4723313017169,4.54466736018842,10.0122696422213,17.3422978460501,14.6637858668383
"Kuskokwim",4,784,11760,-27.4654308391883,-16.1276738025186,-10.1173978236238,0.13959479948533,8.61295628070645,13.2191598257775,19.8222600788219,4.19727470892094,9.34454374385915,16.3599369479456,12.224520483234
"Kuskokwim",5,486,7290,-30.0540131899338,-16.686240568697,-10.4469144561075,-0.275960411842052,8.08152793743181,13.0133549994104,20.5879209159051,3.84284357014583,9.02060109211336,16.787901029854,11.463598671685
"Kuskokwim",6,54,810,-31.4070912881698,-9.66562017062153,-5.25371025195984,-0.25174892559942,5.61313627340579,11.3897319576216,16.8281428562158,1.55817258915801,5.35588979785822,13.7739744449254,9.01680854024125
"Kuskokwim",7,292,4380,-9.08651892456539,-4.16887121284294,-2.23903258114032,-1.11022302462516e-14,2.73567941573629,5.93227156061711,9.85019757422544,2.22044604925031e-14,2.52832142429152,6.1633716103553,3.51725346676535
"Kuskokwim",8,1,15,-2.22044604925031e-14,-2.1094237467878e-14,-1.11022302462516e-14,-1.11022302462516e-14,0,0,1.11022302462516e-14,5.55111512312578e-15,1.11022302462516e-14,1.11022302462516e-14,1.03620815631681e-14
"Yukon",4,4723,28338,-87.901499359076,-56.5252302085298,-29.778367829149,11.0239941423919,43.1729269738231,55.0068985217014,69.4159984949634,17.8778360151326,39.7041299036218,60.8182640011811,42.9141846387661
"Yukon",5,2642,15852,-81.5178073335855,-52.8380379987898,-23.97066679277,13.0337392105289,45.1916243529035,55.2700996168499,69.2504805955332,17.2167840201298,38.7342415728927,59.1123969477943,41.2229812574163
"Yukon",6,1366,8196,-79.6403154045125,-53.1275917319693,-22.3658894626927,15.2197321333589,42.4674733971501,52.2543281531314,64.9236095397201,17.4093752016132,35.4045627351786,56.567197021816,39.3580400679617
"Yukon",7,653,3918,-74.6839595003081,-32.913938166955,-9.10305762641197,16.7463630506045,44.8499190621131,53.2965262546173,64.8212852071465,15.3111960404125,30.249325499649,53.7378036244932,36.016389151215
"Yukon",8,418,2508,-34.6024151137134,-13.5348843731388,4.57650152135756,19.8612154997439,45.4343149725489,53.4433349834014,61.0162413943192,13.6730638711099,29.0526712086788,46.4184980481608,30.238993882782
"Yukon",9,346,2076,0.00600830109579888,3.28798897779302,7.37813687333413,16.0155966081385,32.5206553224254,45.4300112833694,53.2773461188854,7.37813687333413,16.0155966081385,32.5206553224254,21.0676312767531
