Name,reachid,rid
Johnson,6663,6662
Swift,7293,7292
Kisaralik,7623,7622
Tuluksak,9927,9926
Aniak,11994,11993
Holokuk,11537,11536
Oskakawlik,12572,12571
Holitna and Hoholitna,12179,
Stony,12630,
Kwethluk,13154,
Takotna and Nixon Fork,15726,
Big River ,15675,
S. Fork Kusko,15739,
N. Fork Kusko,15980,
E. Fork Kuskokwim,15918,
George,13472,
Tatlawiksuk,1330,
