stream_order,n_groups,mean_cv,median_cv,sd_cv,min_cv,max_cv
3,493,0.3117461837090478,0.24654346116176812,0.31684030536559343,0.10644560279690042,2.236063049702852
4,410,0.2791206549995794,0.2461742372310995,0.2251661074940727,0.10125076626817714,2.236063049702852
5,184,0.24470041470548703,0.23290032432299285,0.14415191984742579,0.10791790198813231,1.9776840533070714
6,64,0.22683574476314391,0.22727089693645292,0.039459433402195876,0.14531363359747593,0.3590262405203551
7,9,0.22705763195858322,0.2319315907152833,0.022875549541902792,0.18866429104844648,0.2589120533854569
8,3,0.2121617484965647,0.20483920230227745,0.016473424457674146,0.2006191092259296,0.231026933961487
