focal_reach,stream_order,Year_2017,Year_2018,Year_2019,Year_2020,Year_2021
2204,3,0,0,0,0,0
2213,3,0,0,0,0,0
2215,3,0,0,0,0,0
2219,3,0,0,0,0,0
2221,3,0,0,0,0,0
2222,3,0,0,0,0,0
2226,3,0,0,0,0,0
2227,3,0,0,0,0,0
2230,3,0,0,0,0,0
2233,3,0,0,0,0,0
2240,3,0,0,0,0,0
2245,3,0,0,0,0,0
2250,3,0,0,0,0,0
2254,3,0,0,0,0,0
2258,3,0,0,0,0,0
2262,3,0,0,0,0,0
2265,3,0,0,0,0,0
2266,3,0,0,0,0,0
2271,3,0,0,0,0,0
2272,3,0,0,0,0,0
2275,3,0,0,0,0,0
2277,3,0,0,0,0,0
2279,3,0,0,0,0,0
2281,3,0,0,0,0,0
2285,3,0,0,0,0,0
2297,3,0,0,0,0,0
2303,3,0,0,0,0,0
2304,3,0,0,0,0,0
2305,3,0,0,0,0,0
2308,3,0,0,0,0,0
2319,3,0,0,0,0,0
2324,3,0,0,0,0,0
2328,3,0,0,0,0,0
2333,3,2.260324406757838,2.649756685610154,3.2168468448500587,1.8900172225055392,1.8893670654823649
2343,3,0,0,0,0,0
2344,3,0,0,0,0,0
2345,3,0,0,0,0,0
2346,3,0,0,0,0,0
2348,3,0,0,0,0,0
2350,3,0,0,0,0,0
2351,3,0,0,0,0,0
2357,3,0,0,0,0,0
2358,3,0,0,0,0,0
2360,3,0,0,0,0,0
2362,3,0,0,0,0,0
2363,3,0,0,0,0,0
2364,3,0,0,0,0,0
2366,3,0,0,0,0,0
2370,3,0,0,0,0,0
2377,3,0,0,0,0,0
2380,3,0,0,0,0,0
2385,3,0,0,0,0,0
2387,3,0,0,0,0,0
2395,3,0,0,0,0,0
2400,3,0,0,0,0,0
2407,3,0,0,0,0,0
2410,3,0,0,0,0,0
2412,3,0,0,0,0,0
2413,3,0,0,0,0,0
2422,3,0,0,0,0,0
2423,3,0,0,0,0,0
2430,3,0,0,0,0,0
2431,3,0,0,0,0,0
2432,3,0,0,0,0,0
2434,3,0,0,0,0,0
2437,3,34.084100423395896,36.047961058318016,55.75359480330542,34.10900088330251,33.63106584696738
2439,3,0,0,0,0,0
2448,3,0,0,0,0,0
2449,3,0,0,0,0,0
2451,3,0,0,0,0,0
2457,3,0,0,0,0,0
2463,3,0,0,0,0,0
2465,3,0,0,0,0,0
2470,3,0,0,0,0,0
2471,3,0,0,0,0,0
2472,3,0,0,0,0,0
2475,3,0,0,0,0,0
2476,3,0,0,0,0,0
2484,3,0,0,0,0,0
2485,3,0,0,0,0,0
2488,3,0,0,0,0,0
2489,3,0,0,0,0,0
2496,3,0,0,0,0,0
2497,3,0,0,0,0,0
2500,3,0,0,0,0,0
2507,3,0,0,0,0,0
2515,3,0,0,0,0,0
2516,3,0,0,0,0,0
2522,3,0,0,0,0,0
2523,3,0,0,0,0,0
2524,3,0,0,0,0,0
2529,3,0,0,0,0,0
2534,3,0,0,0,0,0
2538,3,0,0,0,0,0
2544,3,0,0,0,0,0
2553,3,0,0,0,0,0
2554,3,0,0,0,0,0
2555,3,0,0,0,0,0
2563,3,0,0,0,0,0
2566,3,0,0,0,0,0
2567,3,0,0,0,0,0
2572,3,0,0,0,0,0
2573,3,0,0,0,0,0
2575,3,0,0,0,0,0
2578,3,0,0,0,0,0
2579,3,0,0,0,0,0
2586,3,0,0,0,0,0
2588,3,0,0,0,0,0
2595,3,0,0,0,0,0
2600,3,28.198445349184304,36.11893403854724,30.644200114954764,18.468123268273605,23.124122392906603
2605,3,0,0,0,0,0
2607,3,0,0,0,0,0
2609,3,0,0,0,0,0
2615,3,0,0,0,0,0
2619,3,0,0,0,0,0
2620,3,0,0,0,0,0
2622,3,0,0,0,0,0
2624,3,0,0,0,0,0
2628,3,0,0,0,0,0
2631,3,0,0,0,0,0
2646,3,0,0,0,0,0
2650,3,0,0,0,0,0
2654,3,0,0,0,0,0
2655,3,0,0,0,0,0
2662,3,0,0,0,0,0
2663,3,67.9711395220355,78.064972009785,101.07908971903753,59.872948062400795,65.114798037547
2664,3,0,0,0,0,0
2667,3,0,0,0,0,0
2668,3,0,0,0,0,0
2669,3,0,0,0,0,0
2671,3,125.59442143534162,145.07573345086374,186.83952739326585,113.91760884826252,92.2810816460697
2672,3,0,0,0,0,0
2674,3,0,0,0,0,0
2676,3,0,0,0,0,0
2677,3,0,0,0,0,0
2680,3,0,0,0,0,0
2682,3,0,0,0,0,0
2683,3,0,0,0,0,0
2691,3,0,0,0,0,0
2692,3,134.9826866646734,150.63296269035817,193.42272073151813,114.58648799091064,97.51066171783586
2693,3,0,0,0,0,0
2695,3,0,0,0,0,0
2697,3,0,0,0,0,0
2701,3,0,0,0,0,0
2702,3,0,0,0,0,0
2703,3,0,0,0,0,0
2708,3,0,0,0,0,0
2709,3,0,0,0,0,0
2710,3,0,0,0,0,0
2718,3,0,0,0,0,0
2721,3,0,0,0,0,0
2722,3,0,0,0,0,0
2723,3,0,0,0,0,0
2724,3,0,0,0,0,0
2732,3,0,0,0,0,0
2740,3,0,0,0,0,0
2744,3,0,0,0,0,0
2746,3,0,0,0,0,0
2748,3,0,0,0,0,0
2753,3,0,0,0,0,0
2754,3,0,0,0,0,0
2755,3,0,0,0,0,0
2757,3,0,0,0,0,0
2759,3,0,0,0,0,0
2762,3,0,0,0,0,0
2763,3,0,0,0,0,0
2767,3,0,0,0,0,0
2770,3,0,0,0,0,0
2772,3,0,0,0,0,0
2775,3,0,0,0,0,0
2777,3,0,0,0,0,0
2783,3,0,0,0,0,0
2784,3,0,0,0,0,0
2793,3,0,0,0,0,0
2795,3,0,0,0,0,0
2804,3,0,0,0,0,0
2807,3,0,0,0,0,0
2808,3,0,0,0,0,0
2811,3,0,0,0,0,0
2812,3,0,0,0,0,0
2814,3,0,0,0,0,0
2816,3,0,0,0,0,0
2820,3,0,0,0,0,0
2822,3,0,0,0,0,0
2823,3,0,0,0,0,0
2824,3,0,0,0,0,0
2829,3,0,0,0,0,0
2832,3,0,0,0,0,0
2834,3,0,0,0,0,0
2840,3,0,0,0,0,0
2841,3,0,0,0,0,0
2848,3,0,0,0,0,0
2850,3,0,0,0,0,0
2852,3,0,0,0,0,0
2853,3,0,0,0,0,0
2854,3,0,0,0,0,0
2855,3,0,0,0,0,0
2856,3,49.09301536169323,113.41246386900713,64.322653466034,55.69855614541867,54.10547015542726
2857,3,0,0,0,0,0
2864,3,0,0,0,0,0
2874,3,0,0,0,0,0
2875,3,0,0,0,0,0
2885,3,0,0,0,0,0
2887,3,0,0,0,0,0
2888,3,0,0,0,0,0
2889,3,0,0,0,0,0
2894,3,0,0,0,0,0
2895,3,0,0,0,0,0
2897,3,0,0,0,0,0
2898,3,0,0,0,0,0
2899,3,0,0,0,0,0
2902,3,0,0,0,0,0
2903,3,0,0,0,0,0
2904,3,0,0,0,0,0
2906,3,0,0,0,0,0
2917,3,0,0,0,0,0
2935,3,0,0,0,0,0
2938,3,0,0,0,0,0
2940,3,0,0,0,0,0
2947,3,0,0,0,0,0
2950,3,0,0,0,0,0
2954,3,0,0,0,0,0
2955,3,0,0,0,0,0
2963,3,0,0,0,0,0
2966,3,0,0,0,0,0
2970,3,0,0,0,0,0
2972,3,0,0,0,0,0
2976,3,0,0,0,0,0
2979,3,0,0,0,0,0
2982,3,0,0,0,0,0
2985,3,0,0,0,0,0
2987,3,0,0,0,0,0
2989,3,0,0,0,0,0
2994,3,0,0,0,0,0
2995,3,0,0,0,0,0
3001,3,0,0,0,0,0
3004,3,0,0,0,0,0
3009,3,0,0,0,0,0
3011,3,0,0,0,0,0
3015,3,0,0,0,0,0
3016,3,0,0,0,0,0
3018,3,0,0,0,0,0
3019,3,0,0,0,0,0
3021,3,0,0,0,0,0
3024,3,0,0,0,0,0
3025,3,0,0,0,0,0
3034,3,0,0,0,0,0
3036,3,0,0,0,0,0
3039,3,0,0,0,0,0
3040,3,0,0,0,0,0
3043,3,0,0,0,0,0
3044,3,0,0,0,0,0
3045,3,0,0,0,0,0
3046,3,0,0,0,0,0
3048,3,0,0,0,0,0
3062,3,0,0,0,0,0
3063,3,0,0,0,0,0
3065,3,0,0,0,0,0
3070,3,0,0,0,0,0
3072,3,0,0,0,0,0
3073,3,0,0,0,0,0
3074,3,0,0,0,0,0
3075,3,0,0,0,0,0
3090,3,0,0,0,0,0
3092,3,0,0,0,0,0
3097,3,0,0,0,0,0
3101,3,0,0,0,0,0
3107,3,0,0,0,0,0
3109,3,0,0,0,0,0
3111,3,0,0,0,0,0
3112,3,0,0,0,0,0
3115,3,0,0,0,0,0
3121,3,0,0,0,0,0
3122,3,0,0,0,0,0
3124,3,0,0,0,0,0
3126,3,0,0,0,0,0
3129,3,0,0,0,0,0
3130,3,0,0,0,0,0
3132,3,0,0,0,0,0
3136,3,0,0,0,0,0
3139,3,0,0,0,0,0
3140,3,0,0,0,0,0
3141,3,0,0,0,0,0
3142,3,0,0,0,0,0
3147,3,0,0,0,0,0
3150,3,0,0,0,0,0
3151,3,0,0,0,0,0
3156,3,0,0,0,0,0
3159,3,0,0,0,0,0
3167,3,0,0,0,0,0
