focal_reach,stream_order,n_years_with_individuals,mean_individuals,sd_individuals,cv
1165,5,5,64.24954786674247,25.633234001174642,0.3989636480297037
1185,4,5,64.24954786674247,25.633234001174642,0.3989636480297037
1249,4,5,35.81325020025501,8.547749859340417,0.23867562456756722
1260,3,5,35.81325020025501,8.547749859340417,0.23867562456756722
1345,4,5,53.19515877189925,16.788893903773626,0.31560943310206807
1360,5,5,94.62407275177915,32.891164699676565,0.3475982775118727
1361,6,5,289.91057194345524,104.08550273196467,0.3590262405203551
1387,4,5,30.654955978223477,7.695386032479215,0.2510323628566235
1453,3,5,22.506014059303357,12.044700738961483,0.5351769845705993
1484,4,5,52.0300069056417,16.7335916554526,0.3216142501345344
1491,3,5,26.74319049914305,17.748261433223057,0.6636553493417988
1516,5,5,89.00840897215426,23.66509729948716,0.26587484904814607
1535,4,5,50.96456397993668,16.677232124792678,0.32723192003286905
1578,5,5,82.68496288386518,23.80681889627245,0.2879219880609999
1589,4,5,26.74319049914305,17.748261433223057,0.6636553493417988
1590,3,5,32.22359537711389,17.3875813098229,0.539591597595967
1591,3,5,50.96456397993668,16.677232124792678,0.32723192003286905
1615,3,5,44.39557076762426,16.250460784077998,0.3660378840298354
1616,3,5,3.5184968136178765,3.0208589100758645,0.8585651970421089
1628,4,5,44.819148541529444,19.801418771405896,0.4418071162832978
1638,3,5,21.8520878681996,9.676805821394574,0.44283209365439224
1682,6,5,126.5949346622664,39.60203122556513,0.31282476926281894
1772,4,5,72.1180586924758,24.81966344637992,0.3441532384033709
1788,4,5,68.61717435717635,26.337779320612974,0.38383654773534737
1814,7,5,955.5191363439706,247.3954216399158,0.2589120533854569
1847,5,5,3.5184968136178765,3.0208589100758645,0.8585651970421089
1855,4,5,54.62984037391114,19.763594218600677,0.3617728714440637
1936,4,5,72.57660875751387,23.867405775219293,0.3288581015815002
1952,3,5,30.14499688750433,11.922266129689977,0.3954973415383559
1969,4,5,81.03596733413036,26.978770162277513,0.33292340487573496
1971,3,5,54.62984037391114,19.763594218600677,0.3617728714440637
1984,3,5,72.57660875751387,23.867405775219293,0.3288581015815002
1985,7,5,3889.3916808889035,902.0727994633529,0.2319315907152833
2001,3,5,72.86401416776143,24.09843934928309,0.33073170102595595
2026,6,5,478.84563032144445,109.38952295579863,0.22844423344192677
2031,3,5,81.03596733413036,26.978770162277513,0.33292340487573496
2048,4,5,130.51334913796958,43.00422966245636,0.3295006215570738
2071,4,5,72.78560773204103,24.401689001846126,0.3352543141726662
2075,4,5,73.4120252024985,28.065160675466636,0.3822965052122206
2090,5,5,203.08995789548345,66.84744789972872,0.3291519117559251
2101,7,5,918.2364916012547,202.56315003070785,0.22060019600993067
2114,3,5,36.78283789058586,9.328711501913912,0.253615871881965
2130,3,5,47.0637236957245,17.2691319945288,0.36693084691251515
2142,5,5,138.4168802814262,52.92587441488794,0.38236575125288336
2145,6,5,478.84563032144445,109.38952295579863,0.22844423344192677
2167,5,5,54.62984037391114,19.763594218600677,0.3617728714440637
2178,6,5,482.72716263816346,129.57590119658389,0.26842471529556283
2190,4,5,79.01087761943482,27.175229527632634,0.3439428892123604
2191,6,5,439.3908612798103,97.30910044260202,0.2214636420957199
2210,4,5,2.4256083781984756,0.5782774850594256,0.23840513178344075
2212,5,5,2.381262445041191,0.5630717957378747,0.2364593608362789
2217,6,5,482.72716263816346,129.57590119658389,0.26842471529556283
2244,6,5,94.66605115736921,29.62806516622789,0.3129745542779146
2284,5,5,205.5535357585753,51.86447886105655,0.2523161602142028
2311,4,5,2.392422022140667,0.5670213191831954,0.2370072311388615
2333,3,5,2.381262445041191,0.5630717957378747,0.2364593608362789
2376,4,5,2.381262445041191,0.5630717957378747,0.2364593608362789
2437,3,5,38.72514460305784,9.564689491128297,0.24698912267904205
2459,4,5,26.4651911642178,6.2855608169448125,0.23750294407255937
2478,5,5,81.40329964157549,27.404285479490834,0.3366483373543069
2482,4,5,38.72514460305784,9.564689491128297,0.24698912267904205
2547,4,5,74.59142711803459,16.369468103705707,0.21945508667909538
2548,6,5,200.73104645292136,49.9894326907202,0.24903687582999035
2556,4,5,205.5535357585753,51.86447886105655,0.2523161602142028
2589,5,5,74.42058947016116,16.30785231846865,0.21913092108746685
2600,3,5,27.310765032773304,6.804481923606723,0.2491501763294162
2636,5,5,38.72514460305784,9.564689491128297,0.24698912267904205
2663,3,5,74.42058947016116,16.30785231846865,0.21913092108746685
2671,3,5,132.7416745547607,35.781262365893134,0.26955560479336943
2681,4,5,132.7416745547607,35.781262365893134,0.26955560479336943
2692,3,5,138.22710395905924,36.836446209798666,0.2664922085086081
2781,4,5,67.01971783002142,26.25930152484501,0.39181456405777615
2802,5,5,73.4120252024985,28.065160675466636,0.3822965052122206
2844,4,5,67.14370947063783,26.283664645507386,0.391453865935145
2856,3,5,67.32643179951606,26.34105080574587,0.39124382655810386
2900,5,5,126.3104569827602,34.4889489356609,0.2730490393235471
2919,6,5,81.40329964157549,27.404285479490834,0.3366483373543069
2920,4,5,126.3104569827602,34.4889489356609,0.2730490393235471
2965,4,5,67.97622605067276,26.51265872030768,0.3900284005255582
2978,6,5,138.3946286366813,32.55361291565301,0.2352230952627068
3008,6,5,462.48566111772533,106.991879170911,0.2313409650632959
3054,5,5,138.3946286366813,32.55361291565301,0.2352230952627068
3096,4,5,68.86749560007982,26.81991820955168,0.38944233380138477
3154,5,5,428.9610158024597,95.62135272589981,0.22291385278221712
3172,3,5,68.86749560007982,26.81991820955168,0.38944233380138477
3197,4,5,71.25091916604346,19.123633856716502,0.26839841619657845
3202,6,5,547.341427054272,119.24999981493076,0.2178713211180093
3221,3,5,57.4011470782427,15.11017406146194,0.26323819001152493
3239,3,5,26.78374631521211,6.360804935051113,0.23748749932859195
3326,5,5,126.32925616016314,29.625139716650637,0.23450735496369268
3327,3,5,26.4651911642178,6.2855608169448125,0.23750294407255937
3334,3,5,68.92810908192045,15.133744929930664,0.219558393977475
3362,3,5,43.03322669320826,12.260799643146658,0.28491471788894984
3394,5,5,100.92148461661937,22.76656689139158,0.2255869201476498
3435,4,5,52.173168101089225,12.372123059561167,0.2371357444805594
3436,3,5,44.61372771887553,10.104687455154174,0.22649278533340317
3466,4,5,43.03322669320826,12.260799643146658,0.28491471788894984
3482,3,5,34.34120896149221,8.160733040612554,0.237636742776395
3541,4,5,249.50044874831067,60.46817544979675,0.2423569807315073
3643,4,5,68.92810908192045,15.133744929930664,0.219558393977475
3686,3,5,96.31706739424881,26.495990012517357,0.27509132835266803
3690,5,5,53.30179553323346,15.292190175353692,0.2868982183877665
3707,5,5,48.734573502099785,10.911003447220681,0.22388630212903304
3716,5,5,151.4059039930563,35.10484818582042,0.23185917629361652
3733,3,5,49.251554331827414,13.86661490694676,0.2815467470025784
3768,4,5,53.30179553323346,15.292190175353692,0.2868982183877665
3774,4,5,48.74831651553013,10.900461686213186,0.22360693589778718
3819,3,5,48.77268463600302,10.893668684470347,0.22335593715562785
3874,3,5,41.86303146255629,10.261576474802087,0.24512263245867388
3881,6,5,2362.140462215898,518.5331836056936,0.2195183529091506
3914,4,5,41.86303146255629,10.261576474802087,0.24512263245867388
3928,5,5,71.86521245397304,17.683523577809503,0.24606514019749307
3951,3,5,48.734573502099785,10.911003447220681,0.22388630212903304
3954,5,5,32.176543939360975,7.232055187864625,0.224761714666869
4005,3,5,91.85091118194937,25.47054749480592,0.2773031553748094
4014,6,5,307.10396653129067,73.73395828449772,0.2400944511310472
4023,3,5,9.09463488516862,2.1526382652747325,0.23669320346056105
4114,4,5,91.85091118194937,25.47054749480592,0.2773031553748094
4122,4,5,175.14488013823038,41.63751761556302,0.23773185709283226
4128,5,5,125.53359903820808,24.465525743162797,0.1948922514020835
4133,3,5,90.86755849677505,24.935039707106835,0.2744108031469977
4134,3,5,60.514049514376744,16.593435922002826,0.2742079906263852
4156,4,5,90.89129934381376,21.986826917203878,0.24190243814245072
4157,3,5,47.3654787393563,11.517135188550126,0.24315462431883877
4185,3,5,0.8094680567719832,0.18556069847559759,0.22923782714240898
4196,5,5,249.50044874831067,60.46817544979675,0.2423569807315073
4200,4,5,36.12064085343363,8.095792664076976,0.22413203289850794
4231,3,5,55.92491463866272,12.514139431517718,0.22376680433708315
4241,4,5,65.01954952383133,14.60660436891102,0.22464942430210663
4291,3,5,36.18006070591761,8.597561572822908,0.23763259113096763
4298,5,5,301.1236302699789,71.69859920428583,0.23810352957023964
4303,4,5,0.8094680567719832,0.18556069847559759,0.22923782714240898
4318,3,5,41.585682098629206,10.311147461965287,0.24794946100704154
4342,4,5,36.18006070591761,8.597561572822908,0.23763259113096763
4374,4,5,59.992263242121595,13.421480591548438,0.223720191008313
4375,3,5,53.09714288701675,11.851991421679255,0.22321335531929892
4463,3,5,39.640528138356785,8.829375382470468,0.22273606828984271
4523,4,5,87.68906017399965,22.442776046356286,0.25593587161070647
4530,4,5,53.09714288701675,11.851991421679255,0.22321335531929892
4573,4,5,108.0365226969253,24.968957576724332,0.2311158944533018
4592,4,5,100.36148725583841,27.76017246399389,0.27660184422365636
4630,4,5,79.71093303458584,19.57702000146936,0.2456001862752638
4642,3,5,43.52582060445745,10.829169007763342,0.24879873273783457
4657,5,5,98.39299602283764,26.18689246811565,0.2661458998772383
4661,3,5,87.68906017399965,22.442776046356286,0.25593587161070647
4680,3,5,79.71093303458584,19.57702000146936,0.2456001862752638
4701,4,5,90.11839833395727,22.146341318681618,0.2457471695914142
4720,4,5,49.1961877586151,11.991327945696021,0.24374506424222134
4721,5,5,136.89197390154828,29.76638568775378,0.21744434563535148
4737,4,5,43.37749985009735,10.800061706082756,0.24897842760429445
4739,4,5,98.39299602283764,26.18689246811565,0.2661458998772383
4751,3,5,43.37749985009735,10.800061706082756,0.24897842760429445
4757,3,5,80.61465233908412,19.929396216068046,0.24721803838141404
4774,5,5,438.1722774519619,90.19046784073214,0.2058333502183282
4822,3,5,38.976811103357214,8.605914379883252,0.22079575358441764
4825,4,5,80.61465233908412,19.929396216068046,0.24721803838141404
4876,4,5,73.262892054414,25.72659314903877,0.3511544852738144
4904,4,5,92.95788500398473,24.299793782349905,0.26140648296062535
4912,3,5,92.95788500398473,24.299793782349905,0.26140648296062535
4933,6,5,741.9070379201214,170.26831867139168,0.22950088079596287
5025,5,5,83.17897687596952,18.22516306412748,0.21910780522467263
5038,3,5,47.05866094396197,10.348797372874998,0.21991270395896884
5051,3,5,95.97852213691743,25.46559940224043,0.26532602123121535
5079,5,5,175.14488013823038,41.63751761556302,0.23773185709283226
5132,4,5,83.68601014288721,21.50984023628488,0.257030299324326
5152,3,5,49.443149701846124,12.079455014396675,0.244309982014468
5155,4,5,131.98706613234077,32.827534677123175,0.24871781485170424
5157,3,5,63.03695342054079,14.161554526827627,0.22465480576688276
5167,4,5,102.16132119005103,27.397031968577693,0.26817421358138965
5172,4,5,90.72845990671497,23.54050749050795,0.25946111633231494
5185,3,5,102.16132119005103,27.397031968577693,0.26817421358138965
5192,3,5,52.877428386782725,11.628087441646556,0.21990644773022133
5197,3,5,97.10929897452223,25.775639675451544,0.2654291602106415
5198,4,5,56.149327565755065,13.634631825154614,0.24282805184420844
5202,5,5,275.2794197234472,75.58545546132332,0.27457721153749315
5236,4,5,97.10929897452223,25.775639675451544,0.2654291602106415
5277,5,5,105.39238466309853,36.595519892042276,0.34723115914897423
5312,3,5,54.99140106398757,13.379907155693266,0.24330907917993413
5350,3,5,74.14390077508261,18.267201926425034,0.24637497805570077
5353,3,5,52.972199952052364,13.025684720624065,0.24589661619517836
5356,5,5,227.25305658582863,52.930781401007565,0.23291559724749725
5361,6,5,227.25305658582863,52.930781401007565,0.23291559724749725
5363,3,5,88.86087098068417,19.427557530007903,0.21862893437349834
5398,4,5,94.05826638214694,27.71126772589134,0.29461809994779126
5426,3,5,92.1707623812041,22.65948596721439,0.24584244918684997
5430,4,5,24.00076402117091,5.92354461139239,0.24680650191665865
5438,3,5,54.067758522198694,13.192978765269014,0.2440082430983772
5440,5,5,165.60250543548094,38.96332019760034,0.2352821902974199
5485,4,5,97.71249230323434,28.93536082289786,0.29612754869768154
5491,3,5,95.57822299857641,26.596320104574353,0.27826757257215895
5523,4,5,98.90816174090762,29.951423988234165,0.3028205505091952
5526,3,5,91.66083427571444,22.495195880915,0.24541775185298642
5531,4,5,38.976811103357214,8.605914379883252,0.22079575358441764
5542,5,5,103.44954350890198,24.169520649765126,0.23363583665968815
5587,4,5,106.73537936218112,23.348336666099666,0.21874974170347622
5599,4,5,165.60250543548094,38.96332019760034,0.2352821902974199
5605,4,5,105.39238466309853,36.595519892042276,0.34723115914897423
5614,3,5,80.52201726194298,18.855634888635084,0.23416744301495288
5625,3,5,38.6531027876565,9.638371132659408,0.2493556904243488
5642,4,5,88.86087098068417,19.427557530007903,0.21862893437349834
5643,3,5,75.34168673813022,18.575000218184307,0.24654346116176812
5644,4,5,38.6531027876565,9.638371132659408,0.2493556904243488
5665,3,5,56.149327565755065,13.634631825154614,0.24282805184420844
5696,5,5,481.30685083178037,98.84688750299522,0.20537186896918447
5710,3,5,105.39238466309853,36.595519892042276,0.34723115914897423
5729,4,5,152.75032152205017,36.670427594980275,0.24006776044452868
5743,3,5,80.60747857296417,18.885669807735194,0.23429178212838264
5745,5,5,38.88681960645786,9.788720771831315,0.25172335693417625
