reachid,down_reachid,strahler,n_upstream,is_outlet,component
1,3,1,0,0,0
2,3,1,0,0,0
3,5,2,2,0,0
4,5,1,0,0,0
5,7,2,4,0,0
6,9,1,0,0,0
7,40,3,10,0,0
8,7,2,4,0,0
9,8,2,2,0,0
10,9,1,0,0,0
11,17,1,0,0,0
12,32,1,0,0,0
13,8,1,0,0,0
14,17,1,0,0,0
15,26,1,0,0,0
16,32,1,0,0,0
17,22,2,2,0,0
18,22,1,0,0,0
19,42,1,0,0,0
20,24,1,0,0,0
21,56,1,0,0,0
22,27,2,4,0,0
23,24,1,0,0,0
24,26,2,2,0,0
25,27,1,0,0,0
26,35,2,4,0,0
27,31,2,6,0,0
28,35,1,0,0,0
29,31,1,0,0,0
30,42,1,0,0,0
31,47,2,8,0,0
32,52,2,2,0,0
33,60,1,0,0,0
34,39,1,0,0,0
35,39,2,6,0,0
36,49,1,0,0,0
37,89,1,0,0,0
38,44,1,0,0,0
39,40,2,8,0,0
40,44,3,20,0,0
41,62,1,0,0,0
42,47,2,2,0,0
43,49,1,0,0,0
44,57,3,22,0,0
45,82,1,0,0,0
46,71,1,0,0,0
47,99,3,12,0,0
48,54,1,0,0,0
49,58,2,2,0,0
50,294,1,0,0,0
51,64,1,0,0,0
52,60,3,6,0,0
53,54,1,0,0,0
54,52,2,2,0,0
55,119,1,0,0,0
56,57,3,10,0,0
57,71,4,34,0,0
58,56,3,8,0,0
59,77,1,0,0,0
60,69,3,8,0,0
61,73,1,0,0,0
62,58,2,4,0,0
63,137,1,0,0,0
64,62,2,2,0,0
65,64,1,0,0,0
66,113,1,0,0,0
67,110,1,0,0,0
68,77,1,0,0,0
69,74,3,10,0,0
70,69,1,0,0,0
71,81,4,36,0,0
72,100,1,0,0,0
73,100,2,2,0,0
74,89,3,12,0,0
75,73,1,0,0,0
76,74,1,0,0,0
77,81,2,2,0,0
78,197,1,0,0,0
79,109,4,130,0,0
80,88,1,0,0,0
81,151,4,40,0,0
82,92,2,4,0,0
83,79,4,128,0,0
84,87,1,0,0,0
85,88,1,0,0,0
86,82,2,2,0,0
87,83,4,126,0,0
88,110,2,2,0,0
89,119,3,14,0,0
90,86,1,0,0,0
91,83,1,0,0,0
92,105,2,6,0,0
93,137,1,0,0,0
94,92,1,0,0,0
95,87,4,124,0,0
96,79,1,0,0,0
97,111,1,0,0,0
98,99,1,0,0,0
99,124,3,14,0,0
100,105,2,4,0,0
101,108,1,0,0,0
102,120,1,0,0,0
103,132,1,0,0,0
104,95,1,0,0,0
105,126,3,12,0,0
106,109,1,0,0,0
107,111,1,0,0,0
108,95,4,122,0,0
109,250,4,132,0,0
110,171,2,4,0,0
