reachid,length_m,Shape_Leng,geom_len
1,1652.1491551721792,1652.14915517,1652.1491551721792
2,3560.3794444964806,3560.3794445,3560.3794444964806
3,2695.5696975876617,2695.56969759,2695.5696975876617
4,188.46828004676607,188.468280047,188.46828004676607
5,2546.4705764337523,2546.47057643,2546.4705764337523
6,1315.7415985436908,1315.74159854,1315.7415985436908
7,13233.49344867685,13233.4934487,13233.49344867685
8,4544.936549673405,4544.93654967,4544.936549673405
9,3187.510594235462,3187.51059424,3187.510594235462
10,1593.4062458732258,1593.40624587,1593.4062458732258
11,2483.1956950205713,2483.19569502,2483.1956950205713
12,6869.048483280882,6869.04848328,6869.048483280882
13,4526.878307055926,4526.87830706,4526.878307055926
14,1473.7137524170494,1473.71375242,1473.7137524170494
15,3203.490902704261,3203.4909027,3203.490902704261
16,3311.5479020684547,3311.54790207,3311.5479020684547
17,468.717037579897,468.71703758,468.717037579897
18,1020.4575232325751,1020.45752323,1020.4575232325751
19,4691.224721559803,4691.22472156,4691.224721559803
20,502.650224002608,502.650224003,502.650224002608
21,6455.16321885492,6455.16321885,6455.16321885492
22,1197.00231016737,1197.00231017,1197.00231016737
23,831.4473126166088,831.447312617,831.4473126166088
24,137.5088976056618,137.508897606,137.5088976056618
25,899.9021256634146,899.902125663,899.9021256634146
26,2545.0384464859694,2545.03844649,2545.0384464859694
27,1985.2361498481105,1985.23614985,1985.2361498481105
28,2727.242068953537,2727.24206895,2727.242068953537
29,1343.4291517782285,1343.42915178,1343.4291517782285
30,6055.661212409441,6055.66121241,6055.661212409441
31,2334.7163488815722,2334.71634888,2334.7163488815722
32,2736.0417334857293,2736.04173349,2736.0417334857293
33,3006.537154208133,3006.53715421,3006.537154208133
34,1446.72732024843,1446.72732025,1446.72732024843
35,777.2922557696738,777.29225577,777.2922557696738
36,1864.0579933602105,1864.05799336,1864.0579933602105
37,5334.538717253897,5334.53871725,5334.538717253897
38,1918.0972476704642,1918.09724767,1918.0972476704642
39,191.73069183493462,191.730691835,191.73069183493462
40,1087.5293814968752,1087.5293815,1087.5293814968752
41,2652.612767716002,2652.61276772,2652.612767716002
42,3791.2872745033983,3791.2872745,3791.2872745033983
43,539.2652957447889,539.265295745,539.2652957447889
44,1566.9267387651535,1566.92673877,1566.9267387651535
45,3307.2713157641065,3307.27131576,3307.2713157641065
46,2104.562057761483,2104.56205776,2104.562057761483
47,6363.474206775184,6363.47420678,6363.474206775184
48,358.02276670154447,358.022766702,358.02276670154447
49,1587.6281971910055,1587.62819719,1587.6281971910055
50,22307.398834135074,22307.3988341,22307.398834135074
51,1608.1878590252963,1608.18785903,1608.1878590252963
52,666.2666622771882,666.266662277,666.2666622771882
53,154.1512700420732,154.151270042,154.1512700420732
54,1125.9730213989415,1125.9730214,1125.9730213989415
55,11637.64120590892,11637.6412059,11637.64120590892
56,2916.639726692313,2916.63972669,2916.639726692313
57,5845.820851409284,5845.82085141,5845.820851409284
58,448.2377045606177,448.237704561,448.2377045606177
59,2815.428370097234,2815.4283701,2815.428370097234
